number	string	string	string	string	number	string	number	number	number	number	number	number	number	number	array2	array2	array2	number	number	array	number	array2	array	array2	array	number	string	array	array2	array	array
id	name	icon	description	source	scene_width	portrait	city_id	exp	coin	level	pre_level	pre_quest	type	limit_time	item_drop	first_drop	darwing_drop	zodiac_drop	monster_level	monster_name	boss_name	initial_monster	initial_boss	monster	boss	fighting_capacity	chapter	coordinate	dot_coordinate	achievement	effect_ids
1001	チーム·ミラージュ	M011_icon_01	新入りなのに、\nいきなり戦闘！？	resource/scene/senlin/sl_1_2.sce	1706		1001	120	500	1	0	0	0	0	"[[11001,4111,1],[11002,1222,1],[12001,3111,1],[10065,8000,1]]"	[]	[]	0	1	"[3001,3003]"	3055	"[[3001,-250,2],[3003,-154,4],[3003,-144,3]]"	[]	[]	"[3055,3]"	534	研究所	"[73,260]"	"[[87,419],[117,437]]"	"[100101,100102,100103]"	[]
1002	鬼教官	H002_icon_01	努力しろ！　\nその後はもっと努力しろ！	resource/scene/shatan/st_3_3.sce	2559		1001	120	500	1	1001	0	1	0	"[[11001,4111,1],[11002,1222,1],[12002,3111,1],[10068,8000,1]]"	[]	[]	0	3	[3036]	3011	"[[3090,-695,2],[3090,-457,4]]"	"[3011,170,2]"	[]	[]	1254	走廊	"[167,85]"	"[[186,472],[221,485]]"	"[100201,100202,100203]"	[]
1003	お相手はお嬢様	H005_icon_01	私と戦えることを誇りに思いなさい	resource/scene/xuexiao/xx_ttn_3.sce	2559		1001	120	500	1	1002	0	0	0	"[[11001,4111,1],[11002,1222,1],[12003,3111,1],[10020,8000,1]]"	[]	[]	0	4	"[3008,3006,3007,3008]"	0	"[[3006,-624,2],[3006,102,2],[3007,236,1],[3008,-431,2]]"	[]	[]	[]	1854	天台	"[344,85]"	"[[300,476],[320,448]]"	"[100301,100302,100303]"	[]
1004	ウロボロス	H014_icon_01	ライバルというのもバカバカしいな	resource/scene/xuexiao/xx_zl_2.sce	1706		1001	120	500	1	1003	0	1	0	"[[11001,4111,1],[11002,1222,1],[12004,3111,1],[10040,1500,1]]"	[]	[]	0	5	[3079]	3009	"[[3079,-230,2],[3079,-230,4],[3079,-100,1],[3079,-100,3],[3079,-100,5]]"	[]	"[[3079,4,2],[3079,4,4]]"	"[3009,8]"	2353	天台	"[540,85]"	"[[345,380],[359,343]]"	"[100401,100402,100403]"	[]
1005	パルスの共鳴	M010_icon_01	「聞くは一時の恥」と言うけれど……	resource/scene/xuexiao/xx_ydg_3.sce	2559		1001	120	500	1	1004	0	0	0	"[[11001,4111,1],[11002,1222,1],[12005,3111,1]]"	[]	[]	0	6	"[3040,3036]"	0	"[[3036,-635,2],[3036,-633,4],[3036,-600,1]]"	[]	"[[3036,0,2],[3036,0,4],[3036,0,1],[3036,15,2],[3040,15,4],[3040,15,3]]"	[]	3822	迷雾森林	"[745,85]"	"[[390,276],[419,252]]"	"[100501,100502,100503]"	[]
1006	チームワーク	H015_icon_01	自分たちに足りないものは何かを考えよう	resource/scene/xuexiao/xx_zl_3.sce	2559		1001	120	500	1	1005	0	0	0	"[[11001,4111,1],[11002,1222,1],[12001,3111,1],[10077,9000,1]]"	[]	[]	0	7	[3040]	0	"[[3040,-539,2],[3040,-539,4],[3040,-537,1],[3040,378,2],[3040,387,4],[3040,392,1],[3040,397,3],[3040,1078,2],[3040,1100,4],[3040,1110,1],[3040,1122,3],[3040,1128,5]]"	[]	[]	[]	4233	走廊	"[755,235]"	"[[494,265],[529,281]]"	"[100601,100602,100603]"	[]
1007	敵襲！	H022_icon_01	ここは安全な場所じゃなかったのか！？	resource/scene/xuexiao/xx_ydg_3.sce	2559		1001	120	500	1	1006	0	0	0	"[[11001,4111,1],[11002,1222,1],[12002,3111,1],[10030,2000,1]]"	[]	[]	0	6	"[3040,3036]"	0	"[[3036,-635,2],[3036,-633,4],[3036,-600,1]]"	[]	"[[3036,0,2],[3036,0,4],[3036,0,1],[3036,15,2],[3040,15,4],[3040,15,3]]"	[]	4677	运动馆	"[620,345]"	"[[600,317],[638,333]]"	"[100701,100702,100703]"	[]
1008	新しい仲間	H002_icon_01	新人ちゃんには優しくしてあげるわよ？	resource/scene/xuexiao/xx_tt_3.sce	2559		1001	120	500	1	1007	0	1	0	"[[11001,4111,1],[11002,1222,1],[12003,3111,1]]"	[]	[]	0	8	[]	3081	[]	"[3081,-645,3]"	[]	[]	4912	运动馆	"[465,250]"	"[[714,332],[741,308]]"	"[100801,100802,100803]"	[]
1009	二人のお嬢様	M001_icon_01	まさか双子だったとか？	resource/scene/xuexiao/xx_zl_3.sce	2559		1001	120	500	1	1008	0	0	0	"[[11001,4111,1],[11002,1222,1],[12004,3111,1],[10037,2000,1]]"	[]	[]	0	9	"[3080,3040,3032,3031,3039,3039]"	0	"[[3040,-690,2],[3040,-688,4],[3039,-602,1],[3039,-602,3],[3039,265,2],[3039,284,4],[3031,378,2],[3031,396,4],[3032,951,2],[3032,977,4],[3039,1037,1],[3039,1061,3],[3080,972,5]]"	[]	[]	[]	5321	走廊	"[340,405]"	"[[782,252],[299,220]]"	"[100901,100902,100903]"	[]
1010	契約の力	H015_icon_01	契約する事で……\n強くなれる！	resource/scene/xuexiao/xx_zl_1.sce	853		1001	120	500	1	1009	0	1	0	"[[11001,4111,1],[11002,1222,1],[12005,3111,1],[10058,2000,1]]"	[]	[]	0	10	[]	3044	[]	[]	[]	"[3044,10]"	7124	天台	"[163,415]"	[]	"[101001,101002,101003]"	[]
1011	救出作戦	H020_icon_01	早く望乃を探さないと！	resource/scene/yanjiusuo/yjs_321_3.sce	2559		1002	120	500	8	1010	0	1	0	"[[11001,4111,1],[11002,1222,1],[12004,3111,1]]"	[]	[]	0	11	"[3031,3030]"	3035	"[[3030,-765,2],[3030,-770,4],[3031,-666,2],[3031,-671,4],[3030,171,2],[3030,183,4],[3031,293,2],[3031,298,4],[3031,300,1]]"	[]	[]	"[3035,300]"	7432	天台	"[88,70]"	"[[87,419],[117,437]]"	"[101101,101102,101103]"	[]
