number	string	number	number	number	number	number	number	number	number	string	string	number	number	array
id	name	type	quality	level	attribute	value	exp	base_exp	stuff	description	icon	effect	rare	flag
1801101	攻·干将	1	1	1	1	1	0	100	0	攻击+1	F101	0	1	[0]
1801201	攻·布都	1	2	1	1	2	1000	100	0	攻击+2	F102	0	2	[0]
1801202	攻·布都	1	2	2	1	3	3000	100	1	攻击+3	F102	0	0	[0]
1801203	攻·布都	1	2	3	1	4	0	200	0	攻击+4	F102	0	0	[0]
1801301	攻·含光	1	3	1	1	3	1000	100	0	攻击+3	F103	0	3	[0]
1801302	攻·含光	1	3	2	1	4	3000	100	1	攻击+4	F103	0	0	[0]
1801303	攻·含光	1	3	3	1	5	7000	200	2	攻击+5	F103	0	0	[0]
1801304	攻·含光	1	3	4	1	10	13000	400	4	攻击+10	F103	0	0	[0]
1801305	攻·含光	1	3	5	1	18	23000	800	6	攻击+18	F103	0	0	[0]
1801306	攻·含光	1	3	6	1	32	0	1400	0	攻击+32	F103	0	0	[0]
1801401	攻·青龙	1	4	1	1	6	1000	100	0	攻击+6	F104	0	4	[0]
1801402	攻·青龙	1	4	2	1	7	3000	100	1	攻击+7	F104	0	0	[0]
1801403	攻·青龙	1	4	3	1	10	7000	200	2	攻击+10	F104	0	0	[0]
1801404	攻·青龙	1	4	4	1	20	13000	400	4	攻击+20	F104	0	0	[0]
1801405	攻·青龙	1	4	5	1	37	23000	800	6	攻击+37	F104	0	0	[0]
1801406	攻·青龙	1	4	6	1	63	37000	1400	8	攻击+63	F104	0	0	[0]
1801407	攻·青龙	1	4	7	1	95	55000	2200	10	攻击+95	F104	0	0	[0]
1801408	攻·青龙	1	4	8	1	132	79000	3200	12	攻击+132	F104	0	0	[0]
1801409	攻·青龙	1	4	9	1	172	109000	4400	16	攻击+172	F104	0	0	[0]
1801410	攻·青龙	1	4	10	1	222	0	6000	0	攻击+222	F104	0	0	[0]
1801501	攻·天丛云	1	5	1	1	10	1000	100	0	攻击+10	F105	0	5	[0]
1801502	攻·天丛云	1	5	2	1	12	3000	100	1	攻击+12	F105	0	0	[0]
1801503	攻·天丛云	1	5	3	1	18	7000	200	2	攻击+18	F105	0	0	[0]
1801504	攻·天丛云	1	5	4	1	34	13000	400	4	攻击+34	F105	0	0	[0]
1801505	攻·天丛云	1	5	5	1	64	23000	800	6	攻击+64	F105	0	0	[0]
1801506	攻·天丛云	1	5	6	1	105	37000	1400	8	攻击+105	F105	0	0	[0]
1801507	攻·天丛云	1	5	7	1	160	55000	2200	10	攻击+160	F105	0	0	[0]
1801508	攻·天丛云	1	5	8	1	220	79000	3200	12	攻击+220	F105	0	0	[0]
1801509	攻·天丛云	1	5	9	1	290	109000	4400	16	攻击+290	F105	0	0	[0]
1801510	攻·天丛云	1	5	10	1	370	0	6000	0	攻击+370	F105	0	0	[0]
1802101	技·鱼肠	1	1	1	2	1	0	100	0	技攻+1	F201	1	1	[0]
1802201	技·湛卢	1	2	1	2	2	1000	100	0	技攻+2	F202	1	2	[0]
1802202	技·湛卢	1	2	2	2	3	3000	100	1	技攻+3	F202	1	0	[0]
1802203	技·湛卢	1	2	3	2	4	0	200	0	技攻+4	F202	1	0	[0]
1802301	技·红雪	1	3	1	2	3	1000	100	0	技攻+3	F203	1	3	[0]
1802302	技·红雪	1	3	2	2	4	3000	100	1	技攻+4	F203	1	0	[0]
1802303	技·红雪	1	3	3	2	5	7000	200	2	技攻+5	F203	1	0	[0]
1802304	技·红雪	1	3	4	2	10	13000	400	4	技攻+10	F203	1	0	[0]
1802305	技·红雪	1	3	5	2	18	23000	800	6	技攻+18	F203	1	0	[0]
1802306	技·红雪	1	3	6	2	32	0	1400	0	技攻+32	F203	1	0	[0]
1802401	技·袖搦	1	4	1	2	6	1000	100	0	技攻+6	F204	1	4	[0]
1802402	技·袖搦	1	4	2	2	7	3000	100	1	技攻+7	F204	1	0	[0]
1802403	技·袖搦	1	4	3	2	10	7000	200	2	技攻+10	F204	1	0	[0]
1802404	技·袖搦	1	4	4	2	20	13000	400	4	技攻+20	F204	1	0	[0]
1802405	技·袖搦	1	4	5	2	37	23000	800	6	技攻+37	F204	1	0	[0]
1802406	技·袖搦	1	4	6	2	63	37000	1400	8	技攻+63	F204	1	0	[0]
1802407	技·袖搦	1	4	7	2	95	55000	2200	10	技攻+95	F204	1	0	[0]
1802408	技·袖搦	1	4	8	2	132	79000	3200	12	技攻+132	F204	1	0	[0]
1802409	技·袖搦	1	4	9	2	172	109000	4400	16	技攻+172	F204	1	0	[0]
1802410	技·袖搦	1	4	10	2	222	0	6000	0	技攻+222	F204	1	0	[0]
1802501	技·湖中剑	1	5	1	2	10	1000	100	0	技攻+10	F205	0	5	[0]
1802502	技·湖中剑	1	5	2	2	12	3000	100	1	技攻+12	F205	0	0	[0]
1802503	技·湖中剑	1	5	3	2	18	7000	200	2	技攻+18	F205	0	0	[0]
1802504	技·湖中剑	1	5	4	2	34	13000	400	4	技攻+34	F205	0	0	[0]
1802505	技·湖中剑	1	5	5	2	64	23000	800	6	技攻+64	F205	0	0	[0]
1802506	技·湖中剑	1	5	6	2	105	37000	1400	8	技攻+105	F205	0	0	[0]
1802507	技·湖中剑	1	5	7	2	160	55000	2200	10	技攻+160	F205	0	0	[0]
1802508	技·湖中剑	1	5	8	2	220	79000	3200	12	技攻+220	F205	0	0	[0]
1802509	技·湖中剑	1	5	9	2	290	109000	4400	16	技攻+290	F205	0	0	[0]
1802510	技·湖中剑	1	5	10	2	370	0	6000	0	技攻+370	F205	0	0	[0]
1803101	防·国光	1	1	1	3	1	0	100	0	防御+1	F301	0	1	[0]
1803201	防·长船	1	2	1	3	1	1000	100	0	防御+1	F302	0	2	[0]
1803202	防·长船	1	2	2	3	2	3000	100	1	防御+2	F302	0	0	[0]
1803203	防·长船	1	2	3	3	3	0	200	0	防御+3	F302	0	0	[0]
1803301	防·沥泉	1	3	1	3	2	1000	100	0	防御+2	F303	0	3	[0]
1803302	防·沥泉	1	3	2	3	3	3000	100	1	防御+3	F303	0	0	[0]
1803303	防·沥泉	1	3	3	3	4	7000	200	2	防御+4	F303	0	0	[0]
1803304	防·沥泉	1	3	4	3	7	13000	400	4	防御+7	F303	0	0	[0]
1803305	防·沥泉	1	3	5	3	14	23000	800	6	防御+14	F303	0	0	[0]
1803306	防·沥泉	1	3	6	3	24	0	1400	0	防御+24	F303	0	0	[0]
1803401	防·步槊	1	4	1	3	4	1000	100	0	防御+4	F304	0	4	[0]
1803402	防·步槊	1	4	2	3	5	3000	100	1	防御+5	F304	0	0	[0]
1803403	防·步槊	1	4	3	3	8	7000	200	2	防御+8	F304	0	0	[0]
1803404	防·步槊	1	4	4	3	15	13000	400	4	防御+15	F304	0	0	[0]
1803405	防·步槊	1	4	5	3	28	23000	800	6	防御+28	F304	0	0	[0]
1803406	防·步槊	1	4	6	3	47	37000	1400	8	防御+47	F304	0	0	[0]
1803407	防·步槊	1	4	7	3	71	55000	2200	10	防御+71	F304	0	0	[0]
1803408	防·步槊	1	4	8	3	99	79000	3200	12	防御+99	F304	0	0	[0]
1803409	防·步槊	1	4	9	3	129	109000	4400	16	防御+129	F304	0	0	[0]
1803410	防·步槊	1	4	10	3	166	0	6000	0	防御+166	F304	0	0	[0]
1803501	防·宵练	1	5	1	3	7	1000	100	0	防御+7	F305	1	5	[0]
1803502	防·宵练	1	5	2	3	9	3000	100	1	防御+9	F305	1	0	[0]
1803503	防·宵练	1	5	3	3	13	7000	200	2	防御+13	F305	1	0	[0]
1803504	防·宵练	1	5	4	3	25	13000	400	4	防御+25	F305	1	0	[0]
1803505	防·宵练	1	5	5	3	48	23000	800	6	防御+48	F305	1	0	[0]
1803506	防·宵练	1	5	6	3	80	37000	1400	8	防御+80	F305	1	0	[0]
1803507	防·宵练	1	5	7	3	120	55000	2200	10	防御+120	F305	1	0	[0]
1803508	防·宵练	1	5	8	3	165	79000	3200	12	防御+165	F305	1	0	[0]
1803509	防·宵练	1	5	9	3	215	109000	4400	16	防御+215	F305	1	0	[0]
1803510	防·宵练	1	5	10	3	280	0	6000	0	防御+280	F305	1	0	[0]
1804101	护·村正	1	1	1	4	1	0	100	0	技防+1	F401	1	1	[0]
1804201	护·十拳	1	2	1	4	1	1000	100	0	技防+1	F402	1	2	[0]
1804202	护·十拳	1	2	2	4	2	3000	100	1	技防+2	F402	1	0	[0]
1804203	护·十拳	1	2	3	4	3	0	200	0	技防+3	F402	1	0	[0]
1804301	护·雷切	1	3	1	4	2	1000	100	0	技防+2	F403	1	3	[0]
1804302	护·雷切	1	3	2	4	3	3000	100	1	技防+3	F403	1	0	[0]
1804303	护·雷切	1	3	3	4	4	7000	200	2	技防+4	F403	1	0	[0]
1804304	护·雷切	1	3	4	4	7	13000	400	4	技防+7	F403	1	0	[0]
1804305	护·雷切	1	3	5	4	14	23000	800	6	技防+14	F403	1	0	[0]
1804306	护·雷切	1	3	6	4	24	0	1400	0	技防+24	F403	1	0	[0]
1804401	护·却邪	1	4	1	4	4	1000	100	0	技防+4	F404	0	4	[0]
1804402	护·却邪	1	4	2	4	5	3000	100	1	技防+5	F404	0	0	[0]
1804403	护·却邪	1	4	3	4	8	7000	200	2	技防+8	F404	0	0	[0]
1804404	护·却邪	1	4	4	4	15	13000	400	4	技防+15	F404	0	0	[0]
1804405	护·却邪	1	4	5	4	28	23000	800	6	技防+28	F404	0	0	[0]
1804406	护·却邪	1	4	6	4	47	37000	1400	8	技防+47	F404	0	0	[0]
1804407	护·却邪	1	4	7	4	71	55000	2200	10	技防+71	F404	0	0	[0]
1804408	护·却邪	1	4	8	4	99	79000	3200	12	技防+99	F404	0	0	[0]
1804409	护·却邪	1	4	9	4	129	109000	4400	16	技防+129	F404	0	0	[0]
1804410	护·却邪	1	4	10	4	166	0	6000	0	技防+166	F404	0	0	[0]
1804501	护·纯钧	1	5	1	4	7	1000	100	0	技防+7	F405	0	5	[0]
1804502	护·纯钧	1	5	2	4	9	3000	100	1	技防+9	F405	0	0	[0]
1804503	护·纯钧	1	5	3	4	13	7000	200	2	技防+13	F405	0	0	[0]
1804504	护·纯钧	1	5	4	4	25	13000	400	4	技防+25	F405	0	0	[0]
1804505	护·纯钧	1	5	5	4	48	23000	800	6	技防+48	F405	0	0	[0]
1804506	护·纯钧	1	5	6	4	80	37000	1400	8	技防+80	F405	0	0	[0]
1804507	护·纯钧	1	5	7	4	120	55000	2200	10	技防+120	F405	0	0	[0]
1804508	护·纯钧	1	5	8	4	165	79000	3200	12	技防+165	F405	0	0	[0]
1804509	护·纯钧	1	5	9	4	215	109000	4400	16	技防+215	F405	0	0	[0]
1804510	护·纯钧	1	5	10	4	280	0	6000	0	技防+280	F405	0	0	[0]
