number	number	string	number	number	number	number	number
id	item_id	name	money_type	price	islimited	item_num	probability
1	18015	攻·天丛云	5	240	10	1	10000
2	18025	技·湖中剑	5	240	10	1	10000
3	18035	防·宵练	5	240	10	1	10000
4	18045	护·纯钧	5	240	10	1	10000
5	18055	命·九尾狐	5	240	10	1	10000
6	18014	攻·青龙	5	120	10	1	10000
7	18024	技·袖搦	5	120	10	1	10000
8	18034	防·步槊	5	120	10	1	10000
9	18044	护·却邪	5	120	10	1	10000
10	18054	命·轩辕	5	120	10	1	10000
11	18065	高级无抗	5	280	10	1	10000
12	18075	高级风抗	5	280	10	1	10000
13	18085	高级火抗	5	280	10	1	10000
14	18095	高级水抗	5	280	10	1	10000
15	18105	高级无伤	5	280	10	1	10000
16	18115	高级风伤	5	280	10	1	10000
17	18125	高级火伤	5	280	10	1	10000
18	18135	高级水伤	5	280	10	1	10000
19	18064	初级无抗	5	140	10	1	10000
20	18074	初级风抗	5	140	10	1	10000
21	18084	初级火抗	5	140	10	1	10000
22	18094	初级水抗	5	140	10	1	10000
23	18104	初级无伤	5	140	10	1	10000
24	18114	初级风伤	5	140	10	1	10000
25	18124	初级火伤	5	140	10	1	10000
26	18134	初级水伤	5	140	10	1	10000
