number	number	number	number	number	number	number	number
id	login_accumulative	item1	count1	item2	count2	item3	count3
1	1	10001	10000	20002	3	15001	3
2	2	10001	11000	20001	3	19005	10
3	3	10001	12000	20002	3	15002	3
4	4	10001	13000	20001	3	19004	10
5	5	10001	14000	20002	3	15001	5
6	6	10001	15000	20001	3	19003	10
7	7	10001	16000	20002	3	15002	5
8	8	10001	17000	20001	3	19002	10
9	9	10001	18000	20002	3	15001	5
10	10	10001	19000	20001	3	19001	10
11	11	10001	20000	20002	3	15002	5
12	12	10001	21000	20001	3	19001	15
13	13	10001	22000	20002	3	15001	5
14	14	10001	23000	20001	3	19002	15
15	15	10001	24000	20002	3	15002	3
16	16	10001	25000	20001	3	19003	15
17	17	10001	26000	20002	3	15001	5
18	18	10001	27000	20001	3	19004	15
19	19	10001	28000	20002	3	15002	3
20	20	10001	29000	20001	3	19005	15
21	21	10001	30000	20002	3	15001	5
22	22	10001	31000	20001	3	19001	20
23	23	10001	32000	20002	3	15002	5
24	24	10001	33000	20001	3	19002	20
25	25	10001	34000	20002	3	15001	5
26	26	10001	35000	20001	3	19003	20
27	27	10001	36000	20002	3	15002	5
28	28	10001	37000	20001	3	19004	20
29	29	10001	38000	20002	3	15002	5
30	30	10001	39000	20001	3	19005	20
