number	string	string	number	number	number	array	number	number	number	number	number	number	number	number	string	string	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	string	number	number	number	number	array2	array2	number	number	number
id	name	icon	skill_property	skill_accuaracy	skill_class	combo_cause	combo_result	combo_num	combo_maxnum	combo_numneed	skill_type	is_halo	first_spell	loop_spell	effect	hit_effect	spell_time	count	area	target	target_type	spread_area	spread_area_type	target_func	spread_num	buffid	target2	target_type2	spread_area2	spread_area_type2	target_func2	spread_num2	buffid2	max_level	next_skill	next_skill_drawing	info	trail	quality	open_btp	probability	buff_data1	buff_data2	period2	skill_factor	is_fla
86	火焰陨石	S86	202	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		2	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	0	0	火龙全屏大招	0	3	0	10	[]	[]	0	1	0
87	主角光环	S87	200	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	1	400	2	0	0	0	0	0	0	0	0	0	0	100	0	0	没啥用	0	4	0	10	[]	[]	0	1	0
88	灭亡冲击	S88	200	1	4	[3]	5	1	1	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	0	0	追击【击晕】目标造成伤害和【重伤】	0	4	0	10	[]	[]	0	1	0
89	夏氏力狙击	S999	202	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	1	400	2	0	0	0	0	0	0	0	0	0	0	100	0	0	攻击最近单体造成一定伤害	0	4	0	10	[]	[]	0	1	0
90	爆裂弹	S90	202	1	4	[2]	3	1	1	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	0	0	追击【击退】目标造成伤害和【击晕】	0	4	0	10	[]	[]	0	1	0
91	王者之剑	S252	202	1	1	[]	1	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	2	400	0	0	0	0	0	0	0	0	0	0	0	100	0	0	攻击前方直线上所有敌人造成伤害和【倒地】	0	4	0	10	[]	[]	0	1	0
92	蓄力一击	S92	202	1	4	[1]	2	1	1	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	0	0	追击【倒地】造成伤害和【击退】	0	4	0	10	[]	[]	0	1	0
93	元气弹	S999	203	1	1	[]	1	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	1	400	2	0	0	0	0	0	0	0	0	0	0	100	0	0	攻击最近目标造成伤害和【倒地】	0	4	0	10	[]	[]	0	1	0
94	荆棘缠绕	S94	203	1	4	[5]	1	1	1	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	0	0	追击【重伤】目标造成伤害还【倒地】	0	4	0	10	[]	[]	0	1	0
95	陨星斩	S120	200	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		2.4	1	999	1	7	500	0	0	5	0	0	0	0	0	0	0	0	100	0	0	全体大量伤害	0	4	0	10	[]	[]	0	1	1
97	火焰陨石	S97	200	1	0	[]	0	0	0	0	1	0	2	999	S121_magic_attack		5.4	1	999	1	7	500	0	0	5	0	0	0	0	0	0	0	0	100	0	0	普通3次触发一次对所有目标造成伤害	0	3	0	10	"[[1,97]]"	[]	0	1	0
98	无敌	S98	200	1	0	[]	0	0	0	0	1	0	1	999	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	7	400	0	1	1	0	100	0	0	血量百分比最低2人无敌	0	4	0	10	[]	"[[1,98]]"	0	1	0
99	无用	S101	200	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	0	999	0	0	0	0	0	0	0	1	1	100	0	0	1	0	100	0	0	没啥用	0	4	0	10	[]	[]	0	1	0
100	破天酔濤波	S100	200	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	101	14200	全ての敵に中ダメージを与え、2秒間の沈黙効果を与える。	0	3	0	10	"[[1,246]]"	[]	0	1	1
101	破天酔濤波	S100	200	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	0	0	全ての敵に中ダメージを与え、4秒間の沈黙効果を与える。	0	4	0	10	"[[1,247]]"	[]	0	1	1
102	砕地震裂撃	S102	200	1	3	[2]	1	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	103	14200	[コンボ【吹飛】→【転倒】] 敵に中ダメージを与える。最大発動回数1。	0	3	0	5	[]	[]	0	1	0
103	砕地震裂撃	S102	200	1	3	"[1,2]"	1	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【吹飛】→【転倒】] 敵に中ダメージを与える。最大発動回数2。	0	4	0	5	[]	[]	0	1	0
104	巨剣大振り	S104	200	1	4	[3]	2	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	105	14200	[コンボ【気絶】→【吹飛】] 敵に中ダメージを与える。最大発動回数2。	0	3	0	10	[]	[]	0	1	0
105	巨剣大振り	S104	200	1	4	"[3,5]"	2	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【気絶】→【吹飛】] 敵に大ダメージを与える。最大発動回数2。	0	4	0	10	[]	[]	0	1	0
106	千鳥足	S106	200	1	5	[17]	0	0	0	0.25	1	0	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	1	400	0	1	1	0	100	107	14200	HPが25%未満の時、自身の回避率を大アップ。	0	3	0	10	[]	"[[1,248]]"	0	1	0
107	千鳥足	S106	200	1	5	[17]	0	0	0	0.4	1	0	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	1	400	0	1	1	0	100	0	0	HPが40%未満の時、自身の回避率を大アップ。	0	4	0	10	[]	"[[1,249]]"	0	1	0
108	酒神の守護	S108	200	1	5	[14]	0	0	0	0	1	0	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	1	400	0	1	1	0	100	109	14200	回復スキルを受けるごとに、20秒間自身の防御と技防を小アップ（5回重複可）。	0	3	0	10	[]	"[[1,250]]"	0	1	0
109	酒神の守護	S108	200	1	5	[14]	0	0	0	0	1	0	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	1	400	0	1	1	0	100	0	0	回復スキルを受けるごとに、20秒間自身の防御と技防を小アップし、HP回復効果を中アップさせる（5回重複可）。	0	4	0	10	[]	"[[1,251],[1,337]]"	0	1	0
110	フローズン	S110	203	1	1	[]	3	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	111	14203	敵チームの最もHPの低い1体に数回のダメージを与え、状態を【気絶】にし、6秒間防御を30%ダウンさせる。詠唱1.5秒。	0	3	0	10	"[[1,100]]"	[]	0	1	0
111	フローズン	S110	203	1	1	[]	3	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	0	0	敵チームの最もHPの低い1体に数回のダメージを与え、状態を【気絶】にし、9秒間防御を45%ダウンさせる。詠唱0.75秒。	0	4	0	10	"[[1,101]]"	[]	0	1	0
112	フリーザー	S112	203	1	3	"[2,3]"	5	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	113	14203	[コンボ【吹飛】【気絶】→【重傷】] 敵に中ダメージを与え、5秒間防御力を5%ダウンさせる（3回重複可）。	0	3	0	5	"[[1,102]]"	[]	0	1	0
113	フリーザー	S112	203	1	3	"[2,3]"	5	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【吹飛】【気絶】→【重傷】] 敵に中ダメージを与え、5秒間防御力を5%ダウンさせる（3回重複可）。	0	4	0	5	"[[1,103]]"	[]	0	1	0
114	アイスボム	S114	203	1	4	"[2,5]"	2	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	115	14203	[コンボ【吹飛】【重傷】→【吹飛】]敵に小ダメージを与える。最大発動回数2。	0	3	0	10	[]	[]	0	1	0
115	アイスボム	S114	203	1	4	"[2,5]"	2	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	3	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【吹飛】【重傷】→【吹飛】]敵に中ダメージを与える。最大発動回数2。	0	4	0	10	[]	[]	0	1	0
116	ホワイト	S116	203	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	0	0	0	0	0	0	100	117	14203	バトル開始時、自身の回避率を中アップ。	0	3	0	10	[]	"[[1,479]]"	0	1	0
117	ホワイト	S116	203	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	0	0	バトル開始時、味方全体の回避率を中アップ。	0	4	0	10	[]	"[[1,480]]"	0	1	0
118	魔力開放	S118	203	1	0	[]	0	0	0	0	1	0	4	4	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	119	14203	攻撃力を小アップし、通常攻撃4回ごとに30秒間自身の防御と技防を2%ダウンさせる（10回重複可）。	0	3	0	10	[]	"[[1,481],[1,483]]"	0	1	0
119	魔力開放	S118	203	1	0	[]	0	0	0	0	1	0	3	3	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	0	0	攻撃力を小アップし、通常攻撃3回ごとに30秒間自身の防御と技防を2%ダウンさせる（10回重複可）。	0	4	0	10	[]	"[[1,482],[1,484]]"	0	1	0
120	隕石割り	S120	202	1	1	[]	2	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	500	0	0	5	0	0	0	0	0	0	0	0	100	121	14202	敵全体に中ダメージを与え、4秒間の混乱効果を与え、状態を【吹飛】にする。	0	3	0	10	"[[1,114]]"	[]	0	1	0
121	隕石割り	S120	202	1	1	[]	2	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	500	0	0	5	0	0	0	0	0	0	0	0	100	0	0	敵全体に中ダメージを与え、5秒間の混乱効果を与え、状態を【吹飛】にする。	0	4	0	10	"[[1,115]]"	[]	0	1	0
122	月食乱波	S122	202	1	3	"[2,5]"	5	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	500	0	3	1	0	0	0	0	0	0	0	0	100	123	14202	[コンボ【吹飛】【重傷】→【重傷】] 敵に中ダメージを与える。	0	3	0	5	[]	[]	0	1	0
123	月食乱波	S122	202	1	3	"[2,5]"	5	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	500	0	3	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【吹飛】【重傷】→【重傷】] 敵に中ダメージを与える。最大発動回数2。	0	4	0	5	[]	[]	0	1	0
124	日食斬り	S124	202	1	4	[3]	5	1	1	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	500	0	3	1	0	0	0	0	0	0	0	0	100	125	14202	[コンボ【気絶】→【重傷】] 敵に中ダメージを与える。	0	3	0	10	[]	[]	0	1	0
125	日食斬り	S124	202	1	4	[3]	5	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	500	0	3	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【気絶】→【重傷】] 敵に大ダメージを与える。	0	4	0	10	[]	[]	0	1	0
126	剣の意思	S126	202	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	127	14202	バトル開始時、味方全体の防御を中アップ。	0	3	0	10	[]	"[[1,116]]"	0	1	0
127	剣の意思	S126	202	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	0	0	バトル開始時、味方全体の防御を大アップ。	0	4	0	10	[]	"[[1,117]]"	0	1	0
128	剣の思念	S128	202	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	129	14202	メラニーは味方チームが与えたダメージの一部を自身のHPに変換するようになる。	0	3	0	10	[]	"[[1,118]]"	0	1	0
129	剣の思念	S128	202	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	0	0	メラニーは味方チームが与えたダメージの一部を自身のHPに大幅に変換するようになる。	0	4	0	10	[]	"[[1,119]]"	0	1	0
130	無双飛刃	S130	202	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	2	400	0	0	0	0	0	0	0	0	0	0	0	100	131	14202	対象とその後衛に中ダメージを与え、5秒間の沈黙効果を与える。	0	3	0	10	"[[1,194]]"	[]	0	1	1
131	無双飛刃	S130	202	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	2	400	0	0	0	0	0	0	0	0	0	0	0	100	0	0	対象とその後衛に中ダメージを与え、5秒間のめまい効果を与える。	0	4	0	10	"[[1,195]]"	[]	0	1	1
