number	number
skillid	consume
100	50
102	50
104	50
106	100
108	200
110	50
112	50
114	50
116	100
118	200
120	50
122	50
124	50
126	100
128	200
130	50
132	50
134	50
136	100
138	200
140	50
142	50
144	50
146	100
148	200
150	50
152	50
154	50
156	100
158	200
160	50
162	50
164	50
166	100
168	200
170	50
172	50
174	50
176	100
178	200
180	50
182	50
184	50
186	100
188	200
190	50
192	50
194	50
196	100
198	200
200	50
202	50
204	50
206	100
208	200
210	50
212	50
214	50
216	100
218	200
220	50
222	50
224	50
226	100
228	200
230	50
232	50
234	50
236	100
238	200
240	50
242	50
244	50
246	100
248	200
250	50
252	50
254	50
256	100
258	200
260	50
262	50
264	50
266	100
268	200
270	50
272	50
274	50
276	100
278	200
280	50
282	50
284	50
286	100
288	200
290	50
292	50
294	50
296	100
298	200
300	50
302	50
304	50
306	100
308	200
310	50
312	50
314	50
316	100
318	200
320	50
322	50
324	50
326	100
328	200
330	50
332	50
334	50
336	100
338	200
340	50
342	50
344	50
346	100
348	200
350	50
352	50
354	50
356	100
358	200
360	50
362	50
364	50
366	100
368	200
370	50
372	50
374	50
376	100
378	200
380	50
382	50
384	50
386	100
388	200
390	50
392	50
394	50
396	100
398	200
400	50
402	50
404	50
406	100
408	200
410	50
412	50
414	50
416	100
418	200
420	50
422	50
424	50
426	100
428	200
430	50
432	50
434	50
436	100
438	200
440	50
442	50
444	50
446	100
448	200
450	50
452	50
454	50
456	100
458	200
460	50
462	50
464	50
466	100
468	200
470	50
472	50
474	50
476	100
478	200
480	50
482	50
484	50
486	100
488	200
490	50
492	50
494	50
496	100
498	200
700	50
702	50
704	50
706	100
708	200
710	50
712	50
714	50
716	100
718	200
720	50
722	50
724	50
726	100
728	200
730	50
732	50
734	50
736	100
738	200
740	50
742	50
744	50
746	100
748	200
750	50
752	50
754	50
756	100
758	200
760	50
762	50
764	50
766	100
768	200
770	50
772	50
774	50
776	100
778	200
780	50
782	50
784	50
786	100
788	200
790	50
792	50
794	50
796	100
798	200
800	50
802	50
804	50
806	100
808	200
810	50
812	50
814	50
816	100
818	200
820	50
822	50
824	50
826	100
828	200
830	50
832	50
834	50
836	100
838	200
840	50
842	50
844	50
846	100
848	200
850	50
852	50
854	50
856	100
858	200
860	50
862	50
864	50
866	100
868	200
870	50
872	50
874	50
876	100
878	200
880	50
882	50
884	50
886	100
888	200
890	50
892	50
894	50
896	100
898	200
900	50
902	50
904	50
906	100
908	200
910	50
912	50
914	50
916	100
918	200
920	50
922	50
924	50
926	100
928	200
930	50
932	50
934	50
936	100
938	200
940	50
942	50
944	50
946	100
948	200
950	50
952	50
954	50
956	100
958	200
960	50
962	50
964	50
966	100
968	200
970	50
972	50
974	50
976	100
978	200
980	50
982	50
984	50
986	100
988	200
990	50
992	50
994	50
996	100
998	200
