number	string	string
skillid	var1	var2
86	0.001	0
87	1	0
88	1	0
89	1	0
90	1	0
91	1	0
92	1	0
93	1	0
94	1	0
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	0.23+%d*0.0022	0
101	0.23+%d*0.0022	0
102	0.09+%d*0.0009	0
103	0.09+%d*0.0009	0
104	0.09+%d*0.0009	0
105	0.09+%d*0.0009	0
106	0.0001+%d*0	0
107	0.0001+%d*0	0
108	0.0001+%d*0	0
109	0.0001+%d*0	0
110	0.43+%d*0.004	0
111	0.43+%d*0.004	0
112	0.09+%d*0.0009	0
113	0.09+%d*0.0009	0
114	0.13+%d*0.0013	0
115	0.13+%d*0.0013	0
116	0.0001+%d*0	0
117	0.0001+%d*0	0
118	0.0001+%d*0	0
119	0.0001+%d*0	0
120	0.45+%d*0.0045	0
121	0.4+%d*0.004	0
122	0.06+%d*0.006	0
123	0.06+%d*0.006	0
124	0.2+%d*0.002	0
125	0.2+%d*0.002	0
126	0.0001+%d*0	0
127	0.0001+%d*0	0
128	0.0001+%d*0	0
129	0.0001+%d*0	0
130	0.3+%d*0.003	0
131	0.3+%d*0.003	0
132	0.15+%d*0.002	0
133	0.15+%d*0.002	0
134	0.35+%d*0.0035	0
135	0.35+%d*0.0035	0
136	0.0001+%d*0	0
137	0.0001+%d*0	0
138	0.0001+%d*0	0
139	0.0001+%d*0	0
140	0.6+%d*0.004	0
141	0.6+%d*0.004	0
144	0.15+%d*0.0015	0
145	0.15+%d*0.0015	0
142	0.25+%d*0.0025	0
143	0.25+%d*0.0025	0
146	0.0001+%d*0	0
147	0.0001+%d*0	0
148	0.0001+%d*0	0
149	0.0001+%d*0	0
150	0.43+%d*0.0043	0
151	0.43+%d*0.0043	0
152	0.4+%d*0.004	0
153	0.4+%d*0.004	0
154	0.13+%d*0.0013	0
155	0.13+%d*0.0013	0
156	0.0001+%d*0	0
157	0.0001+%d*0	0
158	0.0001+%d*0	0
159	0.0001+%d*0	0
160	0.0001+%d*0	0
161	0.0001+%d*0	0
162	0.2+%d*0.002	0
163	0.2+%d*0.002	0
164	0.2+%d*0.002	0
165	0.3+%d*0.002	0
166	0.0001+%d*0	0
167	0.0001+%d*0	0
168	0.0001+%d*0	0
169	0.0001+%d*0	0
170	0.3+%d*0.006	0
171	0.38+%d*0.006	0
172	0.25+%d*0.0025	0
173	0.25+%d*0.0025	0
174	0.25+%d*0.0025	0
175	0.25+%d*0.0025	0
176	0.0001+%d*0	0
177	0.0001+%d*0	0
