number	number
lv	btp
1	0
2	102
3	132
4	167
5	242
6	328
7	465
8	534
9	651
10	777
11	962
12	1110
13	1266
14	1429
15	1520
16	1767
17	1941
18	2119
19	2301
20	2481
21	3787
22	4140
23	4511
24	4896
25	5295
26	5713
27	6147
28	6595
29	7058
30	7538
31	9254
32	9844
33	10448
34	11076
35	11718
36	12378
37	13059
38	13756
39	14470
40	15205
41	16788
42	17611
43	18438
44	19288
45	20155
46	21041
47	21945
48	22872
49	23816
50	24778
51	33309
52	34605
53	35924
54	37269
55	38638
56	44034
57	45589
58	47180
59	48792
60	50434
61	72392
62	74305
63	76866
64	79426
65	81987
66	84547
67	87090
68	89673
69	92289
70	94947
71	97605
72	100263
73	102921
74	105579
75	108237
76	110895
77	113553
78	116211
79	118869
80	121527
81	124185
82	126843
83	129501
84	132159
85	134817
86	137475
87	140133
88	142791
89	145449
90	148107
91	150765
92	153423
93	156081
94	158739
95	161397
96	164055
97	166713
98	169371
99	172029
100	174687
