number	number	string	number	array	array	number	number	array	number	number	array	number	number	array	number	number	number	number
id	rank	name	cost	coordinate	propertytype1	propertyindex1	promote1	propertytype2	propertyindex2	promote2	propertytype3	propertyindex3	promote3	propertytype4	propertyindex4	promote4	isfinal	round
1001	1	天馬	9 	"[-30,125]"	"[202,200,201]"	3	15 	[]	-1	-1	[]	-1	-1	[]	-1	-1	0	0
1002	1	天竜	12 	"[13,10]"	"[202,201]"	1	19 	[]	-1	-1	[]	-1	-1	[]	-1	-1	1001	0
1003	1	白鳥	15 	"[108,40]"	"[203,200]"	2	19 	[]	-1	-1	[]	-1	-1	[]	-1	-1	1002	0
1004	1	仙女	18 	"[88,175]"	"[203,200]"	1	19 	[]	-1	-1	[]	-1	-1	[]	-1	-1	1003	0
1005	1	鳳凰	21 	"[208,120]"	"[202,201]"	3	15 	[]	-1	-1	[]	-1	-1	[]	-1	-1	1004	0
1006	1	白羊	24 	"[258,10]"	"[203,200]"	1	19 	[]	-1	-1	[]	-1	-1	[]	-1	-1	1005	0
1007	1	磨羯	27 	"[348,100]"	"[200,201]"	4	15 	[]	-1	-1	[]	-1	-1	[]	-1	-1	1006	0
1008	1	天蝎	30 	"[448,120]"	"[202,201]"	2	19 	[]	-1	-1	[]	-1	-1	[]	-1	-1	1007	0
1009	1	金牛	33 	"[440,-10]"	"[203,200]"	3	15 	[]	-1	-1	[]	-1	-1	[]	-1	-1	1008	0
1010	1	獅子	36 	"[543,90]"	"[202,201]"	1	19 	[]	-1	-1	[]	-1	-1	[]	-1	-1	1009	0
1011	1	双魚	39 	"[573,-30]"	[203]	2	19 	[203]	3	15	[203]	4	15	[]	-1	-1	1010	0
1012	1	朱雀	42 	"[623,170]"	"[202,200,201]"	4	15 	[]	-1	-1	[]	-1	-1	[]	-1	-1	1011	0
1013	1	玄武	45 	"[683,10]"	"[202,200,201]"	2	19 	[]	-1	-1	[]	-1	-1	[]	-1	-1	1012	0
1014	1	青龙	48 	"[748,140]"	"[203,202]"	4	15 	[]	-1	-1	[]	-1	-1	[]	-1	-1	1013	0
1015	1	白虎	51 	"[830,15]"	"[203,202,200,201]"	5	60 	[]	-1	-1	[]	-1	-1	[]	-1	-1	1014	501
2000	2	昇格詳細	0 	[]	"[203,202,200,201]"	5	90 	[]	-1	-1	[]	-1	-1	[]	-1	-1	1015	0
2001	2	天馬	12 	"[-30,30]"	"[202,200,201]"	3	18 	[]	-1	-1	[]	-1	-1	[]	-1	-1	2000	0
2002	2	天竜	16 	"[18,110]"	"[202,201]"	1	23 	[]	-1	-1	[]	-1	-1	[]	-1	-1	2001	0
2003	2	白鳥	20 	"[73,-10]"	"[203,200]"	2	23 	[]	-1	-1	[]	-1	-1	[]	-1	-1	2002	0
2004	2	仙女	24 	"[138,150]"	"[203,200]"	1	23 	[]	-1	-1	[]	-1	-1	[]	-1	-1	2003	0
2005	2	鳳凰	28 	"[188,-10]"	"[202,201]"	3	18 	[]	-1	-1	[]	-1	-1	[]	-1	-1	2004	0
2006	2	白羊	32 	"[235,75]"	"[203,200]"	1	23 	[]	-1	-1	[]	-1	-1	[]	-1	-1	2005	0
2007	2	磨羯	36 	"[320,-30]"	"[200,201]"	4	18 	[]	-1	-1	[]	-1	-1	[]	-1	-1	2006	0
2008	2	天蝎	40 	"[330,90]"	"[202,201]"	2	23 	[]	-1	-1	[]	-1	-1	[]	-1	-1	2007	0
2009	2	金牛	44 	"[440,70]"	"[203,200]"	3	18 	[]	-1	-1	[]	-1	-1	[]	-1	-1	2008	0
2010	2	獅子	48 	"[510,-10]"	"[202,201]"	1	23 	[]	-1	-1	[]	-1	-1	[]	-1	-1	2009	0
2011	2	双魚	52 	"[540,100]"	[203]	2	23 	[203]	3	18	[203]	4	18	[]	-1	-1	2010	0
2012	2	朱雀	56 	"[690,150]"	"[202,200,201]"	4	18 	[]	-1	-1	[]	-1	-1	[]	-1	-1	2011	0
2013	2	玄武	60 	"[660,25]"	"[202,200,201]"	2	23 	[]	-1	-1	[]	-1	-1	[]	-1	-1	2012	0
2014	2	青龙	64 	"[760,-10]"	"[203,202]"	4	18 	[]	-1	-1	[]	-1	-1	[]	-1	-1	2013	0
2015	2	白虎	68 	"[830,150]"	"[203,202,200,201]"	5	72 	[]	-1	-1	[]	-1	-1	[]	-1	-1	2014	502
3000	3	昇格詳細	0 	[]	"[203,202,200,201]"	5	108 	[]	-1	-1	[]	-1	-1	[]	-1	-1	2015	0
3001	3	天馬	15 	"[-30,125]"	"[202,200,201]"	3	21 	[]	-1	-1	[]	-1	-1	[]	-1	-1	3000	0
3002	3	天竜	20 	"[13,10]"	"[202,201]"	1	26 	[]	-1	-1	[]	-1	-1	[]	-1	-1	3001	0
3003	3	白鳥	25 	"[108,40]"	"[203,200]"	2	26 	[]	-1	-1	[]	-1	-1	[]	-1	-1	3002	0
3004	3	仙女	30 	"[88,175]"	"[203,200]"	1	26 	[]	-1	-1	[]	-1	-1	[]	-1	-1	3003	0
3005	3	鳳凰	35 	"[208,120]"	"[202,201]"	3	21 	[]	-1	-1	[]	-1	-1	[]	-1	-1	3004	0
3006	3	白羊	40 	"[258,10]"	"[203,200]"	1	26 	[]	-1	-1	[]	-1	-1	[]	-1	-1	3005	0
3007	3	磨羯	45 	"[348,100]"	"[200,201]"	4	21 	[]	-1	-1	[]	-1	-1	[]	-1	-1	3006	0
3008	3	天蝎	50 	"[448,120]"	"[202,201]"	2	26 	[]	-1	-1	[]	-1	-1	[]	-1	-1	3007	0
3009	3	金牛	55 	"[440,-10]"	"[203,200]"	3	21 	[]	-1	-1	[]	-1	-1	[]	-1	-1	3008	0
3010	3	獅子	60 	"[543,90]"	"[202,201]"	1	26 	[]	-1	-1	[]	-1	-1	[]	-1	-1	3009	0
3011	3	双魚	65 	"[573,-30]"	[203]	2	26 	[203]	3	21	[203]	4	21	[]	-1	-1	3010	0
3012	3	朱雀	70 	"[623,170]"	"[202,200,201]"	4	21 	[]	-1	-1	[]	-1	-1	[]	-1	-1	3011	0
3013	3	玄武	75 	"[683,10]"	"[202,200,201]"	2	26 	[]	-1	-1	[]	-1	-1	[]	-1	-1	3012	0
3014	3	青龙	80 	"[748,140]"	"[203,202]"	4	21 	[]	-1	-1	[]	-1	-1	[]	-1	-1	3013	0
3015	3	白虎	85 	"[830,15]"	"[203,202,200,201]"	5	84 	[]	-1	-1	[]	-1	-1	[]	-1	-1	3014	503
4000	4	昇格詳細	0 	[]	"[203,202,200,201]"	5	126 	[]	-1	-1	[]	-1	-1	[]	-1	-1	3015	0
4001	4	天馬	18 	"[-30,30]"	"[202,200,201]"	3	24 	[]	-1	-1	[]	-1	-1	[]	-1	-1	4000	0
4002	4	天竜	24 	"[18,110]"	"[202,201]"	1	30 	[]	-1	-1	[]	-1	-1	[]	-1	-1	4001	0
4003	4	白鳥	30 	"[73,-10]"	"[203,200]"	2	30 	[]	-1	-1	[]	-1	-1	[]	-1	-1	4002	0
4004	4	仙女	36 	"[138,150]"	"[203,200]"	1	30 	[]	-1	-1	[]	-1	-1	[]	-1	-1	4003	0
4005	4	鳳凰	42 	"[188,-10]"	"[202,201]"	3	24 	[]	-1	-1	[]	-1	-1	[]	-1	-1	4004	0
4006	4	白羊	48 	"[235,75]"	"[203,200]"	1	30 	[]	-1	-1	[]	-1	-1	[]	-1	-1	4005	0
4007	4	磨羯	54 	"[320,-10]"	"[200,201]"	4	24 	[]	-1	-1	[]	-1	-1	[]	-1	-1	4006	0
4008	4	天蝎	60 	"[330,90]"	"[202,201]"	2	30 	[]	-1	-1	[]	-1	-1	[]	-1	-1	4007	0
4009	4	金牛	66 	"[440,70]"	"[203,200]"	3	24 	[]	-1	-1	[]	-1	-1	[]	-1	-1	4008	0
4010	4	獅子	72 	"[510,-10]"	"[202,201]"	1	30 	[]	-1	-1	[]	-1	-1	[]	-1	-1	4009	0
4011	4	双魚	78 	"[540,100]"	[203]	2	30 	[203]	3	24	[203]	4	24	[]	-1	-1	4010	0
4012	4	朱雀	84 	"[690,150]"	"[202,200,201]"	4	24 	[]	-1	-1	[]	-1	-1	[]	-1	-1	4011	0
4013	4	玄武	90 	"[660,25]"	"[202,200,201]"	2	30 	[]	-1	-1	[]	-1	-1	[]	-1	-1	4012	0
4014	4	青龙	96 	"[760,-10]"	"[203,202]"	4	24 	[]	-1	-1	[]	-1	-1	[]	-1	-1	4013	0
4015	4	白虎	102 	"[830,150]"	"[203,202,200,201]"	5	96 	[]	-1	-1	[]	-1	-1	[]	-1	-1	4014	504
5000	5	昇格詳細	0 	[]	"[203,202,200,201]"	5	144 	[]	-1	-1	[]	-1	-1	[]	-1	-1	4015	0
5001	5	天馬	23 	"[-30,125]"	"[202,200,201]"	3	27 	[]	-1	-1	[]	-1	-1	[]	-1	-1	5000	0
5002	5	天竜	30 	"[13,10]"	"[202,201]"	1	34 	[]	-1	-1	[]	-1	-1	[]	-1	-1	5001	0
5003	5	白鳥	38 	"[108,40]"	"[203,200]"	2	34 	[]	-1	-1	[]	-1	-1	[]	-1	-1	5002	0
5004	5	仙女	45 	"[88,175]"	"[203,200]"	1	34 	[]	-1	-1	[]	-1	-1	[]	-1	-1	5003	0
5005	5	鳳凰	53 	"[208,120]"	"[202,201]"	3	27 	[]	-1	-1	[]	-1	-1	[]	-1	-1	5004	0
5006	5	白羊	60 	"[258,10]"	"[203,200]"	1	34 	[]	-1	-1	[]	-1	-1	[]	-1	-1	5005	0
5007	5	磨羯	68 	"[348,100]"	"[200,201]"	4	27 	[]	-1	-1	[]	-1	-1	[]	-1	-1	5006	0
5008	5	天蝎	75 	"[448,120]"	"[202,201]"	2	34 	[]	-1	-1	[]	-1	-1	[]	-1	-1	5007	0
5009	5	金牛	83 	"[440,-10]"	"[203,200]"	3	27 	[]	-1	-1	[]	-1	-1	[]	-1	-1	5008	0
5010	5	獅子	90 	"[543,90]"	"[202,201]"	1	34 	[]	-1	-1	[]	-1	-1	[]	-1	-1	5009	0
5011	5	双魚	98 	"[573,-30]"	[203]	2	34 	[203]	3	27	[203]	4	27	[]	-1	-1	5010	0
5012	5	朱雀	105 	"[623,170]"	"[202,200,201]"	4	27 	[]	-1	-1	[]	-1	-1	[]	-1	-1	5011	0
5013	5	玄武	113 	"[683,10]"	"[202,200,201]"	2	34 	[]	-1	-1	[]	-1	-1	[]	-1	-1	5012	0
5014	5	青龙	120 	"[748,140]"	"[203,202]"	4	27 	[]	-1	-1	[]	-1	-1	[]	-1	-1	5013	0
5015	5	白虎	128 	"[830,15]"	"[203,202,200,201]"	5	108 	[]	-1	-1	[]	-1	-1	[]	-1	-1	5014	505
6000	6	昇格詳細	0 	[]	"[203,202,200,201]"	5	162 	[]	-1	-1	[]	-1	-1	[]	-1	-1	5015	0
6001	6	天馬	27 	"[-30,30]"	"[202,200,201]"	3	30 	[]	-1	-1	[]	-1	-1	[]	-1	-1	6000	0
6002	6	天竜	36 	"[18,110]"	"[202,201]"	1	38 	[]	-1	-1	[]	-1	-1	[]	-1	-1	6001	0
6003	6	白鳥	45 	"[73,-10]"	"[203,200]"	2	38 	[]	-1	-1	[]	-1	-1	[]	-1	-1	6002	0
6004	6	仙女	54 	"[138,150]"	"[203,200]"	1	38 	[]	-1	-1	[]	-1	-1	[]	-1	-1	6003	0
6005	6	鳳凰	63 	"[188,-10]"	"[202,201]"	3	30 	[]	-1	-1	[]	-1	-1	[]	-1	-1	6004	0
6006	6	白羊	72 	"[235,75]"	"[203,200]"	1	38 	[]	-1	-1	[]	-1	-1	[]	-1	-1	6005	0
6007	6	磨羯	81 	"[320,-10]"	"[200,201]"	4	30 	[]	-1	-1	[]	-1	-1	[]	-1	-1	6006	0
6008	6	天蝎	90 	"[330,90]"	"[202,201]"	2	38 	[]	-1	-1	[]	-1	-1	[]	-1	-1	6007	0
6009	6	金牛	99 	"[440,70]"	"[203,200]"	3	30 	[]	-1	-1	[]	-1	-1	[]	-1	-1	6008	0
6010	6	獅子	108 	"[510,-10]"	"[202,201]"	1	38 	[]	-1	-1	[]	-1	-1	[]	-1	-1	6009	0
6011	6	双魚	117 	"[540,100]"	[203]	2	38 	[203]	3	30	[203]	4	30	[]	-1	-1	6010	0
6012	6	朱雀	126 	"[690,150]"	"[202,200,201]"	4	30 	[]	-1	-1	[]	-1	-1	[]	-1	-1	6011	0
6013	6	玄武	135 	"[660,25]"	"[202,200,201]"	2	38 	[]	-1	-1	[]	-1	-1	[]	-1	-1	6012	0
6014	6	青龙	144 	"[760,-10]"	"[203,202]"	4	30 	[]	-1	-1	[]	-1	-1	[]	-1	-1	6013	0
6015	6	白虎	153 	"[830,150]"	"[203,202,200,201]"	5	120 	[]	-1	-1	[]	-1	-1	[]	-1	-1	6014	506
7000	7	昇格詳細	0 	[]	"[203,202,200,201]"	5	180 	[]	-1	-1	[]	-1	-1	[]	-1	-1	6015	0
7001	7	天馬	32 	"[-30,125]"	"[202,200,201]"	3	33 	[]	-1	-1	[]	-1	-1	[]	-1	-1	7000	0
7002	7	天竜	42 	"[13,10]"	"[202,201]"	1	41 	[]	-1	-1	[]	-1	-1	[]	-1	-1	7001	0
7003	7	白鳥	53 	"[108,40]"	"[203,200]"	2	41 	[]	-1	-1	[]	-1	-1	[]	-1	-1	7002	0
7004	7	仙女	63 	"[88,175]"	"[203,200]"	1	41 	[]	-1	-1	[]	-1	-1	[]	-1	-1	7003	0
