number	number	string	number	number	number	number	number
id	item_id	name	money_type	price	islimited	item_num	probability
1	19001	地の力	2	18	1	1	2
2	19001	地の力	2	36	1	2	2
3	19001	地の力	2	72	1	4	2
4	19001	地の力	2	126	1	7	2
5	19001	地の力	2	180	1	10	2
6	19001	地の力	2	270	1	15	2
7	19001	地の力	2	360	1	20	2
8	19001	地の力	2	540	1	30	1
9	19001	地の力	2	900	1	50	1
10	19001	地の力	2	1782	1	99	1
11	19001	地の力	2	16	1	1	2
12	19001	地の力	2	32	1	2	2
13	19001	地の力	2	64	1	4	2
14	19001	地の力	2	112	1	7	1
15	19001	地の力	2	160	1	10	1
16	19001	地の力	2	240	1	15	1
17	19001	地の力	2	320	1	20	1
18	19001	地の力	2	480	1	30	1
19	19001	地の力	2	800	1	50	1
20	19001	地の力	2	1584	1	99	1
21	19001	地の力	2	14	1	1	1
22	19001	地の力	2	28	1	2	1
23	19001	地の力	2	56	1	4	1
24	19001	地の力	2	98	1	7	1
25	19001	地の力	2	140	1	10	1
26	19001	地の力	2	210	1	15	1
27	19001	地の力	2	280	1	20	1
28	19001	地の力	2	420	1	30	1
29	19001	地の力	2	700	1	50	1
30	19001	地の力	2	1386	1	99	1
31	19001	地の力	2	12	1	1	1
32	19001	地の力	2	24	1	2	1
33	19001	地の力	2	48	1	4	1
34	19001	地の力	2	84	1	7	1
35	19001	地の力	2	120	1	10	1
36	19001	地の力	2	180	1	15	1
37	19001	地の力	2	240	1	20	1
38	19001	地の力	2	360	1	30	1
39	19001	地の力	2	600	1	50	1
40	19001	地の力	2	1188	1	99	1
41	19001	地の力	2	10	1	1	1
42	19001	地の力	2	20	1	2	1
43	19001	地の力	2	40	1	4	1
44	19001	地の力	2	70	1	7	1
45	19001	地の力	2	100	1	10	1
46	19001	地の力	2	150	1	15	1
47	19001	地の力	2	200	1	20	1
48	19001	地の力	2	300	1	30	1
49	19001	地の力	2	500	1	50	1
50	19001	地の力	2	990	1	99	1
51	19002	日の力	2	22	1	1	2
52	19002	日の力	2	44	1	2	2
53	19002	日の力	2	88	1	4	2
54	19002	日の力	2	154	1	7	2
55	19002	日の力	2	220	1	10	2
56	19002	日の力	2	330	1	15	2
57	19002	日の力	2	440	1	20	2
58	19002	日の力	2	660	1	30	1
59	19002	日の力	2	1100	1	50	1
60	19002	日の力	2	2178	1	99	1
61	19002	日の力	2	20	1	1	2
62	19002	日の力	2	40	1	2	2
63	19002	日の力	2	80	1	4	2
64	19002	日の力	2	140	1	7	1
65	19002	日の力	2	200	1	10	1
66	19002	日の力	2	300	1	15	1
67	19002	日の力	2	400	1	20	1
68	19002	日の力	2	600	1	30	1
69	19002	日の力	2	1000	1	50	1
70	19002	日の力	2	1980	1	99	1
71	19002	日の力	2	17	1	1	1
72	19002	日の力	2	34	1	2	1
73	19002	日の力	2	68	1	4	1
74	19002	日の力	2	119	1	7	1
75	19002	日の力	2	170	1	10	1
76	19002	日の力	2	255	1	15	1
77	19002	日の力	2	340	1	20	1
78	19002	日の力	2	510	1	30	1
79	19002	日の力	2	850	1	50	1
80	19002	日の力	2	1683	1	99	1
81	19002	日の力	2	15	1	1	1
82	19002	日の力	2	30	1	2	1
83	19002	日の力	2	60	1	4	1
84	19002	日の力	2	105	1	7	1
85	19002	日の力	2	150	1	10	1
86	19002	日の力	2	225	1	15	1
87	19002	日の力	2	300	1	20	1
88	19002	日の力	2	450	1	30	1
89	19002	日の力	2	750	1	50	1
90	19002	日の力	2	1485	1	99	1
91	19002	日の力	2	12	1	1	1
92	19002	日の力	2	24	1	2	1
93	19002	日の力	2	48	1	4	1
94	19002	日の力	2	84	1	7	1
95	19002	日の力	2	120	1	10	1
96	19002	日の力	2	180	1	15	1
97	19002	日の力	2	240	1	20	1
98	19002	日の力	2	360	1	30	1
99	19002	日の力	2	600	1	50	1
100	19002	日の力	2	1188	1	99	1
101	19003	月の力	2	27	1	1	2
102	19003	月の力	2	54	1	2	2
103	19003	月の力	2	108	1	4	2
104	19003	月の力	2	189	1	7	2
105	19003	月の力	2	270	1	10	2
106	19003	月の力	2	405	1	15	2
107	19003	月の力	2	540	1	20	2
108	19003	月の力	2	810	1	30	1
109	19003	月の力	2	1350	1	50	1
110	19003	月の力	2	2673	1	99	1
111	19003	月の力	2	24	1	1	2
112	19003	月の力	2	48	1	2	2
113	19003	月の力	2	96	1	4	2
114	19003	月の力	2	168	1	7	1
115	19003	月の力	2	240	1	10	1
116	19003	月の力	2	360	1	15	1
117	19003	月の力	2	480	1	20	1
118	19003	月の力	2	720	1	30	1
119	19003	月の力	2	1200	1	50	1
120	19003	月の力	2	2376	1	99	1
121	19003	月の力	2	21	1	1	1
122	19003	月の力	2	42	1	2	1
123	19003	月の力	2	84	1	4	1
124	19003	月の力	2	147	1	7	1
125	19003	月の力	2	210	1	10	1
126	19003	月の力	2	315	1	15	1
127	19003	月の力	2	420	1	20	1
128	19003	月の力	2	630	1	30	1
129	19003	月の力	2	1050	1	50	1
130	19003	月の力	2	2079	1	99	1
131	19003	月の力	2	18	1	1	1
132	19003	月の力	2	36	1	2	1
133	19003	月の力	2	72	1	4	1
134	19003	月の力	2	126	1	7	1
135	19003	月の力	2	180	1	10	1
136	19003	月の力	2	270	1	15	1
137	19003	月の力	2	360	1	20	1
138	19003	月の力	2	540	1	30	1
139	19003	月の力	2	900	1	50	1
140	19003	月の力	2	1782	1	99	1
141	19003	月の力	2	15	1	1	1
142	19003	月の力	2	30	1	2	1
143	19003	月の力	2	60	1	4	1
144	19003	月の力	2	105	1	7	1
145	19003	月の力	2	150	1	10	1
146	19003	月の力	2	225	1	15	1
147	19003	月の力	2	300	1	20	1
148	19003	月の力	2	450	1	30	1
149	19003	月の力	2	750	1	50	1
150	19003	月の力	2	1485	1	99	1
151	19004	天の力	2	31	1	1	2
152	19004	天の力	2	62	1	2	2
