number	array2	array2	array2	array2
id	count1	count2	count3	count4
1	"[[10001,20000],[11001,5]]"	"[[10001,40000],[11001,10],[10005,30]]"	"[[10001,80000],[10003,50],[10005,30]]"	"[[39999,8]]"
2	"[[10001,20000],[11001,5]]"	"[[10001,40000],[11001,10],[10005,30]]"	"[[10001,80000],[10003,50],[10005,30]]"	"[[39999,8]]"
3	"[[10001,20000],[11001,5]]"	"[[10001,40000],[11001,10],[10005,30]]"	"[[10001,80000],[10003,50],[10005,30]]"	"[[39999,8]]"
4	"[[10001,20000],[11001,5]]"	"[[10001,40000],[11001,10],[10005,30]]"	"[[10001,80000],[10003,50],[10005,30]]"	"[[39999,8]]"
5	"[[10001,20000],[11001,5]]"	"[[10001,40000],[11001,10],[10005,30]]"	"[[10001,80000],[10003,50],[10005,30]]"	"[[39999,8]]"
6	"[[10001,20000],[11001,5]]"	"[[10001,40000],[11001,10],[10005,30]]"	"[[10003,30],[10005,30],[39999,5]]"	"[[39999,8]]"
7	"[[10001,20000],[11001,5]]"	"[[10001,40000],[11001,10],[10005,30]]"	"[[10003,30],[10005,30],[39999,5]]"	"[[39999,8]]"
8	"[[10001,20000],[11001,5]]"	"[[10001,40000],[11001,10],[10005,30]]"	"[[10003,30],[10005,30],[39999,5]]"	"[[39999,8]]"
9	"[[10001,20000],[11001,5]]"	"[[10001,40000],[11001,10],[10005,30]]"	"[[10003,30],[10005,30],[39999,5]]"	"[[39999,8]]"
10	"[[10001,20000],[11001,5]]"	"[[10001,40000],[11001,10],[10005,30]]"	"[[10003,30],[10005,30],[39999,5]]"	"[[39999,8]]"
11	"[[10001,20000],[11001,5]]"	"[[10001,40000],[11001,10],[10005,30]]"	"[[10003,30],[10005,30],[39999,5]]"	"[[39999,8]]"
