number	string
id	tip
1	战士更容易闪避敌人的攻击。
2	法师攻击敌人更容易出现暴击。
3	骑士被敌人攻击时，受到的伤害较少。
4	射手的攻击不容易被敌人闪避。
5	装备升阶后，可强化等级上限也会提升。
6	4级公会的会长可以设定公会boss的时间。
7	普通关卡需要通关一次后才可以进行扫荡哦。
8	通过训练场可以快速提高英雄等级。
9	每天12:00和18:00都有免费的披萨，可以获得额外的体力。
10	精英副本每天二十四点重置。
11	英灵殿里可以招募到很多强力的英雄。
12	世界BOSS、公会BOSS、乱斗场、竞技场排名中都有机会获得技能升阶卷轴。
13	战历可以通过竞技场、乱斗场获得。
14	训练场不可以训练等级与主角一样的英雄。
15	每天探宝可以获得大量金币。
16	退出公会时，公会技能将暂时失效，加入任意公会后恢复技能效果。
17	在上阵队伍中的英雄能和主角一样获得等同的经验值。
18	挑战英雄秘境可以获得英雄碎片和大量灵能。
19	邀请好友助战能获得100点友情点哦。
20	挑战远征可以获得魂器和大量金币哦。
21	关卡战斗时没有人死亡可以获得三星评价。
