number	number	string	number	number	number	array2	array2	array	number	array2	array	array2	array	number	number	number	number	number	number
id	openid	icon	level	monster_level	color	treasure_drop	first_drop	monster_name	boss_name	initial_monster	initial_boss	monster	boss	gold	gold_minute	gold_1hour	gold_2hour	gold_3hour	gold_4hour
4001	0	3032	10	8	1	"[[10003,10000,10,15]]"	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	1500	122	5490	8052	8930	11814
4002	4001	3033	10	9	1	[]	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	1500	124	5580	8184	9076	12007
4003	4002	3034	10	10	1	[]	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	1500	126	5670	8316	9223	12201
4004	4003	3035	10	11	1	[]	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	1500	128	5760	8448	9369	12394
4005	4004	3031	10	12	1	"[[10003,10000,10,15]]"	"[[10003,10000,10,10]]"	"[6011,6010,6012]"	0	"[[6010,214,2],[6010,217,4],[6011,217,2],[6010,89,2],[6012,155,2]]"	[]	[]	[]	1500	130	5850	8580	9516	12589
4006	4005	3032	10	13	1	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,114,2],[6006,121,4],[6001,208,2],[6001,205,3]]"	[]	[]	[]	1500	132	5940	8712	9662	12782
4007	4006	3033	10	14	1	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,125,2],[6006,128,3],[6006,132,4],[6001,198,2],[6001,196,4]]"	[]	[]	[]	1500	134	6030	8844	9808	12975
4008	4007	3034	10	15	1	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,98,1],[6006,100,2],[6006,102,3],[6006,107,4],[6001,189,2]]"	[]	[]	[]	1500	136	6120	8976	9955	13170
4009	4008	3035	10	16	1	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,125,2],[6006,128,3],[6006,132,4],[6001,198,2],[6001,196,4]]"	[]	[]	[]	1500	138	6210	9108	10101	13363
4010	4009	3027	10	17	2	"[[10003,10000,10,15]]"	"[[10003,10000,10,10]]"	"[6013,6014,6015]"	0	"[[6013,59,2],[6013,59,4],[6014,59,1],[6015,124,4],[6015,134,3]]"	[]	[]	[]	1500	140	6300	9240	10248	13557
4011	4010	3032	20	18	1	[]	"[[10003,10000,10,10]]"	"[6008,6006,6007]"	0	"[[6008,96,2],[6006,98,3],[6006,93,2],[6007,180,1],[6007,178,3]]"	[]	[]	[]	1500	142	6390	9372	10394	13750
4012	4011	3033	20	18	1	"[[10038,5000,0,1]]"	"[[10003,10000,10,10]]"	"[6008,6006,6007]"	0	"[[6008,105,2],[6008,105,3],[6006,102,3],[6007,189,2],[6007,185,3]]"	[]	[]	[]	1500	144	6480	9504	10540	13944
4013	4012	3034	20	18	1	[]	"[[10003,10000,10,10]]"	"[6008,6006,6001]"	0	"[[6008,132,2],[6008,134,3],[6008,139,4],[6006,144,4],[6001,233,2]]"	[]	[]	[]	1500	146	6570	9636	10687	14138
4014	4013	3035	20	18	1	[]	"[[10003,10000,10,10]]"	"[6008,6006,6001]"	0	"[[6008,105,2],[6008,112,2],[6006,112,3],[6006,116,4],[6001,194,3]]"	[]	[]	[]	1500	148	6660	9768	10833	14331
4015	4014	3031	20	18	1	"[[10003,10000,10,15]]"	"[[10003,10000,10,10]]"	"[6016,6018,6017]"	0	"[[6017,77,2],[6017,82,2],[6017,82,4],[6018,182,2],[6016,162,3],[6012,224,3]]"	[]	[]	[]	1500	150	6750	9900	10980	14526
4016	4015	3032	20	18	1	[]	"[[10003,10000,10,10]]"	[6009]	0	"[[6009,132,2],[6009,137,3],[6009,137,4]]"	[]	[]	[]	2000	152	6840	10032	11126	14719
4017	4016	3033	20	18	1	[]	"[[10003,10000,10,10]]"	[6009]	0	"[[6009,132,2],[6009,137,3],[6009,137,4],[6009,137,5]]"	[]	[]	[]	2000	154	6930	10164	11272	14912
4018	4017	3034	20	18	1	[]	"[[10003,10000,10,10]]"	[6009]	0	"[[6009,132,2],[6009,137,3],[6009,137,4],[6009,137,5],[6009,137,1]]"	[]	[]	[]	2000	156	7020	10296	11419	15106
4019	4018	3035	20	18	1	[]	"[[10003,10000,10,10]]"	"[6001,6009]"	0	"[[6009,96,1],[6009,100,2],[6009,100,2],[6009,102,3],[6009,107,5],[6001,187,2],[6001,187,3]]"	[]	[]	[]	2000	158	7110	10428	11565	15300
4020	4019	3028	20	19	2	"[[12401,10000,2,3],[10003,5000,0,10]]"	"[[10003,10000,10,10]]"	"[6025,6024]"	0	"[[6024,212,2],[6025,112,3]]"	[]	[]	[]	2000	160	7200	10560	11712	15494
4021	4020	3032	30	19	2	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,114,2],[6006,121,4],[6001,208,2],[6001,205,3]]"	[]	[]	[]	2000	164	7380	10824	12004	15880
4022	4021	3033	30	19	2	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,125,2],[6006,128,3],[6006,132,4],[6001,198,2],[6001,196,4]]"	[]	[]	[]	2000	168	7560	11088	12297	16268
4023	4022	3034	30	19	2	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,98,1],[6006,100,2],[6006,102,3],[6006,107,4],[6001,189,2]]"	[]	[]	[]	2000	172	7740	11352	12590	16656
4024	4023	3035	30	19	2	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,125,2],[6006,128,3],[6006,132,4],[6001,198,2],[6001,196,4]]"	[]	[]	[]	2000	176	7920	11616	12883	17043
4025	4024	3031	30	19	2	"[[10003,10000,10,15]]"	"[[10003,10000,10,10]]"	"[6013,6014,6015]"	0	"[[6013,59,2],[6013,59,4],[6014,59,1],[6015,124,4],[6015,134,3]]"	[]	[]	[]	2000	180	8100	11880	13176	17431
4026	4025	3032	30	19	2	[]	"[[10003,10000,10,10]]"	"[6008,6006,6007]"	0	"[[6008,96,2],[6006,98,3],[6006,93,2],[6007,180,1],[6007,178,3]]"	[]	[]	[]	2000	184	8280	12144	13468	17817
4027	4026	3033	30	19	2	"[[10044,5000,0,1]]"	"[[10003,10000,10,10]]"	"[6008,6006,6007]"	0	"[[6008,105,2],[6008,105,3],[6006,102,3],[6007,189,2],[6007,185,3]]"	[]	[]	[]	2000	188	8460	12408	13761	18205
4028	4027	3034	30	19	2	[]	"[[10003,10000,10,10]]"	"[6008,6006,6001]"	0	"[[6008,132,2],[6008,134,3],[6008,139,4],[6006,144,4],[6001,233,2]]"	[]	[]	[]	2000	192	8640	12672	14054	18592
4029	4028	3035	30	19	2	[]	"[[10003,10000,10,10]]"	"[6008,6006,6001]"	0	"[[6008,105,2],[6008,112,2],[6006,112,3],[6006,116,4],[6001,194,3]]"	[]	[]	[]	2000	196	8820	12936	14347	18980
4030	4029	3029	30	20	3	"[[12401,10000,2,3],[10003,5000,0,10]]"	"[[10003,10000,10,10]]"	"[6016,6018,6017]"	0	"[[6017,77,2],[6017,82,2],[6017,82,4],[6018,182,2],[6016,162,3],[6012,224,3]]"	[]	[]	[]	2000	200	9000	13200	14640	19368
4031	4030	3032	40	22	2	[]	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	2500	208	9360	13728	15225	20142
4032	4031	3033	40	24	2	[]	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	2500	216	9720	14256	15811	20917
4033	4032	3034	40	26	2	[]	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	2500	224	10080	14784	16396	21691
4034	4033	3035	40	28	2	[]	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	2500	232	10440	15312	16982	22466
4035	4034	3031	40	30	2	"[[10003,10000,10,15]]"	"[[10003,10000,10,10]]"	"[6029,6028,6027,6026]"	0	"[[6026,241,2],[6029,166,2],[6028,82,1],[6027,80,3],[6028,81,4]]"	[]	[]	[]	2500	240	10800	15840	17568	23241
4036	4035	3032	40	32	2	[]	"[[10003,10000,10,10]]"	[6009]	0	"[[6009,132,2],[6009,137,3],[6009,137,4]]"	[]	[]	[]	2500	248	11160	16368	18153	24015
4037	4036	3033	40	34	2	[]	"[[10003,10000,10,10]]"	[6009]	0	"[[6009,132,2],[6009,137,3],[6009,137,4],[6009,137,5]]"	[]	[]	[]	2500	256	11520	16896	18739	24790
4038	4037	3034	40	36	2	"[[10072,5000,0,1]]"	"[[10003,10000,10,10]]"	[6009]	0	"[[6009,132,2],[6009,137,3],[6009,137,4],[6009,137,5],[6009,137,1]]"	[]	[]	[]	2500	264	11880	17424	19324	25564
4039	4038	3035	40	38	2	[]	"[[10003,10000,10,10]]"	"[6001,6009]"	0	"[[6009,96,1],[6009,100,2],[6009,100,2],[6009,102,3],[6009,107,5],[6001,187,2],[6001,187,3]]"	[]	[]	[]	2500	272	12240	17952	19910	26340
4040	4039	3030	40	40	3	"[[12402,10000,2,3],[10003,5000,0,10]]"	"[[10003,10000,10,10]]"	"[6030,6031]"	0	"[[6030,147,2],[6031,144,2],[6031,140,4]]"	[]	[]	[]	2500	280	12600	18480	20496	27115
4041	4040	3032	50	41	3	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,114,2],[6006,121,4],[6001,208,2],[6001,205,3]]"	[]	[]	[]	2500	288	12960	19008	21081	27889
4042	4041	3033	50	42	3	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,125,2],[6006,128,3],[6006,132,4],[6001,198,2],[6001,196,4]]"	[]	[]	[]	2500	296	13320	19536	21667	28664
4043	4042	3034	50	43	3	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,98,1],[6006,100,2],[6006,102,3],[6006,107,4],[6001,189,2]]"	[]	[]	[]	2500	304	13680	20064	22252	29438
4044	4043	3035	50	44	3	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,125,2],[6006,128,3],[6006,132,4],[6001,198,2],[6001,196,4]]"	[]	[]	[]	2500	312	14040	20592	22838	30213
4045	4044	3031	50	45	3	"[[10003,10000,10,15]]"	"[[10003,10000,10,10]]"	"[6034,6035,6032,6033]"	0	"[[6032,128,2],[6033,246,2],[6034,121,1],[6034,198,1],[6035,120,3]]"	[]	[]	[]	2500	320	14400	21120	23424	30988
4046	4045	3032	50	46	3	[]	"[[10003,10000,10,10]]"	"[6008,6006,6007]"	0	"[[6008,96,2],[6006,98,3],[6006,93,2],[6007,180,1],[6007,178,3]]"	[]	[]	[]	3000	328	14760	21648	24009	31762
4047	4046	3033	50	47	3	"[[10060,5000,0,1]]"	"[[10003,10000,10,10]]"	"[6008,6006,6007]"	0	"[[6008,105,2],[6008,105,3],[6006,102,3],[6007,189,2],[6007,185,3]]"	[]	[]	[]	3000	336	15120	22176	24595	32538
4048	4047	3034	50	48	3	[]	"[[10003,10000,10,10]]"	"[6008,6006,6001]"	0	"[[6008,132,2],[6008,134,3],[6008,139,4],[6006,144,4],[6001,233,2]]"	[]	[]	[]	3000	344	15480	22704	25180	33312
4049	4048	3035	50	49	3	[]	"[[10003,10000,10,10]]"	"[6008,6006,6001]"	0	"[[6008,105,2],[6008,112,2],[6006,112,3],[6006,116,4],[6001,194,3]]"	[]	[]	[]	3000	352	15840	23232	25766	34087
4050	4049	3026	50	50	4	"[[12402,10000,2,3],[10003,10000,0,10]]"	"[[10003,10000,10,10]]"	"[6037,6038,6036]"	0	"[[6038,149,1],[6038,150,3],[6037,245,2],[6036,200,4]]"	[]	[]	[]	3000	360	16200	23760	26352	34862
4051	4050	3032	60	51	3	[]	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	3000	376	16920	24816	27523	36411
4052	4051	3033	60	52	3	[]	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	3000	392	17640	25872	28694	37960
4053	4052	3034	60	53	3	[]	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	3000	408	18360	26928	29865	39510
4054	4053	3035	60	54	3	[]	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	3000	424	19080	27984	31036	41059
4055	4054	3031	60	55	3	"[[10003,10000,10,15]]"	"[[10003,10000,10,10]]"	"[6040,6039]"	0	"[[6039,241,2],[6040,162,2],[6040,163,4],[6040,165,3]]"	[]	[]	[]	3000	440	19800	29040	32208	42609
4056	4055	3032	60	56	3	[]	"[[10003,10000,10,10]]"	[6009]	0	"[[6009,132,2],[6009,137,3],[6009,137,4]]"	[]	[]	[]	3000	456	20520	30096	33379	44158
4057	4056	3033	60	57	3	[]	"[[10003,10000,10,10]]"	[6009]	0	"[[6009,132,2],[6009,137,3],[6009,137,4],[6009,137,5]]"	[]	[]	[]	3000	472	21240	31152	34550	45708
4058	4057	3034	60	58	3	[]	"[[10003,10000,10,10]]"	[6009]	0	"[[6009,132,2],[6009,137,3],[6009,137,4],[6009,137,5],[6009,137,1]]"	[]	[]	[]	3000	488	21960	32208	35721	47257
4059	4058	3035	60	59	3	[]	"[[10003,10000,10,10]]"	"[6001,6009]"	0	"[[6009,96,1],[6009,100,2],[6009,100,2],[6009,102,3],[6009,107,5],[6001,187,2],[6001,187,3]]"	[]	[]	[]	3000	504	22680	33264	36892	48806
4060	4059	3027	60	60	3	"[[12406,10000,2,3],[10003,5000,0,10]]"	"[[10003,10000,10,10]]"	"[6041,6044,6043,6042]"	0	"[[6041,224,2],[6042,284,2],[6043,150,2],[6043,151,4],[6044,156,3]]"	[]	[]	[]	3000	520	23400	34320	38064	50356
4061	4060	3032	70	61	4	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,114,2],[6006,121,4],[6001,208,2],[6001,205,3]]"	[]	[]	[]	3500	536	24120	35376	39235	51906
4062	4061	3033	70	62	4	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,125,2],[6006,128,3],[6006,132,4],[6001,198,2],[6001,196,4]]"	[]	[]	[]	3500	552	24840	36432	40406	53455
4063	4062	3034	70	63	4	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,98,1],[6006,100,2],[6006,102,3],[6006,107,4],[6001,189,2]]"	[]	[]	[]	3500	568	25560	37488	41577	55004
4064	4063	3035	70	64	4	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,125,2],[6006,128,3],[6006,132,4],[6001,198,2],[6001,196,4]]"	[]	[]	[]	3500	584	26280	38544	42748	56553
4065	4064	3031	70	65	4	"[[10003,10000,10,15]]"	"[[10003,10000,10,10]]"	"[6047,6045,6046,6048]"	0	"[[6048,135,4],[6048,132,2],[6046,197,2],[6045,277,2],[6047,279,3]]"	[]	[]	[]	3500	600	27000	39600	43920	58104
4066	4065	3032	70	66	4	[]	"[[10003,10000,10,10]]"	"[6008,6006,6007]"	0	"[[6008,96,2],[6006,98,3],[6006,93,2],[6007,180,1],[6007,178,3]]"	[]	[]	[]	3500	616	27720	40656	45091	59653
4067	4066	3033	70	67	4	[]	"[[10003,10000,10,10]]"	"[6008,6006,6007]"	0	"[[6008,105,2],[6008,105,3],[6006,102,3],[6007,189,2],[6007,185,3]]"	[]	[]	[]	3500	632	28440	41712	46262	61202
4068	4067	3034	70	68	4	[]	"[[10003,10000,10,10]]"	"[6008,6006,6001]"	0	"[[6008,132,2],[6008,134,3],[6008,139,4],[6006,144,4],[6001,233,2]]"	[]	[]	[]	3500	648	29160	42768	47433	62751
4069	4068	3035	70	69	4	[]	"[[10003,10000,10,10]]"	"[6008,6006,6001]"	0	"[[6008,105,2],[6008,112,2],[6006,112,3],[6006,116,4],[6001,194,3]]"	[]	[]	[]	3500	664	29880	43824	48604	64300
