string	number	number	number	number	number	number	number	number	number	number
id_level	atk	mgc	def	res	hp	critical	accuracy	dodge	skill_level	hp_bar
3027_19	1139	1139	804	804	112680	450	450	450	4	4
3028_29	1980	1980	1584	1584	173625	750	750	750	9	5
3029_39	3780	3780	3024	3024	261765	850	850	850	12	6
3030_49	6180	6180	4944	4944	382655	1000	1000	1000	15	6
3026_59	9180	9180	7344	7344	533045	1200	1200	1200	18	6
3027_69	12780	12780	10224	10224	699435	1300	1300	1300	20	6
3028_79	16380	16380	13104	13104	881825	1400	1400	1400	20	6
3029_89	20880	20880	16704	16704	1080215	1500	1500	1500	20	7
3030_99	26280	26280	21024	21024	1294605	1600	1600	1600	20	7
3026_109	31680	31680	25344	25344	1487800	1700	1700	1700	20	7
