number	number	number	number	number
id	item1	pro1	num	boxid
1	10001	5040	50000	20002
2	10001	6000	30000	20002
3	10001	9000	10000	20002
4	10003	2000	100	20002
5	10003	5000	50	20002
6	10003	8000	10	20002
7	10004	5600	1200	20002
8	10009	5000	10	20002
9	15001	6000	1	20002
10	15002	6000	1	20002
11	16091	111	1	20002
12	16092	111	1	20002
13	16093	111	1	20002
14	16094	5	1	20002
15	16095	20	1	20002
16	16096	20	1	20002
17	16097	20	1	20002
18	16098	51	1	20002
19	16099	51	1	20002
20	16101	70	1	20002
21	16102	70	1	20002
22	16103	70	1	20002
23	16104	5	1	20002
24	16105	10	1	20002
25	16106	10	1	20002
26	16107	10	1	20002
27	16108	30	1	20002
28	16109	30	1	20002
29	16111	40	1	20002
30	16112	40	1	20002
31	16113	40	1	20002
32	16114	5	1	20002
33	16115	10	1	20002
34	16116	10	1	20002
35	16117	10	1	20002
36	16118	20	1	20002
37	16119	20	1	20002
38	19001	7000	2	20002
39	19002	5000	2	20002
40	19003	4000	2	20002
41	19004	3000	1	20002
42	19005	2000	1	20002
43	21001	2000	1	20002
44	21002	3000	1	20002
45	21003	5000	1	20002
46	32002	200	1	20002
47	32003	200	1	20002
48	32004	300	1	20002
49	32005	300	1	20002
50	32006	416	1	20002
51	32007	300	1	20002
52	32008	416	1	20002
53	32009	416	1	20002
54	32012	200	1	20002
55	32013	416	1	20002
56	32014	416	1	20002
57	32018	300	1	20002
58	32019	415	1	20002
59	32049	415	1	20002
60	32075	300	1	20002
61	32076	300	1	20002
62	32077	200	1	20002
63	32078	300	1	20002
64	32079	415	1	20002
65	32080	200	1	20002
66	32081	415	1	20002
67	32082	415	1	20002
68	32087	415	1	20002
69	32090	415	1	20002
70	32100	415	1	20002
71	32104	415	1	20002
72	32105	200	1	20002
73	32106	415	1	20002
74	32107	415	1	20002
75	32109	415	1	20002
76	10001	3000	20000	20001
77	10001	5000	10000	20001
78	10001	8000	5000	20001
79	10003	2000	50	20001
80	10003	4000	30	20001
81	10003	6000	10	20001
82	10004	8000	400	20001
83	15001	3000	2	20001
84	15001	3000	1	20001
85	15002	3000	2	20001
86	15002	3000	1	20001
87	16041	455	1	20001
88	16042	455	1	20001
89	16043	455	1	20001
90	16044	15	1	20001
91	16045	40	1	20001
92	16046	40	1	20001
93	16047	40	1	20001
94	16048	270	1	20001
95	16049	270	1	20001
96	19001	8000	2	20001
97	19002	6000	2	20001
98	19003	5000	2	20001
99	19004	4000	2	20001
100	19005	3300	2	20001
101	21001	2000	1	20001
102	21002	3000	1	20001
103	21003	5000	1	20001
104	32001	500	1	20001
105	32006	417	1	20001
106	32008	417	1	20001
107	32009	417	1	20001
108	32013	417	1	20001
109	32014	416	1	20001
110	32015	500	1	20001
111	32016	500	1	20001
112	32019	416	1	20001
113	32020	500	1	20001
114	32021	500	1	20001
115	32038	500	1	20001
116	32049	416	1	20001
117	32058	500	1	20001
118	32061	500	1	20001
119	32079	416	1	20001
120	32081	416	1	20001
121	32082	416	1	20001
122	32084	500	1	20001
123	32086	500	1	20001
124	32087	416	1	20001
125	32088	500	1	20001
126	32089	500	1	20001
127	32090	416	1	20001
128	32100	416	1	20001
129	32101	500	1	20001
130	32102	500	1	20001
131	32104	416	1	20001
132	32107	416	1	20001
133	32109	416	1	20001
