number	number	array2
rank	honor_win	item
1	800	[]
2	775	[]
3	750	[]
4	725	[]
5	700	[]
6	680	[]
7	660	[]
8	640	[]
9	620	[]
10	600	[]
11	590	[]
12	590	[]
13	590	[]
14	590	[]
15	590	[]
16	590	[]
17	590	[]
18	590	[]
19	590	[]
20	590	[]
21	575	[]
22	575	[]
23	575	[]
24	575	[]
25	575	[]
26	575	[]
27	575	[]
28	575	[]
29	575	[]
30	575	[]
31	560	[]
32	560	[]
33	560	[]
34	560	[]
35	560	[]
36	560	[]
37	560	[]
38	560	[]
39	560	[]
40	560	[]
41	545	[]
42	545	[]
43	545	[]
44	545	[]
45	545	[]
46	545	[]
47	545	[]
48	545	[]
49	545	[]
50	545	[]
51	530	[]
52	530	[]
53	530	[]
54	530	[]
55	530	[]
56	530	[]
57	530	[]
58	530	[]
59	530	[]
60	530	[]
61	530	[]
62	530	[]
63	530	[]
64	530	[]
65	530	[]
66	530	[]
67	530	[]
68	530	[]
69	530	[]
70	530	[]
71	515	[]
72	515	[]
73	515	[]
74	515	[]
75	515	[]
76	515	[]
77	515	[]
78	515	[]
79	515	[]
80	515	[]
81	515	[]
82	515	[]
83	515	[]
84	515	[]
85	515	[]
86	515	[]
87	515	[]
88	515	[]
89	515	[]
90	515	[]
91	515	[]
92	515	[]
93	515	[]
94	515	[]
95	515	[]
96	515	[]
97	515	[]
98	515	[]
99	515	[]
100	515	[]
200	500	[]
300	450	[]
400	425	[]
500	400	[]
700	350	[]
1000	300	[]
2000	260	[]
2001	220	[]
