number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	string	string	string	string	string	string	string	string
vip_level	pay	buy_coin	buy_power	power_limit	buy_ladder	buy_train	reset_elite	reset_zodiac	reset_trial	reset_mission	summon_rune	refresh_star	reset_miku	reset_golden_box	reset_silver_box	item1	pro1	item2	pro2	shengwang	zhanli	julong	privilege1	privilege2	privilege3	privilege4	privilege5	privilege6	privilege7	privilege8
0	0	2	1	99999	0	0	0	0	0	0	0	0	0	0	0	10001	1	10012	0	0	0	0								
1	10	4	2	99999	1	0	0	0	0	0	0	0	0	0	0	10001	2000	10012	1	0	0	0	闘技場の対戦回数1回購入可能							
2	50	6	3	99999	2	0	1	0	0	0	0	0	0	0	0	10001	4000	10012	3	0	0	0	闘技場の対戦回数2回購入可能	ハード回数リセット1回購入可能						
3	250	8	4	99999	3	0	2	0	1	0	0	0	0	0	0	10001	6000	10012	5	0	0	0	闘技場の対戦回数3回購入可能	ハード回数リセット2回購入可能	試練の回数リセット1回購入可能	スキップでも信頼度がアップするようになる				
4	700	10	5	99999	4	0	3	0	2	0	0	0	0	0	0	10001	8000	10013	1	0	0	0	闘技場の対戦回数4回購入可能	ハード回数リセット3回購入可能	試練の回数リセット2回購入可能	世界ボスの待ち時間無し				
5	1200	13	6	99999	5	0	4	0	3	0	0	0	0	0	0	10001	10000	30031	10	0	0	0.6	闘技場の対戦回数5回購入可能	ハード回数リセット4回購入可能	試練の回数リセット3回購入可能					
6	1800	16	8	99999	6	0	5	0	4	0	0	0	0	0	0	10001	12500	10012	15	0	0	0.6	闘技場の対戦回数6回購入可能	ハード回数リセット5回購入可能	試練の回数リセット4回購入可能	討伐でキャラ情報の出現率UP	取り逃したログインボーナスをダイヤで獲得可能			
7	2500	20	10	99999	7	0	6	0	5	0	0	0	0	0	0	10001	15000	10012	20	0	0	0.6	闘技場の対戦回数7回購入可能	ハード回数リセット6回購入可能	試練の回数リセット5回購入可能	秘宝の収益アップ				
8	3200	25	12	99999	8	0	7	0	6	0	0	0	0	0	0	10001	17500	10013	2	0	0	0.6	闘技場の対戦回数8回購入可能	ハード回数リセット7回購入可能	試練の回数リセット6回購入可能	秘宝の回数リセット1回購入可能				
9	3900	30	14	99999	9	0	8	0	7	0	0	0	0	0	0	10001	20000	30031	20	0	0	0.6	闘技場の対戦回数9回購入可能	ハード回数リセット8回購入可能	試練の回数リセット7回購入可能	ダイヤで試練のクールタイムスキップ可能				
10	4600	35	16	99999	10	0	9	1	8	0	0	0	0	0	0	10001	24000	10012	30	0	0	0.6	闘技場の対戦回数10回購入可能	ハード回数リセット9回購入可能	試練の回数リセット8回購入可能					
11	5700	40	18	99999	11	0	10	1	9	0	0	0	0	0	0	10001	28000	10013	3	0	0	0.6	闘技場の対戦回数11回購入可能	ハード回数リセット10回購入可能	試練の回数リセット9回購入可能	無料ガチャの待ち時間を無しにする				
12	7700	50	21	99999	12	0	11	1	10	0	0	0	0	0	0	10001	32000	30031	50	0	0	0.6	闘技場の対戦回数12回購入可能	ハード回数リセット11回購入可能	試練の回数リセット10回購入可能					
13	10700	60	24	99999	13	0	12	1	11	0	0	0	0	0	0	10001	36000	10013	5	0	0	0.6	闘技場の対戦回数13回購入可能	ハード回数リセット12回購入可能	試練の回数リセット11回購入可能	秘宝の回数リセット2回購入可能				
14	13700	80	27	99999	14	0	13	1	12	0	0	0	0	0	0	10001	40000	10013	8	0	0	0.6	闘技場の対戦回数14回購入可能	ハード回数リセット13回購入可能	試練の回数リセット12回購入可能	秘宝の回数リセット3回購入可能				
15	17700	100	30	99999	15	0	14	1	13	0	0	0	0	0	0	10001	45000	30031	100	0	0	0.6	闘技場の対戦回数15回購入可能	ハード回数リセット14回購入可能	試練の回数リセット13回購入可能					
16	22700	120	33	99999	16	0	15	1	14	0	0	0	0	0	0	10001	60000	10013	10	0	0	0.6	闘技場の対戦回数16回購入可能	ハード回数リセット15回購入可能	試練の回数リセット14回購入可能					
17	29700	140	36	99999	17	0	16	1	15	0	0	0	0	0	0	10001	80000	10013	20	0	0	0.6	闘技場の対戦回数17回購入可能	ハード回数リセット16回購入可能	試練の回数リセット15回購入可能					
18	36200	200	38	99999	18	0	17	1	16	0	0	0	0	0	0	10001	100000	30031	200	0	0	0.6	闘技場の対戦回数18回購入可能	ハード回数リセット17回購入可能	試練の回数リセット16回購入可能					
