number	number	number	number	number	number	number	number	number
vip_level	item1	count1	item2	count2	item3	count3	item4	count4
1	10001	2000	11001	0	11001	0	11001	0
2	10001	4000	11001	0	11001	0	11001	0
3	10001	6000	11001	1	11001	0	11001	0
4	10001	8000	11001	5	11001	0	11001	0
5	10001	10000	11002	2	11001	0	11001	0
6	10001	12500	11002	5	11001	0	11001	0
7	10001	15000	11003	3	16004	3	11001	0
8	10001	17500	10012	2	16004	3	11001	0
9	10001	20000	10012	5	16004	3	11001	0
10	10001	24000	10012	8	16004	5	11001	0
11	10001	28000	10012	12	16004	5	11001	0
12	10001	32000	39999	1	16004	5	11001	0
13	10001	36000	39999	1	16004	5	11001	0
14	10001	40000	39999	1	30012	1	16004	5
15	10001	45000	39999	1	30012	1	16004	5
16	16004	5	39999	1	30031	1	30012	1
17	16004	5	39999	1	30031	1	30012	1
18	16004	5	39999	1	30031	1	30012	1
