number	string	number	number	array	array	array	array	array	array	array	array	number	array	array	number	string
id	name	type	rare	atk	mgc	def	res	hp	acc	crit	dodge	speed	pro	genpro	split	icon
23001	天使の翼	23000	1	"[45,56]"	"[45,56]"	"[38,47]"	"[34,43]"	"[172,215]"	[]	[]	[]	1	"[6000,4000,0,0,0]"	"[10000,0,0,0,0]"	10	23001
23002	天使の翼	23000	2	"[57,68]"	"[57,68]"	"[48,57]"	"[43,51]"	"[216,258]"	[]	[]	[]	1	"[0,6000,4000,0,0]"	"[10000,0,0,0,0]"	10	23002
23003	天使の翼	23000	3	"[68,79]"	"[68,79]"	"[57,66]"	"[51,60]"	"[259,300]"	[]	[]	[]	1	"[0,0,6000,4000,0]"	"[10000,0,0,0,0]"	10	23003
23004	天使の翼	23000	4	"[79,90]"	"[79,90]"	"[67,76]"	"[60,68]"	"[301,342]"	[]	[]	[]	1	"[0,0,0,6000,4000]"	"[10000,0,0,0,0]"	10	23004
23005	天使の翼	23000	5	"[90,90]"	"[90,90]"	"[76,76]"	"[68,68]"	"[343,343]"	[]	[]	[]	1	"[0,0,0,0,10000]"	"[10000,0,0,0,0]"	10	23005
23011	霊魂の翼	23010	1	"[91,113]"	"[91,113]"	"[76,95]"	"[68,86]"	"[344,430]"	[]	[]	[]	1	"[6000,4000,0,0,0]"	[]	15	23011
23012	霊魂の翼	23010	2	"[114,136]"	"[114,136]"	"[96,115]"	"[86,103]"	"[431,516]"	[]	[]	[]	1	"[0,6000,4000,0,0]"	[]	15	23012
23013	霊魂の翼	23010	3	"[137,159]"	"[137,159]"	"[115,133]"	"[103,120]"	"[517,600]"	[]	[]	[]	1	"[0,0,6000,4000,0]"	[]	15	23013
23014	霊魂の翼	23010	4	"[159,181]"	"[159,181]"	"[133,152]"	"[120,137]"	"[600,686]"	[]	[]	[]	1	"[0,0,0,6000,4000]"	[]	15	23014
23015	霊魂の翼	23010	5	"[182,182]"	"[182,182]"	"[153,153]"	"[137,137]"	"[687,687]"	[]	[]	[]	1	"[0,0,0,0,10000]"	[]	15	23015
23021	無垢の翼	23020	1	"[182,227]"	"[182,227]"	"[153,191]"	"[137,172]"	"[688,860]"	[]	[]	[]	1	"[6000,4000,0,0,0]"	[]	65	23021
23022	無垢の翼	23020	2	"[228,273]"	"[228,273]"	"[192,229]"	"[172,206]"	"[861,1031]"	[]	[]	[]	1	"[0,6000,4000,0,0]"	[]	65	23022
23023	無垢の翼	23020	3	"[273,318]"	"[273,318]"	"[229,267]"	"[206,240]"	"[1031,1200]"	[]	[]	[]	1	"[0,0,6000,4000,0]"	[]	65	23023
23024	無垢の翼	23020	4	"[318,364]"	"[318,364]"	"[267,306]"	"[240,274]"	"[1200,1374]"	[]	[]	[]	1	"[0,0,0,6000,4000]"	[]	65	23024
23025	無垢の翼	23020	5	"[364,364]"	"[364,364]"	"[306,306]"	"[275,275]"	"[1375,1375]"	[]	[]	[]	1	"[0,0,0,0,10000]"	[]	65	23025
23031	光耀の翼	23030	1	"[364,455]"	"[364,455]"	"[306,383]"	"[275,343]"	"[1375,1719]"	[]	[]	[]	1	"[6000,4000,0,0,0]"	[]	200	23031
23032	光耀の翼	23030	2	"[508,546]"	"[508,546]"	"[428,459]"	"[384,412]"	"[1920,2062,]"	[]	[]	[]	1	"[0,6000,4000,0,0]"	[]	200	23032
23033	光耀の翼	23030	3	"[546,636]"	"[546,636]"	"[459,535]"	"[412,480]"	"[2062,2400]"	[]	[]	[]	1	"[0,0,6000,4000,0]"	[]	200	23033
23034	光耀の翼	23030	4	"[636,728]"	"[636,728]"	"[535,613]"	"[480,549]"	"[2400,2749]"	[]	[]	[]	1	"[0,0,0,6000,4000]"	[]	200	23034
23035	光耀の翼	23030	5	"[728,728]"	"[728,728]"	"[613,613]"	"[550,550]"	"[2750,2750]"	[]	[]	[]	1	"[0,0,0,0,10000]"	[]	200	23035
23041	エリカの翼	23040	1	"[728,911]"	"[728,911]"	"[613,766]"	"[550,687]"	"[2750,3438]"	[]	[]	[]	1	"[5000,5000,0,0,0]"	[]	500	23041
23042	エリカの翼	23040	2	"[911,1093]"	"[911,1093]"	"[766,919]"	"[687,825]"	"[3438,4125]"	[]	[]	[]	1	"[0,5000,5000,0,0]"	[]	500	23042
23043	エリカの翼	23040	3	"[1093,1272]"	"[1093,1272]"	"[920,1070]"	"[825,960]"	"[4126,4800]"	[]	[]	[]	1	"[0,0,5000,5000,0]"	[]	500	23043
23044	エリカの翼	23040	4	"[1272,1457]"	"[1272,1457]"	"[1070,1226]"	"[960,1099]"	"[4800,5499]"	[]	[]	[]	1	"[0,0,0,5000,5000]"	[]	500	23044
23045	エリカの翼	23040	5	"[1457,1457]"	"[1457,1457]"	"[1226,1226]"	"[1100,1100]"	"[5500,5500]"	[]	[]	[]	1	"[0,0,0,0,10000]"	[]	500	23045
23051	神聖の翼	23050	1	"[1457,1635]"	"[1457,1635]"	"[1226,1375]"	"[1100,1234]"	"[5500,6170]"	[]	[]	[]	1	[]	[]	1250	23051
23052	神聖の翼	23050	2	"[1636,1818]"	"[1636,1818]"	"[1376,1529]"	"[1235,1372]"	"[6174,6862]"	[]	[]	[]	1	[]	[]	1250	23052
23053	神聖の翼	23050	3	"[1819,2001]"	"[1819,2001]"	"[1530,1683]"	"[1373,1511]"	"[6866,7554]"	[]	[]	[]	1	[]	[]	1250	23053
23054	神聖の翼	23050	4	"[2003,2185]"	"[2003,2185]"	"[1684,1838]"	"[1512,1649]"	"[7558,8246]"	[]	[]	[]	1	[]	[]	1250	23054
23055	神聖の翼	23050	5	"[2186,2186]"	"[2186,2186]"	"[1839,1839]"	"[1650,1650]"	"[8250,8250]"	[]	[]	[]	1	[]	[]	1250	23055
