number	string	number	number	number	number	number	number	number	number	number
id	name	former_equip	stuff_1	stuff_1_num	stuff_2	stuff_2_num	stuff_3	stuff_3_num	stuff_4	stuff_4_num
23001	天使の翼	23010	24001	30	0	0	0	0	0	0
23002	天使の翼	23010	24001	30	0	0	0	0	0	0
23003	天使の翼	23010	24001	30	0	0	0	0	0	0
23004	天使の翼	23010	24001	30	0	0	0	0	0	0
23005	天使の翼	23010	24001	30	0	0	0	0	0	0
23011	霊魂の翼	23020	24001	100	0	0	0	0	0	0
23012	霊魂の翼	23020	24001	100	0	0	0	0	0	0
23013	霊魂の翼	23020	24001	100	0	0	0	0	0	0
23014	霊魂の翼	23020	24001	100	0	0	0	0	0	0
23015	霊魂の翼	23020	24001	100	0	0	0	0	0	0
23021	無垢の翼	23030	24001	270	0	0	0	0	0	0
23022	無垢の翼	23030	24001	270	0	0	0	0	0	0
23023	無垢の翼	23030	24001	270	0	0	0	0	0	0
23024	無垢の翼	23030	24001	270	0	0	0	0	0	0
23025	無垢の翼	23030	24001	270	0	0	0	0	0	0
23031	光耀の翼	23040	24001	600	0	0	0	0	0	0
23032	光耀の翼	23040	24001	600	0	0	0	0	0	0
23033	光耀の翼	23040	24001	600	0	0	0	0	0	0
23034	光耀の翼	23040	24001	600	0	0	0	0	0	0
23035	光耀の翼	23040	24001	600	0	0	0	0	0	0
23041	エリカの翼	23050	24001	1500	0	0	0	0	0	0
23042	エリカの翼	23050	24001	1500	0	0	0	0	0	0
23043	エリカの翼	23050	24001	1500	0	0	0	0	0	0
23044	エリカの翼	23050	24001	1500	0	0	0	0	0	0
23045	エリカの翼	23050	24001	1500	0	0	0	0	0	0
23051	神聖の翼	0	24001	0	0	0	0	0	0	0
23052	神聖の翼	0	24001	0	0	0	0	0	0	0
23053	神聖の翼	0	24001	0	0	0	0	0	0	0
23054	神聖の翼	0	24001	0	0	0	0	0	0	0
23055	神聖の翼	0	24001	0	0	0	0	0	0	0
