number	number	number	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2
lv	exp	coin	drop1	drop2	drop3	drop4	drop5	drop6	drop7	drop8	drop9	drop10	drop11	drop12	drop13	drop14	drop15	drop16	drop17
1	6	1	"[[19001,5000,3],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,3],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,3],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,3],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,3],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,3],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,3],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,3],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,3],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,3],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,2],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,2],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,2],[18002,10000,2],[15103,600,1]]"
2	6	1	"[[19001,5000,3],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,3],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,3],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,3],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,3],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,3],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,3],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,3],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,3],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,3],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,2],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,2],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,2],[18002,10000,2],[15103,600,1]]"
3	6	1	"[[19001,5000,3],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,3],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,3],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,3],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,3],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,3],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,3],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,3],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,3],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,3],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,2],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,2],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,2],[18002,10000,2],[15103,600,1]]"
4	6	1	"[[19001,5000,3],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,3],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,3],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,3],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,3],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,3],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,3],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,3],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,3],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,3],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,2],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,2],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,2],[18002,10000,2],[15103,600,1]]"
5	6	1	"[[19001,5000,3],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,3],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,3],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,3],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,3],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,3],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,3],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,3],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,3],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,3],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,2],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,2],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,2],[18002,10000,2],[15103,600,1]]"
6	6	1	"[[19001,5000,3],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,3],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,3],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,3],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,3],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,3],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,3],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,3],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,3],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,3],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,2],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,2],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,2],[18002,10000,2],[15103,600,1]]"
7	6	1	"[[19001,5000,3],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,3],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,3],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,3],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,3],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,3],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,3],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,3],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,3],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,3],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,2],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,2],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,2],[18002,10000,2],[15103,600,1]]"
8	6	1	"[[19001,5000,3],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,3],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,3],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,3],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,3],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,3],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,3],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,3],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,3],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,3],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,2],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,2],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,2],[18002,10000,2],[15103,600,1]]"
9	6	1	"[[19001,5000,3],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,3],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,3],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,3],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,3],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,3],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,3],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,3],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,3],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,3],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,3],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,3],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,2],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,2],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,2],[18002,10000,2],[15103,600,1]]"
