number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number
player_lv	lv1	lv2	lv3	lv4	lv5	lv6	lv7	lv8	lv9	lv10	lv11	lv12	lv13	lv14	lv15	lv16	lv17
1	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
2	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
3	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
4	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
5	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
6	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
7	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
8	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
9	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
10	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
11	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
12	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
13	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
14	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
15	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
16	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
17	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
18	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
19	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
20	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
21	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
22	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
23	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
24	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
25	20	20	20	20	20	20	20	21	21	21	21	21	22	22	22	23	24
26	21	21	21	21	21	21	21	22	22	22	22	22	23	23	23	24	25
27	22	22	22	22	22	22	22	23	23	23	23	23	24	24	24	25	26
28	23	23	23	23	23	23	23	24	24	24	24	24	25	25	25	26	27
29	24	24	24	24	24	24	24	25	25	25	25	25	26	26	26	27	28
30	25	25	25	25	25	25	25	26	26	26	26	26	27	27	28	29	30
31	26	26	26	26	26	26	26	27	27	27	27	27	28	28	29	30	31
32	27	27	27	27	27	27	27	28	28	28	28	28	29	29	30	31	32
33	28	28	28	28	28	28	28	29	29	29	29	29	30	30	31	32	33
34	29	29	29	29	29	29	29	30	30	30	30	30	31	31	32	33	34
35	31	31	31	31	31	31	31	32	32	32	32	32	33	33	34	35	36
36	32	32	32	32	32	32	32	33	33	33	33	33	34	35	35	37	38
37	33	33	33	33	33	33	33	34	34	34	34	34	35	36	37	38	40
38	35	35	35	35	35	35	35	36	36	36	36	36	37	38	39	40	42
39	37	37	37	37	37	37	37	38	38	38	38	38	39	40	41	42	44
40	39	39	39	39	39	39	39	40	40	40	40	40	41	42	43	44	46
41	40	40	40	40	40	40	40	41	41	41	41	41	42	43	44	45	47
42	41	41	41	41	41	41	41	42	42	42	42	42	43	44	45	46	48
43	43	43	43	43	43	43	43	44	44	44	44	44	45	46	47	48	49
44	44	44	44	44	44	44	44	45	45	46	46	46	47	48	49	50	51
45	46	46	46	46	46	46	46	47	47	48	48	48	49	50	51	52	53
46	47	47	47	47	47	47	47	48	48	49	49	49	50	51	52	53	54
47	48	48	48	48	48	48	48	49	49	50	50	50	51	52	53	54	55
48	49	49	49	49	49	49	49	50	50	51	51	51	52	53	54	55	56
49	50	50	50	50	50	50	50	51	51	52	52	52	53	54	55	56	57
50	52	52	52	52	52	52	52	53	53	54	54	54	55	56	57	58	59
51	53	53	53	53	53	54	54	55	55	56	56	56	57	58	59	60	61
52	54	54	54	54	54	55	55	56	56	57	57	57	58	59	60	61	62
53	55	55	55	55	55	56	56	57	57	58	58	58	59	60	61	62	64
54	56	56	56	56	56	57	57	58	58	59	59	59	60	61	62	64	66
55	58	58	58	58	58	59	59	60	60	61	61	61	62	63	64	66	68
56	59	59	59	59	59	60	60	61	61	62	62	62	63	64	66	68	70
57	60	60	60	60	60	62	62	63	63	64	64	64	65	66	68	70	72
58	61	61	61	61	61	63	63	64	64	65	65	65	66	68	70	72	74
59	62	62	62	62	62	64	64	65	65	66	67	67	68	70	72	74	76
60	64	64	64	64	64	66	66	67	67	68	69	69	70	72	74	76	78
61	65	65	65	65	65	67	67	68	68	69	70	70	71	73	75	77	79
62	66	66	66	66	66	68	68	69	69	70	71	71	72	74	76	78	80
63	67	67	67	67	67	69	69	70	70	71	72	72	73	75	77	79	81
64	68	68	68	68	68	70	70	71	71	72	73	73	74	76	78	80	82
65	69	69	69	69	69	71	71	72	72	73	74	74	75	77	79	81	83
66	70	70	70	70	70	72	72	73	73	74	75	75	76	78	80	82	84
67	71	71	71	71	71	73	73	74	74	75	76	76	77	79	81	83	85
68	72	72	72	72	72	74	74	75	75	76	77	77	78	80	82	84	86
69	73	73	73	73	73	75	75	76	76	77	78	78	79	81	83	85	87
70	74	74	74	74	74	76	76	77	77	78	79	79	80	82	84	86	88
71	75	75	75	75	75	77	77	78	78	79	80	80	81	83	85	87	89
72	76	76	76	76	76	78	78	79	79	80	81	81	82	84	86	88	90
73	77	77	77	77	77	79	79	80	80	81	82	82	83	85	87	89	91
74	78	78	78	78	78	80	80	81	81	82	83	83	84	86	88	90	92
75	79	79	79	79	79	81	81	82	82	83	84	84	85	87	89	91	93
76	80	80	80	80	80	82	82	83	83	84	85	85	86	88	90	92	94
77	81	81	81	81	81	83	83	84	84	85	86	86	87	89	91	93	95
78	82	82	82	82	82	84	84	85	85	86	87	87	88	90	92	94	96
79	83	83	83	83	83	85	85	86	86	87	88	88	89	91	93	95	97
80	84	84	84	84	84	86	86	87	87	88	89	89	90	92	94	96	98
81	85	85	85	85	85	87	87	88	88	89	90	90	91	93	95	97	99
82	86	86	86	86	86	88	88	89	89	90	91	91	92	94	96	98	100
83	87	87	87	87	87	89	89	90	90	91	92	92	93	95	97	99	101
84	88	88	88	88	88	90	90	91	91	92	93	93	94	96	98	100	102
85	89	89	89	89	89	91	91	92	92	93	94	94	95	97	99	101	103
86	90	90	90	90	90	92	92	93	93	94	95	95	96	98	100	102	104
87	91	91	91	91	91	93	93	94	94	95	96	96	97	99	101	103	105
88	92	92	92	92	92	94	94	95	95	96	97	97	98	100	102	104	106
89	93	93	93	93	93	95	95	96	96	97	98	98	99	101	103	105	107
90	94	94	94	94	94	96	96	97	97	98	99	99	100	102	104	106	108
91	95	95	95	95	95	97	97	98	98	99	100	100	101	103	105	107	109
92	96	96	96	96	96	98	98	99	99	100	101	101	102	104	106	108	110
93	97	97	97	97	97	99	99	100	100	101	102	102	103	105	107	109	111
94	98	98	98	98	98	100	100	101	101	102	103	103	104	106	108	110	112
95	99	99	99	99	99	101	101	102	102	103	104	104	105	107	109	111	113
96	100	100	100	100	100	102	102	103	103	104	105	105	106	108	110	112	114
97	101	101	101	101	101	103	103	104	104	105	106	106	107	109	111	113	115
98	102	102	102	102	102	104	104	105	105	106	107	107	108	110	112	114	116
99	103	103	103	103	103	105	105	106	106	107	108	108	109	111	113	115	117
100	104	104	104	104	104	106	106	107	107	108	109	109	110	112	114	116	118
