number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number
level	knight_atk	knight_mgc	knight_def	knight_res	knight_hp	warrior_atk	warrior_mgc	warrior_def	warrior_res	warrior_hp	archer_atk	archer_mgc	archer_def	archer_res	archer_hp	mage_atk	mage_mgc	mage_def	mage_res	mage_hp	critical	accuracy	dodge	skill_level	hp_bar
1	100	100	656	656	3400	200	200	393	393	2040	210	210	393	393	2380	220	220	328	328	1700	100	100	100	1	1
2	120	120	736	736	3800	240	240	441	441	2280	252	252	441	441	2660	264	264	368	368	1900	100	100	100	1	1
3	140	140	816	816	4200	280	280	489	489	2520	294	294	489	489	2940	308	308	408	408	2100	100	100	100	1	1
4	160	160	896	896	4600	320	320	537	537	2760	336	336	537	537	3220	352	352	448	448	2300	100	100	100	1	1
5	180	180	976	976	5000	360	360	585	585	3000	378	378	585	585	3500	396	396	488	488	2500	100	100	100	1	1
6	200	200	1056	1056	5400	400	400	633	633	3240	420	420	633	633	3780	440	440	528	528	2700	100	100	100	1	1
7	220	220	1136	1136	5800	440	440	681	681	3480	462	462	681	681	4060	484	484	568	568	2900	100	100	100	1	1
8	240	240	1216	1216	6200	480	480	729	729	3720	504	504	729	729	4340	528	528	608	608	3100	100	100	100	1	1
9	260	260	1296	1296	6600	520	520	777	777	3960	546	546	777	777	4620	572	572	648	648	3300	100	100	100	1	1
10	280	280	1376	1376	7000	560	560	825	825	4200	588	588	825	825	4900	616	616	688	688	3500	100	100	100	1	1
11	300	300	1496	1496	7400	600	600	897	897	4440	630	630	897	897	5180	660	660	748	748	3700	100	100	100	1	1
12	320	320	1616	1616	7800	640	640	969	969	4680	672	672	969	969	5460	704	704	808	808	3900	110	110	110	1	1
13	340	340	1736	1736	8200	680	680	1041	1041	4920	714	714	1041	1041	5740	748	748	868	868	4100	120	120	120	1	1
14	360	360	1856	1856	8600	720	720	1113	1113	5160	756	756	1113	1113	6020	792	792	928	928	4300	130	130	130	1	1
15	380	380	1976	1976	9000	760	760	1185	1185	5400	798	798	1185	1185	6300	836	836	988	988	4500	140	140	140	1	1
16	400	400	2096	2096	9400	800	800	1257	1257	5640	840	840	1257	1257	6580	880	880	1048	1048	4700	150	150	150	1	1
17	420	420	2216	2216	9800	840	840	1329	1329	5880	882	882	1329	1329	6860	924	924	1108	1108	4900	160	160	160	1	1
18	440	440	2336	2336	10200	880	880	1401	1401	6120	924	924	1401	1401	7140	968	968	1168	1168	5100	170	170	170	1	1
19	460	460	2456	2456	10600	920	920	1473	1473	6360	966	966	1473	1473	7420	1012	1012	1228	1228	5300	180	180	180	1	1
20	480	480	2576	2576	11000	960	960	1545	1545	6600	1008	1008	1545	1545	7700	1056	1056	1288	1288	5500	190	190	190	1	1
21	500	500	2696	2696	11600	1000	1000	1617	1617	6960	1050	1050	1617	1617	8120	1100	1100	1348	1348	5800	200	200	200	1	1
22	520	520	2816	2816	12200	1040	1040	1689	1689	7320	1092	1092	1689	1689	8540	1144	1144	1408	1408	6100	210	210	210	1	1
23	540	540	2936	2936	12800	1080	1080	1761	1761	7680	1134	1134	1761	1761	8960	1188	1188	1468	1468	6400	220	220	220	1	1
24	560	560	3056	3056	13400	1120	1120	1833	1833	8040	1176	1176	1833	1833	9380	1232	1232	1528	1528	6700	230	230	230	1	1
25	580	580	3176	3176	14000	1160	1160	1905	1905	8400	1218	1218	1905	1905	9800	1276	1276	1588	1588	7000	240	240	240	1	1
