number	number	number	number	number
竞技场排名	战历id	战历奖励	奖励ID	奖励数量
1	10002	10000	15005	1
2	10002	9500	15006	1
3	10002	9100	15007	1
4	10002	8800	15008	1
5	10002	8600	15008	1
6	10002	8400	15008	1
7	10002	8200	15008	1
8	10002	8000	15008	1
9	10002	7800	15008	1
10	10002	7600	15008	1
11	10002	7400	0	0
12	10002	7200	0	0
13	10002	7000	0	0
14	10002	6800	0	0
15	10002	6600	0	0
16	10002	6400	0	0
17	10002	6200	0	0
18	10002	6000	0	0
19	10002	5800	0	0
20	10002	5600	0	0
21	10002	5500	0	0
22	10002	5400	0	0
23	10002	5300	0	0
24	10002	5200	0	0
25	10002	5100	0	0
26	10002	5000	0	0
27	10002	4900	0	0
28	10002	4800	0	0
29	10002	4700	0	0
30	10002	4600	0	0
31	10002	4500	0	0
32	10002	4400	0	0
33	10002	4300	0	0
34	10002	4200	0	0
35	10002	4100	0	0
36	10002	4000	0	0
37	10002	3900	0	0
38	10002	3800	0	0
39	10002	3700	0	0
40	10002	3600	0	0
41	10002	3500	0	0
42	10002	3400	0	0
43	10002	3300	0	0
44	10002	3200	0	0
45	10002	3100	0	0
46	10002	3000	0	0
47	10002	2900	0	0
48	10002	2800	0	0
49	10002	2700	0	0
50	10002	2600	0	0
51	10002	2500	0	0
101	10002	2000	0	0
301	10002	1500	0	0
501	10002	1000	0	0
1001	10002	500	0	0
