string	number	number	number	number	number	number	number	number	number	number	
怪物ID等级	物理攻击力	魔法攻击力	物理防御力	魔法防御力	生命值	怪物暴击值	怪物命中值	怪物闪避值	boss血条	技能等级	
3008_3	200	0	150	150	3500	0	50	0	1	1	
3021_5	300	0	150	150	4000	0	50	0	1	1	
4022_8	350	0	300	300	5500	0	50	0	2	1	
4003_10	0	400	300	300	6500	350	350	0	2	2	
4038_13	400	0	300	300	7000	350	350	0	2	2	
4001_15	0	450	300	300	8000	400	400	0	2	2	
3017_18	500	0	300	300	9000	400	400	0	2	3	
4036_20	550	0	450	150	11000	450	450	450	3	3	
4055_23	600	0	450	250	12000	450	450	450	3	3	
4039_25	650	0	500	300	13000	500	500	500	3	4	
4019_28	0	700	300	700	14000	500	500	500	3	4	
4044_30	750	0	800	400	15000	550	550	550	3	4	
4069_33	800	0	1000	500	16500	550	550	550	3	4	
4070_35	0	850	600	1100	18000	600	600	600	3	5	
3030_38	0	900	700	1200	19500	600	600	600	3	5	
4068_40	1000	0	900	800	21000	650	650	650	3	5	
4067_43	1100	0	900	900	24000	650	650	650	3	5	
4020_45	1200	0	1000	1000	27000	700	700	700	3	6	
4021_48	1300	0	1100	1100	30000	700	700	700	4	6	
4015_50	1500	0	1300	1300	36000	700	700	700	4	6	
4054_53	1700	0	1500	1500	42000	750	750	750	4	6	
4009_55	1900	0	1700	1700	48000	750	750	750	4	7	
3007_58	2300	0	1900	1900	54000	750	750	750	4	7	
3018_60	2700	0	2200	2200	60000	800	800	800	4	7	
4037_63	3100	0	2500	2500	68000	800	800	800	4	7	
4006_65	3500	0	2800	2800	76000	800	800	800	4	8	
4005_68	0	3900	3200	3200	84000	850	850	850	4	8	
4007_70	6400	0	6000	6000	130000	850	850	850	5	8	
4025_73	4300	0	4000	4000	92000	850	850	850	4	8	
3005_75	4700	0	4000	4000	98000	900	900	900	4	9	
4013_78	5100	0	4800	4800	104000	900	900	900	4	9	
3014_80	0	5500	5200	5200	130000	900	900	900	5	9	
4061_83	5900	0	5600	5600	120000	950	950	950	5	10	
4058_85	6300	0	6000	6000	130000	950	950	950	5	10	
4064_88	0	6700	6400	6400	140000	950	950	950	5	10	
3013_90	0	7100	6600	6600	195000	1000	1000	1000	5	11	
3006_93	7500	0	6600	6600	150000	1000	1000	1000	5	11	
4016_95	0	7900	7000	7000	160000	1000	1000	1000	5	11	
4008_98	0	8300	7600	7600	170000	1050	1050	1050	5	12	
3027_100	0	8700	8000	8000	210000	1050	1050	1050	5	12	
3008_10	240	0	180	180	4200	0	75	0	1	3	
3021_10	300	0	150	150	4000	0	75	0	1	3	
4022_12	420	0	360	360	6600	100	100	100	2	3	
4003_16	0	480	360	360	7800	130	130	130	2	4	
4038_19	480	0	360	360	8400	160	160	160	2	4	
4001_22	0	540	360	360	9600	190	190	190	2	4	
3017_25	600	0	360	360	10800	220	220	220	3	5	
4036_28	660	0	540	180	13200	250	250	250	3	5	
4055_31	780	0	585	325	15600	280	280	280	3	5	
4039_33	910	0	700	420	18200	310	310	310	3	6	
4019_36	0	1050	450	1050	21000	340	340	340	3	6	
4044_38	1125	0	1200	600	22500	370	370	370	3	6	
4069_41	1200	0	1500	750	24750	400	400	400	3	6	
4070_43	0	1275	900	1650	27000	430	430	430	3	7	
3030_46	0	1350	1050	1800	29250	460	460	460	3	7	
4068_48	1500	0	1350	1200	31500	490	490	490	4	7	
4067_51	1650	0	1350	1350	36000	520	520	520	4	7	
4020_53	1800	0	1500	1500	40500	550	550	550	4	8	
4021_56	1950	0	1650	1650	45000	580	580	580	4	8	
4015_58	2250	0	1950	1950	54000	610	610	610	4	8	
4054_61	2550	0	2250	2250	63000	640	640	640	4	8	
4009_63	2850	0	2550	2550	72000	750	750	750	4	9	
3007_66	3450	0	2850	2850	81000	750	750	750	4	9	
3018_68	4050	0	3300	3300	90000	800	800	800	4	9	
4037_71	4650	0	3750	3750	102000	800	800	800	4	9	
4006_73	5250	0	4200	4200	114000	800	800	800	4	10	
4005_76	0	5850	4800	4800	126000	850	850	850	5	10	
4007_78	9600	0	9000	9000	195000	850	850	850	5	10	
4025_81	6450	0	6000	6000	138000	850	850	850	5	10	
3005_83	7050	0	6000	6000	147000	900	900	900	5	11	
4013_86	7650	0	7200	7200	156000	900	900	900	5	11	
3014_88	0	8250	7800	7800	195000	900	900	900	5	11	
4061_91	8850	0	8400	8400	180000	950	950	950	5	12	
4058_93	9450	0	9000	9000	195000	950	950	950	5	12	
4064_96	0	10050	9600	9600	210000	950	950	950	5	12	
3013_98	0	10650	9900	9900	292500	1000	1000	1000	5	13	
3006_101	11250	0	9900	9900	225000	1000	1000	1000	5	13	
4016_103	0	11850	10500	10500	240000	1000	1000	1000	5	13	
4008_106	0	20750	19000	19000	425000	1050	1050	1050	6	14	
3027_108	0	13050	12000	12000	315000	1050	1050	1050	5	14	
3021_39	1000	0	1000	1000	19500	450	450	450	3	7	
3064_49	1250	0	1250	1250	32500	750	750	750	4	9	
4006_59	1450	0	1450	1450	45500	850	850	850	4	12	
4009_69	3500	0	3500	3500	84500	950	950	950	4	15	
3007_79	6000	0	5000	5000	130000	1000	1000	1000	5	18	
4058_89	9000	0	7000	7000	156000	1000	1000	1000	5	20	
4020_99	12000	0	9000	9000	195000	1000	1000	1000	5	20	
4025_109	12000	0	9000	9000	208000	1000	1000	1000	5	20	
