number	number	number
主角等级	奖励经验值	奖励金币
1	100	300
2	101	304
3	102	310
4	103	318
5	105	328
6	109	340
7	114	350
8	118	360
9	125	370
10	131	390
11	141	410
12	151	430
13	162	450
14	174	470
15	189	500
16	196	530
17	206	560
18	212	590
19	220	620
20	225	660
21	233	700
22	239	740
23	244	780
24	253	820
25	263	870
26	277	920
27	290	970
28	300	1020
29	308	1070
30	312	1130
31	330	1190
32	353	1250
33	377	1310
34	399	1370
35	422	1440
36	454	1510
37	486	1580
38	516	1650
39	545	1720
40	571	1800
41	608	1880
42	640	1960
43	672	2040
44	699	2120
45	724	2210
46	765	2300
47	803	2390
48	854	2480
49	906	2570
50	979	2670
51	1012	2770
52	1065	2870
53	1117	2970
54	1165	3070
55	1212	3180
56	1254	3290
57	1294	3400
58	1330	3510
59	1363	3620
60	1392	3740
61	1426	3920
62	1456	4100
63	1493	4280
64	1525	4470
65	1555	4660
66	1581	4850
67	1604	5050
68	1636	5250
69	1666	5450
70	1692	5660
71	1725	5870
72	1753	6080
73	1778	6290
74	1817	6510
75	1856	6730
76	1891	6950
77	1925	7180
78	1957	7410
79	1987	7640
80	2013	7880
81	2045	8120
82	2072	8360
83	2098	8600
84	2120	8850
85	2139	9100
86	2155	9350
87	2168	9610
88	2177	9870
89	2218	10130
90	2256	10400
91	2282	10670
92	2305	10940
93	2329	11210
94	2351	11490
95	2373	11770
96	2392	12050
97	2411	12340
98	2428	12630
99	2444	12920
100	2458	13200
101	2460	13500
102	2461	13800
103	2461	14100
104	2459	14400
105	2457	14700
106	2477	15000
107	2499	15300
108	2519	15600
109	2539	15900
110	2558	16200
111	2567	16700
112	2603	17200
113	2639	17700
114	2648	18200
115	2685	18700
116	2693	19200
117	2731	19700
118	2768	20200
119	2807	20700
120	2846	21300
121	2874	21900
122	2902	22500
123	2932	23100
124	2961	23700
125	2990	24300
126	3020	24900
127	3051	25500
128	3082	26100
129	3113	26700
130	3144	27300
131	3176	27900
132	3208	28500
133	3242	29100
134	3275	29700
135	3308	30300
136	3342	30900
137	3377	31500
138	3411	32100
139	3447	32700
140	3482	33400
141	3519	34100
142	3555	34800
143	3592	35500
144	3629	36200
145	3667	36900
146	3705	37600
147	3743	38300
148	3783	39000
149	3822	39700
150	3862	40400
151	3902	41100
152	3943	41800
153	3984	42500
154	4026	43200
155	4068	43900
156	4111	44600
157	4154	45300
158	4197	46000
159	4241	46700
160	4293	47500
161	4345	48300
162	4398	49100
163	4451	49900
164	4505	50700
165	4559	51500
166	4614	52300
167	4669	53100
168	4725	53900
169	4782	54700
170	4847	55500
171	4912	56300
172	4978	57100
173	5045	57900
174	5111	58700
175	5180	59500
176	5248	60300
177	5317	61100
178	5386	61900
179	5456	62700
180	5543	63600
181	5631	64500
182	5720	65400
183	5809	66300
184	5899	67200
185	5991	68100
186	6082	69000
187	6174	69900
188	6267	70800
189	6360	71700
190	6472	72600
191	6585	73500
192	6698	74400
193	6813	75300
194	6928	76200
195	7043	77100
196	7160	78000
197	7278	78900
198	7396	79800
199	7515	80700
200	7653	81700
