number	number	number	array	number	number	number	number	number	number	number
装备ID	装备部位	装备类型	可装备职业	可装备角色等级	初始物理攻击力	初始魔法攻击力	初始物理防御力	初始魔法防御力	初始生命值	可强化等级
16011	1	1	"[1,2,3,4]"	1	0	0	8	8	160	40
16012	2	2	"[1,2,3,4]"	1	0	0	24	8	80	40
16013	3	3	"[1,2,3,4]"	1	0	0	8	24	80	40
16014	4	4	[1]	1	32	0	0	0	0	40
16015	4	5	[2]	1	32	0	0	0	0	40
16016	4	6	[3]	1	32	0	0	0	0	40
16017	4	7	[4]	1	0	32	0	0	0	40
16018	5	8	[4]	1	0	8	0	0	80	40
16019	5	9	"[1,2,3]"	1	8	0	0	0	80	40
16021	1	1	"[1,2,3,4]"	10	0	0	14	14	196	50
16022	2	2	"[1,2,3,4]"	10	0	0	42	14	98	50
16023	3	3	"[1,2,3,4]"	10	0	0	14	42	98	50
16024	4	4	[1]	10	56	0	0	0	0	50
16025	4	5	[2]	10	56	0	0	0	0	50
16026	4	6	[3]	10	56	0	0	0	0	50
16027	4	7	[4]	10	0	56	0	0	0	50
16028	5	8	[4]	10	0	14	0	0	98	50
16029	5	9	"[1,2,3]"	10	14	0	0	0	98	50
16031	1	1	"[1,2,3,4]"	25	0	0	22	22	244	60
16032	2	2	"[1,2,3,4]"	25	0	0	66	22	122	60
16033	3	3	"[1,2,3,4]"	25	0	0	22	66	122	60
16034	4	4	[1]	25	88	0	0	0	0	60
16035	4	5	[2]	25	88	0	0	0	0	60
16036	4	6	[3]	25	88	0	0	0	0	60
16037	4	7	[4]	25	0	88	0	0	0	60
16038	5	8	[4]	25	0	22	0	0	122	60
16039	5	9	"[1,2,3]"	25	22	0	0	0	122	60
16041	1	1	"[1,2,3,4]"	40	0	0	32	32	304	70
16042	2	2	"[1,2,3,4]"	40	0	0	96	32	152	70
16043	3	3	"[1,2,3,4]"	40	0	0	32	96	152	70
16044	4	4	[1]	40	128	0	0	0	0	70
16045	4	5	[2]	40	128	0	0	0	0	70
16046	4	6	[3]	40	128	0	0	0	0	70
16047	4	7	[4]	40	0	128	0	0	0	70
16048	5	8	[4]	40	0	32	0	0	152	70
16049	5	9	"[1,2,3]"	40	32	0	0	0	152	70
16051	1	1	"[1,2,3,4]"	50	0	0	46	46	388	80
16052	2	2	"[1,2,3,4]"	50	0	0	138	46	194	80
16053	3	3	"[1,2,3,4]"	50	0	0	46	138	194	80
16054	4	4	[1]	50	184	0	0	0	0	80
16055	4	5	[2]	50	184	0	0	0	0	80
16056	4	6	[3]	50	184	0	0	0	0	80
16057	4	7	[4]	50	0	184	0	0	0	80
16058	5	8	[4]	50	0	46	0	0	194	80
16059	5	9	"[1,2,3]"	50	46	0	0	0	194	80
16061	1	1	"[1,2,3,4]"	60	0	0	64	64	496	90
16062	2	2	"[1,2,3,4]"	60	0	0	192	64	248	90
16063	3	3	"[1,2,3,4]"	60	0	0	64	192	248	90
16064	4	4	[1]	60	256	0	0	0	0	90
16065	4	5	[2]	60	256	0	0	0	0	90
16066	4	6	[3]	60	256	0	0	0	0	90
16067	4	7	[4]	60	0	256	0	0	0	90
16068	5	8	[4]	60	0	64	0	0	248	90
16069	5	9	"[1,2,3]"	60	64	0	0	0	248	90
16071	1	1	"[1,2,3,4]"	70	0	0	88	88	640	100
16072	2	2	"[1,2,3,4]"	70	0	0	264	88	320	100
16073	3	3	"[1,2,3,4]"	70	0	0	88	264	320	100
16074	4	4	[1]	70	352	0	0	0	0	100
16075	4	5	[2]	70	352	0	0	0	0	100
16076	4	6	[3]	70	352	0	0	0	0	100
16077	4	7	[4]	70	0	352	0	0	0	100
16078	5	8	[4]	70	0	88	0	0	320	100
16079	5	9	"[1,2,3]"	70	88	0	0	0	320	100
16081	1	1	"[1,2,3,4]"	80	0	0	118	118	820	110
16082	2	2	"[1,2,3,4]"	80	0	0	354	118	410	110
16083	3	3	"[1,2,3,4]"	80	0	0	118	354	410	110
16084	4	4	[1]	80	472	0	0	0	0	110
16085	4	5	[2]	80	472	0	0	0	0	110
16086	4	6	[3]	80	472	0	0	0	0	110
16087	4	7	[4]	80	0	472	0	0	0	110
16088	5	8	[4]	80	0	118	0	0	410	110
16089	5	9	"[1,2,3]"	80	118	0	0	0	410	110
16091	1	1	"[1,2,3,4]"	90	0	0	154	154	1036	120
16092	2	2	"[1,2,3,4]"	90	0	0	462	154	518	120
16093	3	3	"[1,2,3,4]"	90	0	0	154	462	518	120
16094	4	4	[1]	90	616	0	0	0	0	120
16095	4	5	[2]	90	616	0	0	0	0	120
16096	4	6	[3]	90	616	0	0	0	0	120
16097	4	7	[4]	90	0	616	0	0	0	120
16098	5	8	[4]	90	0	154	0	0	518	120
16099	5	9	"[1,2,3]"	90	154	0	0	0	518	120
16101	1	1	"[1,2,3,4]"	100	0	0	198	198	1300	130
16102	2	2	"[1,2,3,4]"	100	0	0	594	198	650	130
16103	3	3	"[1,2,3,4]"	100	0	0	198	594	650	130
16104	4	4	[1]	100	792	0	0	0	0	130
16105	4	5	[2]	100	792	0	0	0	0	130
16106	4	6	[3]	100	792	0	0	0	0	130
16107	4	7	[4]	100	0	792	0	0	0	130
16108	5	8	[4]	100	0	196	0	0	650	130
16109	5	9	"[1,2,3]"	100	196	0	0	0	650	130
16111	1	1	"[1,2,3,4]"	110	0	0	250	250	1612	140
16112	2	2	"[1,2,3,4]"	110	0	0	750	250	806	140
16113	3	3	"[1,2,3,4]"	110	0	0	250	750	806	140
16114	4	4	[1]	110	1000	0	0	0	0	140
16115	4	5	[2]	110	1000	0	0	0	0	140
16116	4	6	[3]	110	1000	0	0	0	0	140
16117	4	7	[4]	110	0	1000	0	0	0	140
16118	5	8	[4]	110	0	248	0	0	806	140
16119	5	9	"[1,2,3]"	110	248	0	0	0	806	140
16121	1	1	"[1,2,3,4]"	120	0	0	310	310	1972	150
16122	2	2	"[1,2,3,4]"	120	0	0	930	310	986	150
16123	3	3	"[1,2,3,4]"	120	0	0	310	930	986	150
16124	4	4	[1]	120	1240	0	0	0	0	150
16125	4	5	[2]	120	1240	0	0	0	0	150
16126	4	6	[3]	120	1240	0	0	0	0	150
16127	4	7	[4]	120	0	1240	0	0	0	150
16128	5	8	[4]	120	0	308	0	0	986	150
16129	5	9	"[1,2,3]"	120	308	0	0	0	986	150
16131	1	1	"[1,2,3,4]"	130	0	0	380	380	2392	160
16132	2	2	"[1,2,3,4]"	130	0	0	1140	380	1196	160
16133	3	3	"[1,2,3,4]"	130	0	0	380	1140	1196	160
16134	4	4	[1]	130	1520	0	0	0	0	160
16135	4	5	[2]	130	1520	0	0	0	0	160
16136	4	6	[3]	130	1520	0	0	0	0	160
16137	4	7	[4]	130	0	1520	0	0	0	160
16138	5	8	[4]	130	0	378	0	0	1196	160
16139	5	9	"[1,2,3]"	130	378	0	0	0	1196	160
16141	1	1	"[1,2,3,4]"	140	0	0	460	460	2872	170
16142	2	2	"[1,2,3,4]"	140	0	0	1380	460	1436	170
16143	3	3	"[1,2,3,4]"	140	0	0	460	1380	1436	170
16144	4	4	[1]	140	1840	0	0	0	0	170
16145	4	5	[2]	140	1840	0	0	0	0	170
16146	4	6	[3]	140	1840	0	0	0	0	170
16147	4	7	[4]	140	0	1840	0	0	0	170
16148	5	8	[4]	140	0	458	0	0	1436	170
16149	5	9	"[1,2,3]"	140	458	0	0	0	1436	170
16151	1	1	"[1,2,3,4]"	150	0	0	543	543	3412	180
16152	2	2	"[1,2,3,4]"	150	0	0	1630	543	1706	180
16153	3	3	"[1,2,3,4]"	150	0	0	543	1630	1706	180
16154	4	4	[1]	150	2200	0	0	0	0	180
16155	4	5	[2]	150	2200	0	0	0	0	180
