number	string	number	number
装备强化等级	显示名词	消耗金币	售价
1	黑铁1级	105	105
2	黑铁2级	115	220
3	黑铁3级	130	350
4	黑铁4级	150	500
5	黑铁5级	175	675
6	黑铁6级	205	880
7	黑铁7级	240	1120
8	黑铁8级	280	1400
9	黑铁9级	325	1725
10	黑铁10级	375	2100
11	青铜1级	430	2530
12	青铜2级	490	3020
13	青铜3级	555	3575
14	青铜4级	625	4200
15	青铜5级	700	4900
16	青铜6级	780	5680
17	青铜7级	865	6545
18	青铜8级	955	7500
19	青铜9级	1050	8550
20	青铜10级	1150	9700
21	白银1级	1260	10960
22	白银2级	1370	12330
23	白银3级	1490	13820
24	白银4级	1610	15430
25	白银5级	1740	17170
26	白银6级	1870	19040
27	白银7级	2010	21050
28	白银8级	2150	23200
29	白银9级	2300	25500
30	白银10级	2450	27950
31	黄金1级	2760	30710
32	黄金2级	3080	33790
33	黄金3级	3410	37200
34	黄金4级	3750	40950
35	黄金5级	4100	45050
36	黄金6级	4460	49510
37	黄金7级	4830	54340
38	黄金8级	5210	59550
39	黄金9级	5600	65150
40	黄金10级	6000	71150
41	暗金1级	6620	77770
42	暗金2级	7250	85020
43	暗金3级	7900	92920
44	暗金4级	8560	101480
45	暗金5级	9240	110720
46	暗金6级	9930	120650
47	暗金7级	10600	131250
48	暗金8级	11300	142550
49	暗金9级	12000	154550
50	暗金10级	12800	167350
51	火玉1级	13800	181150
52	火玉2级	14800	195950
53	火玉3级	15900	211850
54	火玉4级	17000	228850
55	火玉5级	18100	246950
56	火玉6级	19200	266150
57	火玉7级	20300	286450
58	火玉8级	21500	307950
59	火玉9级	22700	330650
60	火玉10级	23900	354550
61	翡翠1级	25700	380250
62	翡翠2级	27600	407850
63	翡翠3级	29500	437350
64	翡翠4级	31400	468750
65	翡翠5级	33400	502150
66	翡翠6级	35400	537550
67	翡翠7级	37400	574950
68	翡翠8级	39400	614350
69	翡翠9级	41500	655850
70	翡翠10级	43600	699450
71	冷钻1级	47200	746650
72	冷钻2级	50800	797450
73	冷钻3级	54500	851950
74	冷钻4级	58200	910150
75	冷钻5级	62000	972150
76	冷钻6级	65800	1037950
77	冷钻7级	69700	1107650
78	冷钻8级	73600	1181250
79	冷钻9级	77600	1258850
80	冷钻10级	81600	1340450
81	魔晶1级	87300	1427750
82	魔晶2级	93000	1520750
83	魔晶3级	98800	1619550
84	魔晶4级	105000	1724550
85	魔晶5级	111000	1835550
86	魔晶6级	117000	1952550
87	魔晶7级	123000	2075550
88	魔晶8级	129000	2204550
89	魔晶9级	135000	2339550
90	魔晶10级	141000	2480550
91	龙金1级	149000	2629550
92	龙金2级	157000	2786550
93	龙金3级	165000	2951550
94	龙金4级	173000	3124550
95	龙金5级	182000	3306550
96	龙金6级	191000	3497550
97	龙金7级	200000	3697550
98	龙金8级	209000	3906550
99	龙金9级	218000	4124550
100	龙金10级	227000	4351550
101	复仇1级	239000	4590550
102	复仇2级	251000	4841550
103	复仇3级	263000	5104550
104	复仇4级	275000	5379550
105	复仇5级	288000	5667550
106	复仇6级	301000	5968550
107	复仇7级	314000	6282550
108	复仇8级	327000	6609550
109	复仇9级	340000	6949550
110	复仇10级	353000	7302550
111	传说1级	370000	7672550
112	传说2级	387000	8059550
113	传说3级	404000	8463550
114	传说4级	421000	8884550
115	传说5级	438000	9322550
116	传说6级	455000	9777550
117	传说7级	473000	10250550
118	传说8级	491000	10741550
119	传说9级	509000	11250550
120	传说10级	527000	11777550
121	圣谕1级	545000	12322550
122	圣谕2级	563000	12885550
123	圣谕3级	581000	13466550
124	圣谕4级	600000	14066550
125	圣谕5级	619000	14685550
126	圣谕6级	638000	15323550
127	圣谕7级	657000	15980550
128	圣谕8级	676000	16656550
129	圣谕9级	695000	17351550
130	圣谕10级	715000	18066550
131	星辰1级	735000	18801550
132	星辰2级	755000	19556550
133	星辰3级	775000	20331550
134	星辰4级	795000	21126550
135	星辰5级	815000	21941550
136	星辰6级	835000	22776550
137	星辰7级	856000	23632550
138	星辰8级	877000	24509550
139	星辰9级	898000	25407550
140	星辰10级	919000	26326550
141	银河1级	940000	27266550
142	银河2级	961000	28227550
143	银河3级	982000	29209550
144	银河4级	1000000	30209550
145	银河5级	1020000	31229550
146	银河6级	1040000	32269550
147	银河7级	1060000	33329550
148	银河8级	1080000	34409550
149	银河9级	1100000	35509550
150	银河10级	1120000	36629550
151	邪神1级	1140000	37769550
152	邪神2级	1160000	38929550
153	邪神3级	1180000	40109550
154	邪神4级	1200000	41309550
155	邪神5级	1220000	42529550
156	邪神6级	1240000	43769550
157	邪神7级	1260000	45029550
158	邪神8级	1280000	46309550
159	邪神9级	1300000	47609550
160	邪神10级	1320000	48929550
161	真神1级	1340000	50269550
162	真神2级	1360000	51629550
163	真神3级	1380000	53009550
164	真神4级	1400000	54409550
165	真神5级	1420000	55829550
166	真神6级	1440000	57269550
167	真神7级	1470000	58739550
168	真神8级	1500000	60239550
169	真神9级	1530000	61769550
170	真神10级	1560000	63329550
171	弑神1级	1590000	64919550
172	弑神2级	1620000	66539550
173	弑神3级	1650000	68189550
174	弑神4级	1680000	69869550
175	弑神5级	1710000	71579550
176	弑神6级	1740000	73319550
177	弑神7级	1770000	75089550
178	弑神8级	1800000	76889550
179	弑神9级	1830000	78719550
180	弑神10级	1860000	80579550
181	灭世1级	1890000	82469550
182	灭世2级	1920000	84389550
183	灭世3级	1950000	86339550
184	灭世4级	1980000	88319550
185	灭世5级	2010000	90329550
186	灭世6级	2040000	92369550
187	灭世7级	2070000	94439550
188	灭世8级	2100000	96539550
189	灭世9级	2130000	98669550
190	灭世10级	2160000	100829550
191	逆天1级	2190000	103019550
192	逆天2级	2220000	105239550
193	逆天3级	2250000	107489550
194	逆天4级	2280000	109769550
195	逆天5级	2310000	112079550
196	逆天6级	2340000	114419550
197	逆天7级	2370000	116789550
198	逆天8级	2400000	119189550
199	逆天9级	2430000	121619550
200	逆天10级	2460000	124079550
