number	string
id	font
1	毛泽东
2	周恩来
3	刘少奇
4	朱德
5	彭德怀
6	林彪
7	刘伯承
8	陈毅
9	贺龙
10	聂荣臻
11	徐向前
12	罗荣桓
13	叶剑英
14	李大钊
15	陈独秀
16	孙中山
17	孙文
18	孙逸仙
19	邓小平
20	陈云
21	江泽民
22	李鹏
23	朱镕基
24	李瑞环
25	尉健行
26	李岚清
27	胡锦涛
28	罗干
29	温家宝
30	吴邦国
31	曾庆红
32	贾庆林
33	黄菊
34	吴官正
35	李长春
36	吴仪
37	回良玉
38	曾培炎
39	周永康
40	曹刚川
41	唐家璇
42	华建敏
43	陈至立
44	陈良宇
45	张德江
46	张立昌
47	俞正声
48	王乐泉
49	刘云山
50	王刚
51	王兆国
52	刘淇
53	贺国强
54	郭伯雄
55	胡耀邦
56	王乐泉
57	王兆国
58	周永康
59	李登辉
60	连战
61	陈水扁
62	宋楚瑜
63	吕秀莲
64	郁慕明
65	蒋介石
66	蒋中正
67	蒋经国
68	马英九
69	习近平
70	李克强
71	吴帮国
72	无帮国
73	无邦国
74	无帮过
75	瘟家宝
76	假庆林
77	甲庆林
78	假青林
79	离长春
80	习远平
81	袭近平
82	李磕墙
83	贺过墙
84	和锅枪
85	粥永康
86	轴永康
87	肘永康
88	周健康
89	粥健康
90	周小康
91	布什
92	布莱尔
93	小泉
94	纯一郎
95	萨马兰奇
96	安南
97	阿拉法特
98	普京
99	默克尔
100	克林顿
101	里根
102	尼克松
103	林肯
104	杜鲁门
105	赫鲁晓夫
106	列宁
107	斯大林
108	马克思
109	恩格斯
110	金正日
111	金日成
112	萨达姆
113	胡志明
114	西哈努克
115	希拉克
116	撒切尔
117	阿罗约
118	曼德拉
119	卡斯特罗
120	富兰克林
121	华盛顿
122	艾森豪威尔
123	拿破仑
124	亚历山大
125	路易
126	拉姆斯菲尔德
127	劳拉
128	鲍威尔
129	奥巴马
130	本拉登
131	奥马尔
132	柴玲
133	达赖喇嘛
134	江青
135	张春桥
136	姚文元
137	王洪文
138	东条英机
139	希特勒
140	墨索里尼
141	冈村秀树
142	冈村宁次
143	高丽朴
144	赵紫阳
145	王丹
146	沃尔开西
147	李洪志
148	李大师
149	赖昌星
150	马加爵
151	班禅
152	额尔德尼
153	山本五十六
154	阿扁
155	阿扁万岁
156	热那亚
157	热比娅
158	六四
159	六四运动
160	美国之音
161	密宗
162	民国
163	民进党
164	民运
165	民主潮
166	摩门教
167	纳粹
168	南华早报
169	南蛮
170	明慧网
171	亲民党
172	瘸腿帮
173	法轮功
174	法轮大法
175	打倒共产党
176	台独万岁
177	圣战
178	示威
179	台独
180	台独分子
181	台联
182	台湾民国
183	台湾岛国
184	台湾国
185	台湾独立
186	太子党
187	天安门事件
188	屠杀
189	小泉
190	新党
191	新疆独立
192	新疆分裂
193	新疆国
194	疆独
195	西藏独立
196	西藏分裂
197	西藏国
198	藏独
199	藏青会
200	藏妇会
201	学潮
202	学运
203	一党专政
204	一中一台
205	两个中国
206	一贯道
207	游行
208	造反
209	真善忍
210	镇压
211	政变
212	政治
213	政治反对派
214	政治犯
215	中共
216	共产党
217	反党
218	反共
219	政府
220	民主党
221	中国之春
222	转法轮
223	自焚
224	共党
225	共匪
226	苏家屯
227	基地组织
228	塔利班
229	东亚病夫
230	支那
231	高治联
232	高自联
233	专政
234	专制
235	世界维吾尔大会
236	核工业基地
237	大参考
238	小参考
239	国内动态清样
240	多维
241	河殇
242	摩门教
243	真主安拉
244	白莲教
245	东正教
246	大法
247	法轮
248	法轮功
249	瘸腿帮
250	真理教
251	真善忍
252	转法轮
253	黄大仙
254	跳大神
255	神汉
256	神婆
257	真理教
258	大卫教
259	抽头
260	赌马
261	赌球
262	筹码
263	老虎机
264	轮盘赌
265	安非他命
266	大麻
267	可卡因
268	海洛因
269	冰毒
270	摇头丸
271	杜冷丁
272	鸦片
273	罂粟
274	迷幻药
275	白粉
276	嗑药
277	吸毒
278	杀人
279	吸毒
280	贩毒
281	拐卖
282	卖淫
283	造反
284	强奸
285	轮奸
286	抢劫
287	先奸后杀
288	藏独
289	疆独
290	蒙古鞑子
291	台独
292	台独分子
293	台联
294	台湾民国
295	西藏独立
296	新疆独立
297	南蛮
298	老毛子
299	回民吃猪肉
300	sex
301	SM
302	屙
303	爱滋
304	淋病
305	梅毒
306	爱液
307	屄
308	臭机八
309	臭鸡巴
310	吹喇叭
311	吹箫
312	催情药
313	屌
314	肛交
315	肛门
316	龟头
317	黄色
318	机八
319	机巴
320	鸡八
321	鸡巴
322	机掰
323	机巴
324	鸡叭
325	鸡鸡
326	鸡掰
327	鸡奸
328	妓女
329	精液
330	精子
331	尻
332	口交
333	滥交
334	乱交
335	轮奸
336	卖淫
337	屁眼
338	嫖娼
339	强奸
340	强奸犯
341	情色
342	肉棒
343	乳房
344	乳峰
345	乳交
346	乳头
347	乳晕
348	三陪
349	色情
350	射精
351	手淫
352	威而钢
353	威而柔
354	伟哥
355	性高潮
356	性交
357	性虐
358	性欲
359	颜射
360	阳物
361	一夜情
362	阴部
363	阴唇
364	阴道
365	阴蒂
366	阴核
367	阴户
368	阴茎
369	阴门
370	淫秽
371	淫乱
372	淫水
373	淫娃
374	淫液
375	淫汁
376	淫穴
377	淫洞
378	援交妹
379	梦遗
380	阳痿
381	早泄
382	奸淫
383	性欲
384	性交
385	Bitch
386	FUCK
387	Fuck
388	fuck
389	NMD
390	sb
391	shit
392	SHIT
393	K他命
394	白痴
395	屄
396	婊子
397	操她妈
398	操妳妈
399	操你
400	操你妈
401	操他妈
402	草你
403	肏
404	蠢猪
405	荡妇
406	发骚
407	干她妈
408	干妳
409	干妳娘
410	干你
411	干你妈
412	干你妈B
413	干你妈b
414	干你妈逼
415	干你娘
416	干他妈
417	狗娘养的
418	鸡奸
419	贱货
420	贱人
421	妈比
422	妈的
423	马的
424	妳老母的
425	妳娘的
426	你妈逼
427	破鞋
428	仆街
429	去她妈
430	去妳的
431	去妳妈
432	去你的
433	去你妈
434	去死
435	去他妈
436	日你
437	赛她娘
438	赛妳娘
439	赛你娘
440	赛他娘
441	骚货
442	傻B
443	傻比
444	上妳
445	上你
446	神经病
447	屎妳娘
448	屎你娘
449	他妈的
450	我操
451	我日
452	屙
453	掯
454	屌
455	骑你
456	湿了
457	操你
458	操他
459	操她
460	骑你
461	骑他
462	骑她
463	欠骑
464	欠人骑
465	来爽我
466	来插我
467	干你
468	干他
469	干她
470	干死
471	干爆
472	干机
473	FUCK
474	机叭
475	臭鸡
476	臭机
477	烂鸟
478	览叫
479	阳具
480	肉棒
481	肉壶
482	奶子
483	摸咪咪
484	干鸡
485	干入
486	小穴
487	强奸
488	插你
489	插你
490	爽你
491	爽你
492	干干
493	干X
494	我操
495	他干
496	干它
497	干牠
498	干您
499	干汝
500	干林
501	操林
502	干尼
503	操尼
504	我咧干
505	干勒
506	干我
507	干到
508	干啦
509	干爽
510	欠干
511	狗干
512	我干
513	来干
514	轮干
515	轮流干
516	干一干
517	援交
518	骑你
519	我操
520	轮奸
521	鸡奸
522	奸暴
523	再奸
524	我奸
525	奸你
526	奸你
527	奸他
528	奸她
529	奸一奸
530	淫水
531	淫湿
532	鸡歪
533	仆街
534	臭西
535	尻
536	遗精
537	烂逼
538	大血比
539	叼你妈
540	靠你妈
541	草你
542	干你
543	日你
544	插你
545	奸你
546	戳你
547	逼你老母
548	挨球
549	我日你
550	草拟妈
551	卖逼
552	狗操卖逼
553	奸淫
554	日死
555	奶子
556	阴茎
557	奶娘
558	他娘
559	她娘
560	骚B
561	你妈了妹
562	逼毛
563	插你妈
564	叼你
565	渣波波
566	嫩b
567	weelaa
568	缔顺
569	帝顺
570	蒂顺
571	系统消息
572	草泥马
573	法克鱿
574	雅蠛蝶
575	潜烈蟹
576	菊花蚕
577	尾申鲸
578	吉跋猫
579	搞栗棒
580	吟稻雁
581	达菲鸡
582	SM
583	ML
584	3P
585	群P
586	马勒戈壁
587	双飞
588	周恩來
589	碡 
590	籀
591	朱駿 
592	朱狨基
593	朱容基
594	朱溶剂
595	朱熔基
596	朱镕基
597	邾
598	猪操
599	猪聋畸
600	猪毛1
601	舳
602	瘃
603	躅
604	翥
605	專政
606	颛
607	丬
608	隹
609	窀
610	卓伯源
611	倬
612	斫
613	诼
614	髭
615	鲻
616	子宫
617	秭
618	訾
619	自民党
620	自慰
621	自由民主论坛
622	偬
623	诹
624	陬
625	鄹
626	鲰
627	躜
628	缵
629	作爱
630	做爱
631	阿扁萬歲
632	阿萊娜
633	啊無卵
634	埃裏克蘇特勤
635	埃斯萬
636	垵
637	嶴
638	白立樸
639	白夢
640	班禪
641	北京當局
642	北美自由論壇
643	貝尤爾
644	韝
645	逼樣
646	比樣
647	蹕
648	颮
649	鑣
650	婊子養的 
651	賓周
652	不爽不要錢
653	黲
654	操鶏
655	操那嗎B
656	操那嗎逼
657	操那嗎比
658	操你媽
659	操你爺爺
660	曹長青
661	曹剛川
662	草草你媽
663	草擬媽
664	册那娘餓比
665	插那嗎B
666	插那嗎逼
667	插那嗎比
668	插你媽
669	插你爺爺
670	覘
671	蕆
672	囅
673	閶
674	長官沙塔特
675	常勁
676	朝鮮
677	車侖
678	車侖女幹
679	沉睡圖騰
680	陳炳基
681	陳博志
682	陳定南
683	陳建銘
684	陳景俊
685	陳菊
686	陳軍
687	陳良宇
688	陳蒙
689	陳破空
690	陳水扁
691	痴鳩
692	痴拈
693	遲鈍的圖騰
694	持不同政見 
695	赤色騎士
696	赤色戰士
697	處女膜
698	傳染性病
699	吹簫
700	春夏自由論壇
701	戳那嗎B
702	戳那嗎逼
703	戳那嗎比
704	輳
705	鹺
706	錯B
707	錯逼
708	錯比
709	錯那嗎B
710	錯那嗎逼
711	錯那嗎比
712	達夫警衛兵
713	達夫侍從
714	達癩
715	打飛機
716	大參考
717	大東亞
718	大東亞共榮
719	大鶏巴
720	大紀元
721	大紀元新聞網
722	大紀園
723	大家論壇
724	大奶媽
725	大衛教
726	大中國論壇
727	大中華論壇
728	大衆真人真事
729	紿
730	戴維教
731	戴相龍
732	彈劾
733	氹
734	蕩婦
735	登輝
736	叼你媽
737	釣魚島
738	丁關根
739	東北獨立
740	東部地下水路
741	東方紅時空
742	東南西北論談
743	東社
744	東升
745	東條
746	東條英機
747	東突暴動
748	東突獨立
749	東土耳其斯坦
750	東西南北論壇
751	東亞
752	東院看守
753	動亂
754	鬥士哈夫拉蘇
755	鬥士霍克
756	獨裁
757	獨裁政治
758	獨夫
759	獨立臺灣會
760	俄國 
761	鮞
762	㈡
763	發楞
764	發掄
765	發掄功
766	發倫
767	發倫功
768	發輪
769	發論
770	發論公
771	發論功
772	發騷
773	發正念
774	法~倫
775	法~淪
776	法~綸
777	法~輪
778	法~論
779	法爾卡
780	法掄
781	法掄功
782	法侖
783	法淪
784	法綸
785	法輪大法
786	法輪功
787	法十輪十功
788	法謫
789	法謫功
790	反封鎖
791	反封鎖技術
792	反腐敗論壇
793	反人類
794	反社會
795	方勵之
796	防衛指揮官
797	放蕩
798	飛揚論壇
799	廢墟守護者
800	費鴻泰
801	費良勇
802	分隊長施蒂文
803	粉飾太平
804	糞便
805	鱝
806	豐饒的果實
807	風雨神州
808	風雨神州論壇
809	封從德
810	封殺
811	封印的靈魂騎士
812	馮東海
813	馮素英
814	紱
815	襆
816	嘸 
817	傅作義
818	幹bi
819	幹逼
820	幹比
821	幹的你
822	幹幹幹
823	幹她
824	幹你
825	幹你老比
826	幹你老母
827	幹你娘
828	幹全家
829	幹死
830	幹死你
831	幹他
832	幹一家
833	趕你娘
834	岡巒
835	剛比
836	剛比樣子
837	崗哨士兵
838	肛門
839	高麗棒子
840	高文謙
841	高薪養廉
842	高自聯
843	膏藥旗
844	戈瑞爾德
845	戈揚
846	鴿派
847	歌功頌德
848	格雷(關卡排名管理者)
849	格魯
850	格魯(城鎮移動)
851	鯁
852	工自聯
853	弓雖
854	共産
855	共産黨
856	共産主義
857	共黨
858	共軍
859	共榮圈
860	緱
861	狗誠
862	狗狼養的
863	狗娘養的
864	狗養
865	狗雜種
866	覯
867	轂
868	古龍祭壇
869	骨獅
870	鯝
871	鴰
872	詿
873	關卓中
874	貫通兩極法
875	廣聞
876	嬀
877	龜兒子
878	龜公
879	龜孫子
880	龜頭
881	龜投
882	劌
883	緄
884	滾那嗎
885	滾那嗎B
886	滾那嗎錯比
887	滾那嗎老比
888	滾那嗎瘟比
889	鯀
890	咼
891	郭俊銘
892	郭羅基
893	郭岩華
894	國家安全
895	國家機密
896	國軍
897	國賊
898	哈爾羅尼
899	頇
900	韓東方
901	韓聯潮
902	韓正
903	漢奸
904	顥
905	灝
906	河殤
907	賀國强
908	賀龍
909	黑社會
910	黑手黨
911	紅燈區
912	紅色恐怖
913	紅炎猛獸
914	洪傳
915	洪興
916	洪哲勝
917	黌
918	鱟
919	胡緊掏
920	胡錦滔
921	胡錦淘
922	胡景濤
923	胡喬木
924	胡總書記
925	湖岸護衛兵
926	湖岸警衛兵
927	湖岸哨兵隊長
928	護法
929	鸌
930	華建敏
931	華通時事論壇
932	華夏文摘
933	華語世界論壇
934	華岳時事論壇
935	懷特
936	鍰
937	皇軍
938	黃伯源
939	黃慈萍
940	黃禍
941	黃劍輝
942	黃金幼龍
943	黃菊
944	黃片
945	黃翔
946	黃義交
947	黃仲生
948	回民暴動
949	噦
950	繢
951	毀滅步兵
952	毀滅騎士
953	毀滅射手
954	昏迷圖騰
955	混亂的圖騰
956	鍃
957	活動 
958	擊倒圖騰
959	擊傷的圖騰
960	鶏8
961	鶏八
962	鶏巴
963	鶏吧
964	鶏鶏
965	鶏奸
966	鶏毛信文匯
967	鶏女
968	鶏院
969	姬勝德
970	積克館
971	賫
972	鱭
973	賈廷安
974	賈育台
975	戔
976	監視塔
977	監視塔哨兵
978	監視塔哨兵隊長
979	鰹
980	韉
981	簡肇棟
982	建國黨
983	賤B
984	賤bi
985	賤逼
986	賤比
987	賤貨
988	賤人
989	賤種
990	江八點
991	江羅
992	江綿恒
993	江戲子
994	江則民
995	江澤慧
996	江賊
997	江賊民
998	薑春雲
999	將則民
1000	僵賊
1001	僵賊民
1002	講法
1003	蔣介石
1004	蔣中正
1005	降低命中的圖騰
1006	醬猪媳
1007	撟
1008	狡猾的達夫
1009	矯健的馬努爾
1010	嶠
1011	教養院
1012	癤
1013	揭批書
1014	訐
1015	她媽
1016	届中央政治局委員
1017	金槍不倒 
1018	金堯如
1019	金澤辰
1020	巹
1021	錦濤
1022	經文
1023	經血
1024	莖候佳陰
1025	荊棘護衛兵 
1026	靖國神社
1027	㈨
1028	舊斗篷哨兵
1029	齟
1030	巨槌騎兵
1031	巨鐵角哈克
1032	鋸齒通道被遺弃的骷髏
1033	鋸齒通道骷髏
1034	屨
1035	棬
1036	絕望之地
1037	譎
1038	軍妓
1039	開苞
1040	開放雜志
1041	凱奧勒尼什
1042	凱爾本
1043	凱爾雷斯
1044	凱特切爾
1045	砍翻一條街
1046	看中國
1047	闞
1048	靠你媽
1049	柯賜海
1050	柯建銘
1051	科萊爾
1052	克萊恩
1053	克萊特
1054	克勞森
1055	客戶服務
1056	緙
1057	空氣精靈
1058	空虛的伊坤
1059	空虛之地
1060	恐怖主義
1061	瞘
1062	嚳
1063	鄺錦文
1064	貺
1065	昆圖
1066	拉姆斯菲爾德
1067	拉皮條
1068	萊特
1069	賴士葆
1070	蘭迪
1071	爛B
1072	爛逼
1073	爛比
1074	爛袋
1075	爛貨
1076	濫B
1077	濫逼
1078	濫比
1079	濫貨
1080	濫交
1081	勞動教養所
1082	勞改
1083	勞教
1084	鰳
1085	雷尼亞
1086	誄
1087	李紅痔
1088	李洪寬
1089	李繼耐
1090	李蘭菊
1091	李老師
1092	李錄
1093	李祿
1094	李慶安
1095	李慶華
1096	李淑嫻
1097	李鐵映
1098	李旺陽
1099	李小鵬
1100	李月月鳥
1101	李志綏
1102	李總理
1103	李總統
1104	裏菲斯
1105	鱧
1106	轢
1107	躒
1108	奩
1109	連方瑀
1110	連惠心
1111	連勝德
1112	連勝文
1113	連戰
1114	聯總
1115	廉政大論壇
1116	煉功
1117	兩岸關係
1118	兩岸三地論壇
1119	兩個中國
1120	兩會
1121	兩會報道
1122	兩會新聞
1123	廖錫龍 
1124	林保華
1125	林長盛
1126	林佳龍
1127	林信義
1128	林正勝
1129	林重謨
1130	躪
1131	淩鋒
1132	劉賓深
1133	劉賓雁
1134	劉剛
1135	劉國凱
1136	劉華清
1137	劉俊國
1138	劉凱中
1139	劉千石
1140	劉青
1141	劉山青
1142	劉士賢
1143	劉文勝
1144	劉文雄
1145	劉曉波
1146	劉曉竹
1147	劉永川
1148	㈥
1149	鷚
1150	龍虎豹
1151	龍火之心
1152	盧卡
1153	盧西德
1154	陸委會
1155	輅
1156	呂京花
1157	呂秀蓮
1158	亂交
1159	亂倫
1160	亂輪
1161	鋝
1162	掄功
1163	倫功
1164	輪大
1165	輪功
1166	輪奸
1167	論壇管理員
1168	羅福助
1169	羅幹
1170	羅禮詩
1171	羅文嘉
1172	羅志明
1173	腡
1174	濼
1175	洛克菲爾特
1176	媽B
1177	媽比
1178	媽的
1179	媽批
1180	馬大維
1181	馬克思
1182	馬良駿
1183	馬三家
1184	馬時敏
1185	馬特斯
1186	馬英九
1187	馬永成
1188	瑪麗亞
1189	瑪雅
1190	嗎的
1191	嗎啡
1192	勱
1193	麥克斯
1194	賣逼
1195	賣比
1196	賣國
1197	賣騷
1198	賣淫
1199	瞞報
1200	毛厠洞
1201	毛賊
1202	毛賊東
1203	美國參考
1204	美國佬
1205	美國之音
1206	蒙獨
1207	蒙古達子
1208	蒙古獨
1209	蒙古獨立
1210	禰
1211	羋
1212	綿恒
1213	黽
1214	民國
1215	民進黨
1216	民聯
1217	民意論壇
1218	民陣
1219	民主墻
1220	緡
1221	湣
1222	鰵
1223	摸你鶏巴
1224	 
1225	莫偉强
1226	木子論壇
1227	內褲
1228	那嗎B
1229	那嗎逼
1230	那嗎錯比
1231	那嗎老比
1232	那嗎瘟比
1233	那娘錯比
1234	納粹
1235	奶頭
1236	南大自由論壇
1237	南蠻子
1238	鬧事
1239	能樣
1240	尼奧夫
1241	倪育賢
1242	鯢
1243	你媽
1244	你媽逼
