string	number
编号	唯一编号
0_1	1000
0_2	1010
0_3	1020
0_4	1030
0_5	1040
0_6	1050
0_7	1060
201_1	1070
201_2	1080
202_1	1090
202_2	1100
203_1	1110
203_2	1180
203_3	1130
203_4	1140
203_5	1150
203_6	1160
203_7	1170
203_8	1120
204_1	1190
204_2	1230
204_3	1210
204_4	1220
204_5	1200
205_1	1240
205_2	1310
205_3	1260
205_4	1270
205_5	1280
205_6	1290
205_7	1300
205_8	1250
206_1	1320
206_2	1330
207_1	1340
207_2	1350
208_1	1360
208_2	1370
208_3	1380
209_1	1390
209_2	1400
210_1	1410
210_2	1420
211_1	1430
211_2	1500
211_3	1450
211_4	1460
211_5	1470
211_6	1480
211_7	1490
211_8	1440
212_1	1510
212_2	1580
212_3	1530
212_4	1540
212_5	1550
212_6	1560
212_7	1570
212_8	1520
213_1	1590
213_2	1600
214_1	1610
214_2	1680
214_3	1630
214_4	1640
214_5	1650
214_6	1660
214_7	1670
214_8	1620
215_1	1690
215_2	1700
215_3	1710
215_4	1720
215_5	1730
215_6	1740
216_1	1750
216_2	1820
216_3	1770
216_4	1780
216_5	1790
216_6	1800
216_7	1810
216_8	1760
217_1	1830
217_2	1900
217_3	1850
217_4	1860
217_5	1870
217_6	1880
217_7	1890
217_8	1840
218_1	1910
218_2	1920
219_1	1930
219_2	1940
219_3	1950
219_4	1960
219_5	1970
219_6	1980
220_1	1990
220_2	2060
220_3	2010
220_4	2020
220_5	2030
220_6	2040
220_7	2050
220_8	2000
221_1	2070
221_2	2140
221_3	2090
221_4	2100
221_5	2110
221_6	2120
221_7	2130
221_8	2080
222_1	2150
222_2	2160
223_1	2170
223_2	2240
223_3	2190
223_4	2200
223_5	2210
223_6	2220
223_7	2230
223_8	2180
224_1	2250
224_2	2270
224_3	2260
225_1	2280
225_2	2290
225_3	2300
225_4	2310
225_5	2320
226_1	2330
226_2	2340
227_1	2350
227_2	2360
227_3	2370
227_4	2380
1016_1	2390
1016_2	2460
1016_3	2410
1016_4	2420
1016_5	2430
1016_6	2440
1016_7	2450
1016_8	2400
1017_1	2470
1017_2	2540
1017_3	2490
1017_4	2500
1017_5	2510
1017_6	2520
1017_7	2530
1017_8	2480
1018_1	2550
1018_2	2620
1018_3	2570
1018_4	2580
1018_5	2590
1018_6	2600
1018_7	2610
1018_8	2560
1019_1	2630
1019_2	2700
1019_3	2650
1019_4	2660
1019_5	2670
1019_6	2680
1019_7	2690
1019_8	2640
1020_1	2710
1020_2	60000
1020_3	2730
1020_4	2740
1020_5	2750
1020_6	2760
1020_7	2770
1020_8	2720
