number	number	number	number	number	number
宝石ID	宝石等级	属性种类	属性数值	保护石ID	保护石商城购买ID
17101	1	1	30	15004	10014
17102	2	1	60	15004	10014
17103	3	1	120	15004	10014
17104	4	1	240	15004	10014
17105	5	1	480	15004	10014
17106	6	1	720	15004	10014
17107	7	1	1080	15004	10014
17108	8	1	1620	15004	10014
17109	9	1	2430	15004	10014
17110	10	1	3645	15004	10014
17201	1	2	30	15004	10014
17202	2	2	60	15004	10014
17203	3	2	120	15004	10014
17204	4	2	240	15004	10014
17205	5	2	480	15004	10014
17206	6	2	720	15004	10014
17207	7	2	1080	15004	10014
17208	8	2	1620	15004	10014
17209	9	2	2430	15004	10014
17210	10	2	3645	15004	10014
17301	1	3	30	15004	10014
17302	2	3	60	15004	10014
17303	3	3	120	15004	10014
17304	4	3	240	15004	10014
17305	5	3	480	15004	10014
17306	6	3	720	15004	10014
17307	7	3	1080	15004	10014
17308	8	3	1620	15004	10014
17309	9	3	2430	15004	10014
17310	10	3	3645	15004	10014
17401	1	4	30	15004	10014
17402	2	4	60	15004	10014
17403	3	4	120	15004	10014
17404	4	4	240	15004	10014
17405	5	4	480	15004	10014
17406	6	4	720	15004	10014
17407	7	4	1080	15004	10014
17408	8	4	1620	15004	10014
17409	9	4	2430	15004	10014
17410	10	4	3645	15004	10014
17501	1	5	90	15004	10014
17502	2	5	180	15004	10014
17503	3	5	360	15004	10014
17504	4	5	720	15004	10014
17505	5	5	1440	15004	10014
17506	6	5	2160	15004	10014
17507	7	5	3240	15004	10014
17508	8	5	4860	15004	10014
17509	9	5	7290	15004	10014
17510	10	5	10935	15004	10014
17601	1	6	20	15004	10014
17602	2	6	40	15004	10014
17603	3	6	80	15004	10014
17604	4	6	160	15004	10014
17605	5	6	320	15004	10014
17606	6	6	480	15004	10014
17607	7	6	720	15004	10014
17608	8	6	1080	15004	10014
17609	9	6	1620	15004	10014
17610	10	6	2430	15004	10014
17701	1	7	20	15004	10014
17702	2	7	40	15004	10014
17703	3	7	80	15004	10014
17704	4	7	160	15004	10014
17705	5	7	320	15004	10014
17706	6	7	480	15004	10014
17707	7	7	720	15004	10014
17708	8	7	1080	15004	10014
17709	9	7	1620	15004	10014
17710	10	7	2430	15004	10014
17801	1	8	20	15004	10014
17802	2	8	40	15004	10014
17803	3	8	80	15004	10014
17804	4	8	160	15004	10014
17805	5	8	320	15004	10014
17806	6	8	480	15004	10014
17807	7	8	720	15004	10014
17808	8	8	1080	15004	10014
17809	9	8	1620	15004	10014
17810	10	8	2430	15004	10014
