number	string	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number
boss等级	boss形象ID	物理攻击力	魔法攻击力	物理防御力	魔法防御力	生命值	暴击值	命中值	闪避值	击杀金币	每次攻击金币	第1名金币	第2名金币	第3名金币	第4-10名金币	第11-所有金币
1	M094	1080	0	0	0	528000	120	120	120	20000	32	1800	1600	1400	1000	180
2	M094	1125	0	0	0	558000	140	140	140	20000	32	1800	1600	1400	1000	180
3	M094	1170	0	0	0	588000	160	160	160	20000	32	1800	1600	1400	1000	180
4	M094	1215	0	0	0	618000	180	180	180	20000	32	1800	1600	1400	1000	180
5	M094	1260	0	0	0	648000	200	200	200	30000	48	2700	2400	2100	1500	270
6	M094	1305	0	0	0	678000	220	220	220	30000	48	2700	2400	2100	1500	270
7	M094	1350	0	0	0	708000	240	240	240	30000	48	2700	2400	2100	1500	270
8	M094	1395	0	0	0	738000	260	260	260	30000	48	2700	2400	2100	1500	270
9	M094	1417	0	0	0	753000	280	280	280	30000	48	2700	2400	2100	1500	270
10	M094	1440	0	0	0	768000	300	300	300	30000	48	2700	2400	2100	1500	270
11	M094	1507	0	0	0	810000	320	320	320	30000	48	2700	2400	2100	1500	270
12	M094	1552	0	0	0	837000	340	340	340	40000	64	3600	3200	2800	2000	360
13	M094	1597	0	0	0	864000	360	360	360	40000	64	3600	3200	2800	2000	360
14	M094	1642	0	0	0	891000	380	380	380	40000	64	3600	3200	2800	2000	360
15	M094	1687	0	0	0	918000	400	400	400	40000	64	3600	3200	2800	2000	360
16	M094	1755	0	0	0	960000	420	420	420	40000	64	3600	3200	2800	2000	360
17	M094	1800	0	0	0	987000	440	440	440	40000	64	3600	3200	2800	2000	360
18	M094	1845	0	0	0	1014000	460	460	460	40000	64	3600	3200	2800	2000	360
19	M094	1935	0	0	0	1071000	480	480	480	50000	80	4500	4000	3500	2500	450
20	M094	2304	0	0	0	1278000	500	500	500	90000	144	8100	7200	6300	4500	810
21	M094	2416	0	0	0	1347000	520	520	520	90000	144	8100	7200	6300	4500	810
22	M094	2529	0	0	0	1416000	540	540	540	90000	144	8100	7200	6300	4500	810
23	M094	2641	0	0	0	1485000	560	560	560	90000	144	8100	7200	6300	4500	810
24	M094	2754	0	0	0	1554000	580	580	580	90000	144	8100	7200	6300	4500	810
25	M094	2947	0	0	0	1713000	600	600	600	90000	144	8100	7200	6300	4500	810
26	M094	3015	0	0	0	1752000	620	620	620	100000	160	9000	8000	7000	5000	900
27	M094	3127	0	0	0	1821000	640	640	640	100000	160	9000	8000	7000	5000	900
28	M094	3195	0	0	0	1860000	660	660	660	100000	160	9000	8000	7000	5000	900
29	M094	3307	0	0	0	1929000	680	680	680	100000	160	9000	8000	7000	5000	900
30	M094	3420	0	0	0	1998000	700	700	700	100000	160	9000	8000	7000	5000	900
31	M094	3555	0	0	0	2772000	720	720	720	110000	176	9900	8800	7700	5500	990
32	M094	3712	0	0	0	2900000	740	740	740	110000	176	9900	8800	7700	5500	990
33	M094	3870	0	0	0	3028000	760	760	760	110000	176	9900	8800	7700	5500	990
34	M094	4027	0	0	0	3156000	780	780	780	110000	176	9900	8800	7700	5500	990
35	M094	4293	0	0	0	3444000	800	800	800	110000	176	9900	8800	7700	5500	990
36	M094	4648	0	0	0	4465000	820	820	820	120000	192	10800	9600	8400	6000	1080
37	M094	4738	0	0	0	4550000	840	840	840	120000	192	10800	9600	8400	6000	1080
38	M094	4896	0	0	0	4710000	860	860	860	120000	192	10800	9600	8400	6000	1080
39	M094	5053	0	0	0	4870000	880	880	880	120000	192	10800	9600	8400	6000	1080
40	M094	5535	0	0	0	5330000	900	900	900	200000	320	18000	16000	14000	10000	1800
41	M094	5715	0	0	0	5730000	920	920	920	210000	336	18900	16800	14700	10500	1890
42	M094	5895	0	0	0	5915000	940	940	940	210000	336	18900	16800	14700	10500	1890
43	M094	6097	0	0	0	7350000	960	960	960	210000	336	18900	16800	14700	10500	1890
44	M094	6300	0	0	0	7602000	980	980	980	210000	336	18900	16800	14700	10500	1890
45	M094	6637	0	0	0	8154000	1000	1000	1000	210000	336	18900	16800	14700	10500	1890
46	M094	6840	0	0	0	8406000	1020	1020	1020	220000	352	19800	17600	15400	11000	1980
47	M094	7042	0	0	0	8658000	1040	1040	1040	220000	352	19800	17600	15400	11000	1980
48	M094	7245	0	0	0	8910000	1060	1060	1060	220000	352	19800	17600	15400	11000	1980
49	M094	7447	0	0	0	10689000	1080	1080	1080	220000	352	19800	17600	15400	11000	1980
50	M094	7650	0	0	0	10983000	1100	1100	1100	230000	368	20700	18400	16100	11500	2070
51	M094	7875	0	0	0	11305000	1120	1120	1120	230000	368	20700	18400	16100	11500	2070
52	M094	8100	0	0	0	11627000	1140	1140	1140	230000	368	20700	18400	16100	11500	2070
53	M094	8347	0	0	0	11984000	1160	1160	1160	230000	368	20700	18400	16100	11500	2070
54	M094	8595	0	0	0	14104000	1180	1180	1180	240000	384	21600	19200	16800	12000	2160
55	M094	9031	0	0	0	15072000	1200	1200	1200	240000	384	21600	19200	16800	12000	2160
56	M094	9279	0	0	0	15480000	1220	1220	1220	240000	384	21600	19200	16800	12000	2160
57	M094	9526	0	0	0	15888000	1240	1240	1240	240000	384	21600	19200	16800	12000	2160
58	M094	9774	0	0	0	16296000	1260	1260	1260	240000	384	21600	19200	16800	12000	2160
59	M094	10021	0	0	0	18792000	1280	1280	1280	250000	400	22500	20000	17500	12500	2250
60	M094	11322	0	0	0	20331000	1300	1300	1300	380000	608	34200	30400	26600	19000	3420
61	M094	11592	0	0	0	21591000	1320	1320	1320	380000	608	34200	30400	26600	19000	3420
62	M094	11749	0	0	0	21861000	1340	1340	1340	390000	624	35100	31200	27300	19500	3510
63	M094	12019	0	0	0	22356000	1360	1360	1360	390000	624	35100	31200	27300	19500	3510
64	M094	12334	0	0	0	22941000	1380	1380	1380	390000	624	35100	31200	27300	19500	3510
65	M094	12892	0	0	0	27040000	1400	1400	1400	390000	624	35100	31200	27300	19500	3510
66	M094	13207	0	0	0	27690000	1420	1420	1420	400000	640	36000	32000	28000	20000	3600
67	M094	13365	0	0	0	27990000	1440	1440	1440	400000	640	36000	32000	28000	20000	3600
68	M094	13680	0	0	0	28640000	1460	1460	1460	400000	640	36000	32000	28000	20000	3600
69	M094	13995	0	0	0	29290000	1480	1480	1480	400000	640	36000	32000	28000	20000	3600
70	M094	15210	0	0	0	37334000	1500	1500	1500	410000	656	36900	32800	28700	20500	3690
71	M094	15547	0	0	0	38093000	1520	1520	1520	410000	656	36900	32800	28700	20500	3690
72	M094	15885	0	0	0	38852000	1540	1540	1540	410000	656	36900	32800	28700	20500	3690
73	M094	16222	0	0	0	39611000	1560	1560	1560	410000	656	36900	32800	28700	20500	3690
74	M094	16560	0	0	0	44040000	1580	1580	1580	420000	672	37800	33600	29400	21000	3780
75	M094	17266	0	0	0	46428000	1600	1600	1600	420000	672	37800	33600	29400	21000	3780
76	M094	17649	0	0	0	47376000	1620	1620	1620	420000	672	37800	33600	29400	21000	3780
77	M094	17829	0	0	0	47784000	1640	1640	1640	420000	672	37800	33600	29400	21000	3780
78	M094	18211	0	0	0	48732000	1660	1660	1660	430000	688	38700	34400	30100	21500	3870
79	M094	18594	0	0	0	49680000	1680	1680	1680	430000	688	38700	34400	30100	21500	3870
