number	array	number	array	number
技能等级	技能1类ID	消耗贡献值	技能2类ID	消耗2贡献值
1	"[101,102,103,104,105]"	2	"[106,107,108]"	3
2	"[101,102,103,104,105]"	3	"[106,107,108]"	5
3	"[101,102,103,104,105]"	4	"[106,107,108]"	7
4	"[101,102,103,104,105]"	5	"[106,107,108]"	9
5	"[101,102,103,104,105]"	6	"[106,107,108]"	10
6	"[101,102,103,104,105]"	8	"[106,107,108]"	12
7	"[101,102,103,104,105]"	9	"[106,107,108]"	14
8	"[101,102,103,104,105]"	10	"[106,107,108]"	16
9	"[101,102,103,104,105]"	11	"[106,107,108]"	18
10	"[101,102,103,104,105]"	12	"[106,107,108]"	19
11	"[101,102,103,104,105]"	14	"[106,107,108]"	21
12	"[101,102,103,104,105]"	15	"[106,107,108]"	23
13	"[101,102,103,104,105]"	16	"[106,107,108]"	25
14	"[101,102,103,104,105]"	17	"[106,107,108]"	27
15	"[101,102,103,104,105]"	18	"[106,107,108]"	28
16	"[101,102,103,104,105]"	20	"[106,107,108]"	30
17	"[101,102,103,104,105]"	21	"[106,107,108]"	32
18	"[101,102,103,104,105]"	22	"[106,107,108]"	34
19	"[101,102,103,104,105]"	23	"[106,107,108]"	36
20	"[101,102,103,104,105]"	24	"[106,107,108]"	37
21	"[101,102,103,104,105]"	26	"[106,107,108]"	39
22	"[101,102,103,104,105]"	27	"[106,107,108]"	41
23	"[101,102,103,104,105]"	28	"[106,107,108]"	43
24	"[101,102,103,104,105]"	29	"[106,107,108]"	45
25	"[101,102,103,104,105]"	30	"[106,107,108]"	46
26	"[101,102,103,104,105]"	32	"[106,107,108]"	48
27	"[101,102,103,104,105]"	33	"[106,107,108]"	50
28	"[101,102,103,104,105]"	34	"[106,107,108]"	52
29	"[101,102,103,104,105]"	35	"[106,107,108]"	54
30	"[101,102,103,104,105]"	36	"[106,107,108]"	55
31	"[101,102,103,104,105]"	38	"[106,107,108]"	57
32	"[101,102,103,104,105]"	39	"[106,107,108]"	59
33	"[101,102,103,104,105]"	40	"[106,107,108]"	61
34	"[101,102,103,104,105]"	41	"[106,107,108]"	63
35	"[101,102,103,104,105]"	42	"[106,107,108]"	64
36	"[101,102,103,104,105]"	44	"[106,107,108]"	66
37	"[101,102,103,104,105]"	45	"[106,107,108]"	68
38	"[101,102,103,104,105]"	46	"[106,107,108]"	70
39	"[101,102,103,104,105]"	47	"[106,107,108]"	72
40	"[101,102,103,104,105]"	48	"[106,107,108]"	73
41	"[101,102,103,104,105]"	50	"[106,107,108]"	75
42	"[101,102,103,104,105]"	51	"[106,107,108]"	77
43	"[101,102,103,104,105]"	52	"[106,107,108]"	79
44	"[101,102,103,104,105]"	53	"[106,107,108]"	81
45	"[101,102,103,104,105]"	54	"[106,107,108]"	82
46	"[101,102,103,104,105]"	56	"[106,107,108]"	84
47	"[101,102,103,104,105]"	57	"[106,107,108]"	86
48	"[101,102,103,104,105]"	58	"[106,107,108]"	88
49	"[101,102,103,104,105]"	59	"[106,107,108]"	90
50	"[101,102,103,104,105]"	60	"[106,107,108]"	91
51	"[101,102,103,104,105]"	123	"[106,107,108]"	185
52	"[101,102,103,104,105]"	125	"[106,107,108]"	189
