number	number	number	number
角色等级	需要经验	每5分钟离线经验	炼金每级产出
1	0	8	2000
2	170	8	2500
3	350	8	3000
4	535	8	3500
5	725	8	4000
6	960	8	4500
7	1120	9	5000
8	1330	9	5500
9	1550	9	6000
10	1780	10	6500
11	2130	10	7000
12	2480	11	7500
13	2850	11	8000
14	3400	12	8500
15	4170	13	9000
16	5200	14	9500
17	6530	16	10000
18	8200	17	10500
19	10250	18	11000
20	12720	20	12000
21	15650	22	13000
22	19080	24	14000
23	23010	26	15000
24	27440	28	16000
25	32370	30	17000
26	37800	34	18000
27	43230	37	19000
28	48660	40	20000
29	54090	44	21000
30	59520	47	21300
31	64950	52	21600
32	71380	56	21900
33	78810	61	22200
34	87240	65	22500
35	96670	70	22800
36	107100	76	23100
37	118530	83	23400
38	130960	90	23700
39	144390	97	24000
40	158820	103	24300
41	174250	112	24600
42	192550	121	24900
43	212980	130	25200
44	235650	138	25500
45	260560	147	25800
46	287840	159	26100
47	318410	172	26400
48	352440	184	26700
49	389920	196	27000
50	431030	208	27300
51	475760	222	27600
52	524810	235	27900
53	578180	248	28200
54	636050	260	28500
55	698430	273	28800
56	765520	285	29100
57	837310	296	29400
58	914000	307	29700
59	995590	318	30000
60	1082270	328	30300
61	1174050	339	30800
62	1271730	350	31300
63	1375410	361	31800
64	1485190	370	32300
65	1601070	379	32800
66	1723350	387	33300
67	1852030	395	33800
68	1987310	401	34300
69	2129190	407	34800
70	2277870	412	36000
71	2433350	418	36500
72	2596630	438	37000
73	2767710	458	37500
74	2946790	478	38000
75	3133870	499	38500
76	3329250	519	39000
77	3532930	541	39500
78	3745110	562	40000
79	3965890	584	40500
80	4195470	606	41500
81	4433850	631	42000
82	4682130	655	42500
83	4940210	681	43000
84	5208490	706	43500
85	5486970	732	44000
86	5775850	759	44500
87	6075230	785	45000
88	6385310	812	45500
89	6706090	840	46000
90	7037970	867	46400
91	7380850	891	46800
92	7733230	915	47200
93	8095010	939	47600
94	8466590	963	48000
95	8847870	988	48400
96	9239150	1013	48800
97	9640430	1039	49200
98	10051910	1065	49600
99	10473690	1091	49900
100	10905970	1117	50200
