number	number	number	number	number	number	number	number
升级ID	所升级别	职业	物理攻击	魔法攻击	物理防御	魔法防御	生命值
1	1	1	0	0	0	0	0
2	2	1	3	0	5	5	25
3	3	1	5	0	10	10	50
4	4	1	8	0	15	15	75
5	5	1	10	0	21	19	100
6	6	1	13	0	26	24	125
7	7	1	15	0	31	29	150
8	8	1	18	0	36	34	175
9	9	1	20	0	41	39	200
10	10	1	23	0	46	44	225
11	11	1	28	0	57	53	275
12	12	1	33	0	67	63	325
13	13	1	38	0	77	73	375
14	14	1	43	0	88	82	425
15	15	1	48	0	98	92	475
16	16	1	53	0	108	102	525
17	17	1	58	0	118	112	575
18	18	1	63	0	129	121	625
19	19	1	68	0	139	131	675
20	20	1	73	0	149	141	725
21	21	1	80	0	165	155	800
22	22	1	88	0	180	170	875
23	23	1	95	0	196	184	950
24	24	1	103	0	211	199	1025
25	25	1	110	0	227	213	1100
26	26	1	118	0	242	228	1175
27	27	1	125	0	258	243	1250
28	28	1	133	0	273	257	1325
29	29	1	140	0	288	272	1400
30	30	1	148	0	304	286	1475
31	31	1	158	0	324	306	1575
32	32	1	168	0	345	325	1675
33	33	1	178	0	366	344	1775
34	34	1	188	0	386	364	1875
35	35	1	198	0	407	383	1975
36	36	1	208	0	427	403	2075
37	37	1	218	0	448	422	2175
38	38	1	228	0	469	441	2275
39	39	1	238	0	489	461	2375
40	40	1	248	0	510	480	2475
41	41	1	260	0	536	504	2600
42	42	1	273	0	561	529	2725
43	43	1	285	0	587	553	2850
44	44	1	298	0	613	577	2975
45	45	1	310	0	639	601	3100
46	46	1	323	0	664	626	3225
47	47	1	335	0	690	650	3350
48	48	1	348	0	716	674	3475
49	49	1	360	0	742	698	3600
50	50	1	373	0	767	723	3725
51	51	1	388	0	798	752	3875
52	52	1	403	0	829	781	4025
53	53	1	418	0	860	810	4175
54	54	1	433	0	891	839	4325
55	55	1	448	0	922	868	4475
56	56	1	463	0	953	897	4625
57	57	1	478	0	984	926	4775
58	58	1	493	0	1015	955	4925
59	59	1	508	0	1045	985	5075
60	60	1	523	0	1076	1014	5225
61	61	1	540	0	1112	1048	5400
62	62	1	558	0	1148	1082	5575
63	63	1	575	0	1185	1116	5750
64	64	1	593	0	1221	1149	5925
65	65	1	610	0	1257	1183	6100
66	66	1	628	0	1293	1217	6275
67	67	1	645	0	1329	1251	6450
68	68	1	663	0	1365	1285	6625
69	69	1	680	0	1401	1319	6800
70	70	1	698	0	1437	1353	6975
71	71	1	718	0	1478	1392	7175
72	72	1	738	0	1519	1431	7375
73	73	1	758	0	1560	1470	7575
74	74	1	778	0	1602	1508	7775
75	75	1	798	0	1643	1547	7975
76	76	1	818	0	1684	1586	8175
77	77	1	838	0	1725	1625	8375
78	78	1	858	0	1766	1664	8575
79	79	1	878	0	1808	1702	8775
80	80	1	898	0	1849	1741	8975
81	81	1	920	0	1895	1785	9200
82	82	1	943	0	1942	1828	9425
83	83	1	965	0	1988	1872	9650
84	84	1	988	0	2034	1916	9875
85	85	1	1010	0	2081	1959	10100
86	86	1	1033	0	2127	2003	10325
87	87	1	1055	0	2173	2047	10550
88	88	1	1078	0	2220	2090	10775
89	89	1	1100	0	2266	2134	11000
90	90	1	1123	0	2312	2178	11225
91	91	1	1148	0	2364	2226	11475
92	92	1	1173	0	2415	2275	11725
93	93	1	1198	0	2467	2323	11975
94	94	1	1223	0	2518	2372	12225
95	95	1	1248	0	2570	2420	12475
96	96	1	1273	0	2621	2469	12725
97	97	1	1298	0	2673	2517	12975
98	98	1	1323	0	2724	2566	13225
99	99	1	1348	0	2776	2614	13475
100	100	1	1373	0	2827	2663	13725
101	101	1	1400	0	2884	2716	14000
102	102	1	1428	0	2941	2769	14275
103	103	1	1455	0	2997	2823	14550
104	104	1	1483	0	3054	2876	14825
105	105	1	1510	0	3111	2929	15100
106	106	1	1538	0	3167	2983	15375
107	107	1	1565	0	3224	3036	15650
108	108	1	1593	0	3281	3089	15925
