number	number	number	number	number	number				
ID	累计月份	累计天数	奖励ID	奖励数量	英雄ID				
1	1	5	15042	1	0				
2	1	10	15052	1	0				
3	1	15	15043	1	0				
4	1	20	15053	1	0				
5	1	25	0	0	2019				
6	2	5	15043	1	0				
7	2	10	15043	1	0				
8	2	15	15053	1	0				
9	2	20	15053	1	0				
10	2	25	0	0	2018				
11	3	5	15043	1	0				
12	3	10	15053	1	0				
13	3	15	15053	1	0				
14	3	20	15044	1	0				
15	3	25	0	0	2103				
16	4	5	15043	1	0				
17	4	10	15053	1	0				
18	4	15	15044	1	0				
19	4	20	15054	1	0				
20	4	25	15045	1	0				
