number	number	string	number	number	number	number	number
购买项ID	道具ID	道具名称	所在分页	货币类型	定价	热卖	新品
1111	15001	精灵的洗礼	1	1	19	0	0
1112	15002	女神的洗礼	1	1	99	1	0
1113	15004	庇护之印	1	1	19	0	0
2111	17605	五级暴击石	2	1	288	0	1
2112	17705	五级命中石	2	1	288	0	1
2113	17805	五级闪避石	2	1	288	0	1
2121	17105	五级物攻石	2	1	199	1	0
2122	17205	五级魔攻石	2	1	199	0	0
2123	17505	五级生命石	2	1	199	0	0
2131	17305	五级物防石	2	1	199	1	0
2132	17405	五级魔防石	2	1	199	0	0
3111	15001	精灵的洗礼	3	2	500	0	1
3112	17101	一级物攻石	3	2	200	0	1
3113	17201	一级魔攻石	3	2	200	0	1
3121	17301	一级物防石	3	2	200	0	1
3122	17401	一级魔防石	3	2	200	0	1
3123	17501	一级生命石	3	2	200	0	1
3131	17601	一级暴击石	3	2	200	0	1
3132	17701	一级命中石	3	2	200	0	1
3133	17801	一级闪避石	3	2	200	0	1
3211	16011	雅典之盔	3	2	500	0	0
3212	16012	雅典之甲	3	2	500	0	0
3213	16013	雅典之靴	3	2	500	0	0
3221	16014	雅典之枪	3	2	500	0	0
3222	16015	雅典之剑	3	2	500	0	0
3223	16016	雅典之弓	3	2	500	0	0
3231	16017	雅典之杖	3	2	500	0	0
3232	16018	雅典之眼	3	2	500	0	0
3233	16019	雅典之心	3	2	500	0	0
