number	string	number	string	string	string	string	number	number	number	number	number	number	number	number	number	number	number	number
怪物ID	怪物名称	职业	怪物形象	目录	普通攻击脚本	普通被击脚本	动作时间	技能取消时间	体型宽度	体型高度	移动速度	攻击频率	攻击范围	对应技能ID	攻击怒气获得	被击怒气获得	阴影	普功是否轨迹
3001	绿色史莱姆	2	M001	M001_output	M001_normal_attack	hit_31	0.2	0	50	90	30	1.45	40		300	300	1	0
3002	红色史莱姆	2	M002	M002_output	M002_normal_attack	hit_31	0.2	0	50	90	30	1.45	40		300	300	1	0
3003	蓝色史莱姆	2	M003	M003_output	M003_normal_attack	hit_31	0.2	0	50	90	30	1.45	40		300	300	1	0
3004	金色史莱姆	2	M004	M004_output	M004_normal_attack	hit_31	0.2	0	50	90	30	1.45	40		300	300	1	0
3005	史莱姆女王	1	M005	M005_output	M005_normal_attack	hit_31	0.1	0	70	130	100	1.8	20	101	300	300	2	0
3006	史莱姆国王	2	M006	M006_output	M006_normal_attack	hit_31	0.1	0.2	70	130	100	1.45	40	221	300	300	2	0
3007	斯芬克斯	1	M008	M008_output	M008_normal_attack		0.1	0.1	150	210	320	1.8	20	121	300	100	3	0
3008	狮鹫	2	M007	M007_output	M007_normal_attack	hit_51	0.1	0.2	170	200	80	1.45	40	221	300	300	3	0
3009	巨鹰	2	M009	M009_output	M009_normal_attack	hit_51	0.1	0	60	200	220	1.45	40		300	300	1	0
3010	大雕	1	M010	M010_output	M010_normal_attack	hit_51	0.1	0	60	200	220	1.45	40		300	300	1	0
3011	火凤凰	2	M011	M011_output	M011_normal_attack		0.1	0	100	230	220	1.45	40		300	300	1	0
3012	孔雀	2	M012	M012_output	M012_normal_attack		0.1	0	100	230	220	1.45	40		300	300	1	0
3013	拉冬	4	M013	M013_output	M013_normal_attack		0.1	0.1	350	350	150	1.65	80	402	300	300	3	0
3014	许德拉	4	M014	M014_output	M014_normal_attack		0.1	0.1	350	320	190	1.65	80	402	300	300	3	0
3015	斯库拉	2	M015	M015_output	M015_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	3	0
3016	耶梦加得	2	M016	M016_output	M016_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	3	0
3017	洞穴食人妖	2	M017	M017_output	M017_normal_attack	hit_11	0.1	0.1	140	240	33	1.45	40	221	300	300	2	0
3018	山领食人妖	2	M018	M018_output	M018_normal_attack	hit_11	0.1	0.1	140	240	33	1.45	40	221	300	300	2	0
3019	雪地食人妖	2	M019	M019_output	M019_normal_attack	hit_11	0.2	0.2	140	240	33	1.45	40	221	300	300	2	0
3020	重装食人妖	2	M020	M020_output	M020_normal_attack	hit_11	1	221	140	240	33	1.45	40	221	300	300	2	0
3021	牧神潘	2	M021	M021_output	M021_normal_attack	hit_11	0.1	0.1	80	160	160	1.45	60	201	300	300	1	0
3022	羊头人武士	2	M022	M022_output	M022_normal_attack	hit_11	0.1	0	80	160	180	1.45	40		300	300	1	0
3023	羊头人战士	2	M023	M022_output	M023_normal_attack	hit_11	0.1	0	100	160	180	1.45	40		300	300	1	0
3024	黑色羊头人武士	2	M024	M024_output	M024_normal_attack	hit_11	0.1	0	80	160	180	1.45	40		300	300	1	0
3025	黑色羊头人战士	2	M025	M024_output	M025_normal_attack	hit_11	0.1	0	100	160	180	1.45	40		300	300	1	0
3026	黑龙	4	M026	M026_output	M026_normal_attack	hit_41	0.1	0.1	70	400	160	1.65	280	402	300	300	2	1
3027	红龙	4	M027	M027_output	M027_normal_attack	hit_42	0.1	0.1	70	400	160	1.65	280	412	300	300	2	1
3028	绿龙	4	M028	M028_output	M028_normal_attack	hit_42	0.1	0.1	70	400	160	1.65	280	412	300	300	2	1
3029	金龙	4	M029	M029_output	M029_normal_attack	hit_43	0.1	0.1	70	400	160	1.65	280	422	300	300	2	1
3030	蓝龙	4	M030	M030_output	M030_normal_attack	hit_43	0.1	0.1	70	400	160	1.65	280	422	300	300	2	1
3031	小黑龙	2	M031	M031_output	M031_normal_attack	hit_42	0.2	0	100	190	220	1.45	40		300	300	1	0
3032	小红龙	2	M032	M032_output	M032_normal_attack	hit_42	0.2	0	100	190	220	1.45	40		300	300	1	0
3033	小绿龙	2	M033	M033_output	M033_normal_attack	hit_42	0.2	0	100	190	220	1.45	40		300	300	1	0
3034	小金龙	2	M034	M034_output	M034_normal_attack	hit_11	0.2	0	60	190	220	1.45	40		300	300	1	0
3035	小蓝龙	2	M035	M035_output	M035_normal_attack	hit_11	0.2	0	60	190	220	1.45	40		300	300	1	0
3036	绿羽鹰身女妖	2	M036	M036_output	M036_normal_attack	hit_11	1	0	60	200	220	1.45	40		300	300	1	0
3037	褐羽鹰身女妖	2	M037	M037_output	M037_normal_attack	hit_11	1	0	60	200	220	1.45	40		300	300	1	0
3038	黑羽鹰身女妖	2	M038	M038_output	M038_normal_attack	hit_11	1	0	60	200	220	1.45	40		300	300	1	0
3039	彩色鹰身女妖	2	M039	M039_output	M039_normal_attack	hit_11	1	0	60	200	220	1.45	40		300	300	1	0
3040	绿羽鹰身女妖之王	2	M040	M040_output	M040_normal_attack	hit_11	1	0	60	200	220	1.45	40		300	300	1	0
3041	彩色鹰身女妖之王	2	M041	M041_output	M041_normal_attack	hit_11	1	0	60	200	220	1.45	40		300	300	1	0
3042	石像鬼	2	M042	M042_output	M042_normal_attack	hit_11	1	0	60	200	220	1.45	40		300	300	1	0
3043	地狱石像鬼	2	M043	M043_output	M043_normal_attack	hit_11	1	0	60	200	220	1.45	40		300	300	1	0
3044	大石像鬼	2	M044	M044_output	M044_normal_attack	hit_11	1	0	60	200	220	1.45	40		300	300	1	0
3045	青色撕咬蝙蝠	2	M045	M045_output	M045_normal_attack	hit_11	1	0	45	200	220	1.45	40		300	300	1	0
3046	褐色撕咬蝙蝠	2	M046	M046_output	M046_normal_attack	hit_11	1	0	45	200	220	1.45	40		300	300	1	0
3047	红色喷火蝙蝠	2	M047	M047_output	M047_normal_attack	hit_11	1	0	45	200	220	1.45	40		300	300	1	0
3048	黑色喷火蝙蝠	2	M048	M048_output	M048_normal_attack	hit_11	1	0	45	200	220	1.45	40		300	300	1	0
3049	撕咬蝙蝠王	2	M049	M049_output	M049_normal_attack	hit_11	1	0	60	200	220	1.45	40		300	300	1	0
3050	喷火蝙蝠王	2	M050	M050_output	M050_normal_attack	hit_11	1	0	60	200	220	1.45	40		300	300	1	0
3051	刻耳柏洛斯	2	M051	M051_output	M051_normal_attack	hit_11	1	0	60	200	220	1.45	40		300	300	1	0
3052	奇美拉	2	M052	M052_output	M052_normal_attack	hit_11	1	0	60	200	220	1.45	40		300	300	1	0
3053	芬里尔	2	M053	M053_output	M053_normal_attack	hit_11	1	0	80	160	220	1.45	40		300	300	1	0
3054	加姆	2	M054	M054_output	M054_normal_attack	hit_11	1	0	80	160	220	1.45	40		300	300	1	0
3055	恶犬	2	M055	M055_output	M055_normal_attack	hit_11	1	0	80	160	220	1.45	40		300	300	1	0
3056	深红恶犬	2	M056	M056_output	M056_normal_attack	hit_11	1	0	80	160	220	1.45	40		300	300	1	0
3057	座狼	2	M057	M057_output	M057_normal_attack	hit_11	1	0	80	160	220	1.45	40		300	300	1	0
3058	座狼首领	2	M058	M058_output	M058_normal_attack	hit_11	1	0	80	160	220	1.45	40		300	300	1	0
3059	塔罗斯	2	M059	M059_output	M059_normal_attack	hit_11	1	0	80	160	220	1.45	40		300	300	1	0
3060	白银塔罗斯	2	M060	M060_output	M060_normal_attack	hit_11	1	0	80	160	220	1.45	40		300	300	1	0
3061	金色塔罗斯	2	M061	M061_output	M061_normal_attack	hit_11	2	0	80	160	220	1.45	40		300	300	1	0
3062	钢铁塔罗斯	2	M062	M062_output	M062_normal_attack	hit_11	1	0	80	160	220	1.45	40		300	300	1	0
3063	青铜塔罗斯	2	M063	M063_output	M063_normal_attack	hit_11	1	0	80	160	220	1.45	40		300	300	1	0
3064	弥诺陶洛斯	2	M064	M064_output	M064_normal_attack	hit_11	0.1	0.4	100	230	110	1.45	40	221	300	300	2	0
3065	火牛	2	M065	M065_output	M065_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3066	牛头人斧兵	2	M066	M066_output	M066_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3067	高级牛头人斧兵	2	M067	M067_output	M067_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3068	牛头人锤兵	2	M068	M068_output	M068_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3069	高级牛头人锤兵	2	M069	M069_output	M069_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3070	独眼巨人之王	2	M070	M070_output	M070_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3071	独眼巨人狼牙棒	2	M071	M071_output	M071_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3072	独眼巨人树干	2	M072	M072_output	M072_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3073	百臂巨人	2	M073	M073_output	M073_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3074	战争古树	2	M074	M074_output	M074_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3075	战争之树	2	M075	M075_output	M075_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3076	智慧古树	2	M076	M076_output	M076_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3077	智慧之树	2	M077	M077_output	M077_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3078	远古守护者	2	M078	M078_output	M078_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3079	树人保护者	2	M079	M079_output	M079_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3080	冰霜巨人之王	2	M080	M080_output	M080_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3081	火巨人之王	2	M081	M081_output	M081_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3082	石巨人之王	2	M082	M082_output	M082_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3083	雷电巨人之王	2	M083	M083_output	M083_normal_attack	hit_11	1	0	80	200	220	1.45	40		300	300	1	0
3084	小冰霜巨人	2	M084	M084_output	M084_normal_attack	hit_11	1	0	60	160	220	1.45	40		300	300	1	0
3085	小火巨人	2	M085	M085_output	M085_normal_attack	hit_11	1	0	60	160	220	1.45	40		300	300	1	0
