number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number
怪物等级	骑士怪物理攻击	骑士怪魔法攻击	骑士怪物理防御	骑士怪魔法防御	骑士怪生命值	战士怪物理攻击	战士怪魔法攻击	战士怪物理防御	战士怪魔法防御	战士怪生命值	射手怪物理攻击	射手怪魔法攻击	射手怪物理防御	射手怪魔法防御	射手怪生命值	法师怪物理攻击	法师怪魔法攻击	法师怪物理防御	法师怪魔法防御	法师怪生命值	怪物暴击值	怪物命中值	怪物闪避值
1	66	0	160	144	260	79	0	128	115	221	86	0	83	91	209	0	94	49	147	198	0	120	0
2	68	0	168	151	300	81	0	134	120	255	89	0	87	95	242	0	97	52	156	229	0	120	0
3	70	0	176	158	500	84	0	140	126	425	92	0	91	100	403	0	101	54	162	382	0	120	0
4	72	0	184	165	700	86	0	147	132	595	94	0	95	104	565	0	103	57	171	536	0	120	0
5	75	0	192	172	800	90	0	153	137	680	99	0	99	108	646	0	108	59	177	613	0	120	0
6	79	0	200	180	880	94	0	160	144	748	103	0	104	114	710	0	113	62	186	674	0	120	0
7	82	0	208	187	924	98	0	166	149	785	107	0	107	117	745	0	117	64	192	707	0	120	0
8	86	0	216	194	968	103	0	172	155	822	113	0	111	122	780	0	124	66	198	741	0	120	0
9	91	0	224	201	1012	109	0	179	160	860	119	0	116	127	817	0	130	69	207	776	0	120	0
10	95	0	232	208	1067	114	0	185	166	906	125	0	120	132	860	0	137	72	216	817	0	120	0
11	101	0	240	216	1127	121	0	192	172	957	133	0	124	136	909	0	146	74	222	863	100	120	100
12	106	0	248	223	1188	127	0	198	178	1009	139	0	128	140	958	0	152	76	228	910	100	120	100
13	112	0	256	230	1248	134	0	204	184	1060	147	0	132	145	1007	0	161	79	237	956	100	120	100
14	118	0	264	237	1309	141	0	211	189	1112	155	0	137	150	1056	0	170	82	246	1003	100	120	100
15	125	0	272	244	1369	150	0	217	195	1163	165	0	141	155	1104	0	181	84	252	1048	100	120	100
16	132	0	280	252	1430	158	0	224	201	1215	173	0	145	159	1154	0	190	87	261	1096	100	120	100
17	139	0	290	261	1490	166	0	232	208	1266	182	0	150	165	1202	0	200	90	270	1141	100	120	100
18	147	0	300	270	1551	176	0	240	216	1318	193	0	156	171	1252	0	212	93	279	1189	100	120	100
19	155	0	310	279	1611	186	0	248	223	1369	204	0	161	177	1300	0	224	96	288	1235	100	120	100
20	163	0	330	297	1694	195	0	264	237	1439	214	0	171	188	1367	0	235	102	306	1298	100	120	100
21	172	0	350	315	1793	206	0	280	252	1524	226	0	182	200	1447	0	248	109	327	1374	120	120	120
22	181	0	370	333	1892	217	0	296	266	1608	238	0	192	211	1527	0	261	115	345	1450	140	140	140
23	191	0	390	351	1991	229	0	312	280	1692	251	0	202	222	1607	0	276	121	363	1526	160	160	160
24	201	0	410	369	2090	241	0	328	295	1776	265	0	213	234	1687	0	291	127	381	1602	180	180	180
25	211	0	430	387	2211	253	0	344	309	1879	278	0	223	245	1785	0	305	133	399	1695	200	200	200
26	222	0	450	405	2332	266	0	360	324	1982	292	0	234	257	1882	0	321	140	420	1787	220	220	220
27	233	0	470	423	2453	279	0	376	338	2085	306	0	244	268	1980	0	336	146	438	1881	240	240	240
28	244	0	490	441	2574	292	0	392	352	2187	321	0	254	279	2077	0	353	152	456	1973	260	260	260
29	256	0	510	459	2695	307	0	408	367	2290	337	0	265	291	2175	0	370	159	477	2066	280	280	280
30	268	0	540	486	2816	321	0	432	388	2393	353	0	280	308	2273	0	388	168	504	2159	300	300	300
31	280	0	570	513	2948	336	0	456	410	2505	369	0	296	325	2379	0	405	177	531	2260	320	320	320
32	293	0	600	540	3080	351	0	480	432	2618	386	0	312	343	2487	0	424	187	561	2362	340	340	340
33	306	0	630	567	3212	367	0	504	453	2730	403	0	327	359	2593	0	443	196	588	2463	360	360	360
