number	number	number	number	number	number	number	number	number	number
id	时间	奖励1ID	奖励1数量	奖励2ID	奖励2数量	奖励3ID	奖励3数量	奖励4ID	奖励4数量
1	120	15041	1	10001	10000	15001	1	10005	30
2	120	15051	1	10001	20000	15001	1	10005	30
3	180	15042	1	10001	30000	15001	2	10005	30
4	240	15052	1	10001	50000	15001	2	10005	30
5	300	15063	1	10001	100000	15001	3	10005	30
6	480	15052	1	10001	100000	15001	3	10005	30
7	600	15062	1	10001	150000	15001	5	10005	30
8	720	15053	1	10001	150000	15001	5	10005	30
9	840	15043	1	10001	200000	15001	5	10005	30
									
									
									
									
