number	string	
攻击次数	造成伤害	
1	0.49%	
2	0.49%	
3	0.49%	
4	0.49%	
5	0.49%	
6	0.49%	
7	0.49%	
8	0.49%	
9	0.49%	
10	0.49%	
11	0.49%	
12	0.49%	
13	0.49%	
14	0.49%	
15	0.49%	
16	0.49%	
17	0.49%	
18	0.49%	
19	0.49%	
20	0.49%	
21	0.49%	
22	0.49%	
23	0.49%	
24	0.49%	
25	0.49%	
26	1.46%	
27	1.46%	
28	1.46%	
29	1.46%	
30	1.46%	
31	1.46%	
32	1.46%	
33	1.46%	
34	1.46%	
35	1.46%	
36	1.46%	
37	1.46%	
38	1.46%	
39	1.46%	
40	1.46%	
41	4.39%	
42	4.39%	
43	4.39%	
44	4.39%	
45	4.39%	
46	4.39%	
47	4.39%	
48	4.39%	
49	4.39%	
50	4.39%	
51	4.39%	
52	4.39%	
53	4.39%	
54	4.39%	
55	4.39%	
