number	number	number	number	number	number	number	number	number	number	number
ID	升阶职业	升阶星级	提升物理攻击力	提升魔法攻击力	提升物理防御力	提升魔法防御力	提升生命值	提升暴击值	提升命中值	提升闪避值
1	1	0	0	0	0	0	0	0	0	0
2	1	1	25	0	55	45	220	100	100	250
3	1	2	75	0	160	140	660	200	200	500
4	1	3	160	0	335	305	1408	300	300	750
5	1	4	320	0	665	615	2816	400	400	1000
6	1	5	590	0	1220	1140	5196	500	500	1250
7	2	0	0	0	0	0	0	0	0	0
8	2	1	43	0	35	25	150	150	150	150
9	2	2	128	0	103	77	450	300	300	300
10	2	3	273	0	220	164	960	450	450	450
11	2	4	545	0	440	328	1920	600	600	600
12	2	5	1004	0	810	606	3540	750	750	750
13	3	0	0	0	0	0	0	0	0	0
14	3	1	45	0	27	23	140	150	200	100
15	3	2	135	0	81	69	420	300	400	200
16	3	3	288	0	173	147	896	450	600	300
17	3	4	576	0	345	295	1792	600	800	400
18	3	5	1062	0	635	545	3304	750	1000	500
19	4	0	0	0	0	0	0	0	0	0
20	4	1	0	50	10	30	130	350	50	50
21	4	2	0	150	30	90	390	700	100	100
22	4	3	0	320	64	192	832	1050	150	150
23	4	4	0	640	128	384	1664	1400	200	200
24	4	5	0	1180	236	708	3068	1750	250	250
