number	number	number	number	number	number	number	number	number
ID	升阶职业	升阶星级	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量
1	1	1	13001	15	13008	15	13009	15
2	1	2	13011	30	13018	30	13019	30
3	1	3	13021	45	13028	45	13029	45
4	1	4	13031	60	13038	60	13039	60
5	1	5	13041	75	13048	75	13049	75
6	2	1	13002	15	13008	15	13009	15
7	2	2	13012	30	13018	30	13019	30
8	2	3	13022	45	13028	45	13029	45
9	2	4	13032	60	13038	60	13039	60
10	2	5	13042	75	13048	75	13049	75
11	3	1	13003	15	13008	15	13009	15
12	3	2	13013	30	13018	30	13019	30
13	3	3	13023	45	13028	45	13029	45
14	3	4	13033	60	13038	60	13039	60
15	3	5	13043	75	13048	75	13049	75
16	4	1	13004	15	13008	15	13009	15
17	4	2	13014	30	13018	30	13019	30
18	4	3	13024	45	13028	45	13029	45
19	4	4	13034	60	13038	60	13039	60
20	4	5	13044	75	13048	75	13049	75
