number	string	string	string	string	number	number	number	number	number	number	number	number	number	number	number	number	string	number
技能ID	技能名	技能ICON	技能脚本	技能被击特效	技能释放时间	伤害次数	攻击范围	作用1目标	作用1目标类型	扩散范围1	扩散方式1	扩散人数1	buffID	满级等级	进阶技能ID	进阶图纸ID	说明	是否轨迹
101	守护天神	S101	S101_magic_attack		1.4	0	0						101	20	102	14011	中量提升骑士的物理及魔法防御	0
102	末日庇护	S102	S102_magic_attack		1.4	1	0						102	20	0	0	大量提升骑士及周围伙伴的防御	0
111	神圣封印	S111	S111_magic_attack		2.4	1	40	4	1	0	0	-1	111	20	112	14012	少量提升防御，并造成中量单体伤害	0
112	星辰守卫	S112	S112_magic_attack		2.4	1	40	4	1	0	0	-1	112	20	0	0	中量提升防御，并造成大量单体伤害	0
121	夜幕冲击	S121	S121_magic_attack		2.4	1	160	4	1	50	1	2	121	20	122	14013	少量提升防御，并造成少量群体伤害	0
122	诸神黄昏	S122	S122_magic_attack		2.4	1	160	4	1	60	1	2	122	20	0	0	中量提升防御，并造成中量群体伤害	0
201	王者之剑	S201	S201_magic_attack		2.4	1	40	4	1	0	0	-1	0	20	202	14021	对一个敌人造成大量伤害	0
202	弑神灭世	S202	S202_magic_attack		2.4	1	40	4	1	0	0	-1	0	20	0	0	对三个敌人造成大量伤害	0
211	裁决之刃	S211	S211_magic_attack		2.4	1	850	4	3	0	0	-1	0	20	212	14022	对最远的一个敌人造成大量伤害	0
212	终极审判	S212	S212_magic_attack		2.4	1	850	4	3	0	0	-1	0	20	0	0	对最远的一个敌人造成巨量伤害	0
221	雷霆一击	S221	S221_magic_attack		2.4	1	40	4	1	60	1	2	0	20	222	14023	对三个敌人造成中量伤害	0
222	诸神之怒	S222	S222_magic_attack		2.4	1	40	4	1	60	1	2	0	20	0	0	对三个敌人造成大量伤害	0
301	裂风之箭	S301	S301_magic_attack		2.4	1	240	4	1	0	0	-1	0	20	302	14031	对一个敌人造成大量伤害	1
302	灭龙之箭	S302	S302_magic_attack		2.4	1	240	4	1	0	0	-1	0	20	0	0	对三个敌人造成巨量伤害	1
311	九星凌日	S311	S311_magic_attack		2.4	3	600	4	1	60	3	0	0	20	312	14032	对一范围内所有敌人造成中量伤害	0
312	群星陨落	S312	S312_magic_attack		2.4	3	600	4	1	80	3	0	0	20	0	0	对一范围内所有敌人造成大量伤害	0
321	绝望狙击	S321	S321_magic_attack		2.4	1	850	4	3	0	0	-1	0	20	322	14033	对最远的一个敌人造成大量伤害	0
322	死神之触	S322	S322_magic_attack		2.4	1	850	4	3	0	0	-1	0	20	0	0	对最远的一个敌人造成巨量伤害	0
401	炼狱狂雷	S401	S401_magic_attack		2.4	1	850	4	3	60	1	2	0	20	402	14041	对最远的三个敌人造成中量伤害	0
402	电磁黑洞	S402	S402_magic_attack		2.4	1	850	4	3	60	1	2	0	20	0	0	对最远的三个敌人造成大量伤害	0
411	烈焰风暴	S411	S411_magic_attack		2.4	1	280	4	1	60	1	2	0	20	412	14042	对二个敌人造成中量伤害	0
412	末世天火	S412	S412_magic_attack		2.4	1	280	4	1	60	1	2	0	20	0	0	对三个敌人造成大量伤害	0
421	极寒冰雪	S421	S421_magic_attack		2.4	3	600	4	2	60	3	0	0	20	422	14043	对一范围内所有敌人造成中量伤害	0
422	绝对零度	S422	S422_magic_attack		2.4	3	600	4	2	80	3	0	0	20	0	0	对一范围内所有敌人造成大量伤害	0
