number	number	number	number	number
ID	技能ID	等级	效果1系数	效果2系数
10101	101	1	0	0.5
10102	101	2	0	0.52
10103	101	3	0	0.54
10104	101	4	0	0.56
10105	101	5	0	0.58
10106	101	6	0	0.6
10107	101	7	0	0.62
10108	101	8	0	0.64
10109	101	9	0	0.67
10110	101	10	0	0.7
10111	101	11	0	0.73
10112	101	12	0	0.76
10113	101	13	0	0.79
10114	101	14	0	0.82
10115	101	15	0	0.85
10116	101	16	0	0.88
10117	101	17	0	0.91
10118	101	18	0	0.94
10119	101	19	0	0.97
10120	101	20	0	1
10201	102	1	0	1.05
10202	102	2	0	1.1
10203	102	3	0	1.15
10204	102	4	0	1.2
10205	102	5	0	1.25
10206	102	6	0	1.3
10207	102	7	0	1.35
10208	102	8	0	1.4
10209	102	9	0	1.45
10210	102	10	0	1.5
10211	102	11	0	1.55
10212	102	12	0	1.6
10213	102	13	0	1.65
10214	102	14	0	1.7
10215	102	15	0	1.75
10216	102	16	0	1.8
10217	102	17	0	1.85
10218	102	18	0	1.9
10219	102	19	0	1.95
10220	102	20	0	2
11101	111	1	0.96	0.25
11102	111	2	0.984	0.26
11103	111	3	1.008	0.27
11104	111	4	1.032	0.28
11105	111	5	1.056	0.29
11106	111	6	1.08	0.3
11107	111	7	1.104	0.31
11108	111	8	1.128	0.32
11109	111	9	1.152	0.335
11110	111	10	1.176	0.35
11111	111	11	1.2	0.365
11112	111	12	1.224	0.38
11113	111	13	1.248	0.395
11114	111	14	1.272	0.41
11115	111	15	1.296	0.425
11116	111	16	1.32	0.44
11117	111	17	1.344	0.455
11118	111	18	1.368	0.47
11119	111	19	1.392	0.485
11120	111	20	1.416	0.5
11201	112	1	1.44	0.525
11202	112	2	1.464	0.55
11203	112	3	1.488	0.575
11204	112	4	1.512	0.6
11205	112	5	1.536	0.625
11206	112	6	1.56	0.65
11207	112	7	1.584	0.675
11208	112	8	1.608	0.7
11209	112	9	1.632	0.725
11210	112	10	1.656	0.75
11211	112	11	1.68	0.775
11212	112	12	1.704	0.8
11213	112	13	1.728	0.825
11214	112	14	1.752	0.85
11215	112	15	1.776	0.875
11216	112	16	1.8	0.9
11217	112	17	1.83	0.925
11218	112	18	1.86	0.95
11219	112	19	1.89	0.975
11220	112	20	1.92	1
12101	121	1	0.48	0.25
12102	121	2	0.492	0.26
12103	121	3	0.504	0.27
12104	121	4	0.516	0.28
12105	121	5	0.528	0.29
12106	121	6	0.54	0.3
12107	121	7	0.552	0.31
12108	121	8	0.564	0.32
12109	121	9	0.576	0.335
12110	121	10	0.588	0.35
12111	121	11	0.6	0.365
12112	121	12	0.612	0.38
12113	121	13	0.624	0.395
12114	121	14	0.636	0.41
12115	121	15	0.648	0.425
12116	121	16	0.66	0.44
12117	121	17	0.672	0.455
12118	121	18	0.684	0.47
12119	121	19	0.696	0.485
12120	121	20	0.708	0.5
12201	122	1	0.72	0.525
12202	122	2	0.732	0.55
12203	122	3	0.744	0.575
12204	122	4	0.756	0.6
12205	122	5	0.768	0.625
12206	122	6	0.78	0.65
12207	122	7	0.792	0.675
12208	122	8	0.804	0.7
12209	122	9	0.816	0.725
12210	122	10	0.828	0.75
12211	122	11	0.84	0.775
12212	122	12	0.852	0.8
12213	122	13	0.864	0.825
12214	122	14	0.876	0.85
12215	122	15	0.888	0.875
12216	122	16	0.9	0.9
12217	122	17	0.915	0.925
12218	122	18	0.93	0.95
12219	122	19	0.945	0.975
12220	122	20	0.96	1
20101	201	1	2.1	0
20102	201	2	2.15	0
20103	201	3	2.2	0
20104	201	4	2.25	0
20105	201	5	2.3	0
20106	201	6	2.35	0
20107	201	7	2.4	0
20108	201	8	2.45	0
20109	201	9	2.5	0
20110	201	10	2.55	0
20111	201	11	2.6	0
20112	201	12	2.65	0
20113	201	13	2.7	0
20114	201	14	2.75	0
20115	201	15	2.8	0
20116	201	16	2.85	0
20117	201	17	2.9	0
20118	201	18	2.95	0
20119	201	19	3	0
20120	201	20	3.05	0
20201	202	1	3.25	0
20202	202	2	3.3	0
20203	202	3	3.35	0
20204	202	4	3.4	0
20205	202	5	3.45	0
20206	202	6	3.5	0
20207	202	7	3.55	0
20208	202	8	3.6	0
20209	202	9	3.65	0
20210	202	10	3.7	0
20211	202	11	3.75	0
20212	202	12	3.8	0
20213	202	13	3.85	0
20214	202	14	3.9	0
20215	202	15	3.95	0
20216	202	16	4	0
20217	202	17	4.05	0
20218	202	18	4.1	0
20219	202	19	4.15	0
20220	202	20	4.2	0
21101	211	1	1.05	0
21102	211	2	1.075	0
21103	211	3	1.1	0
21104	211	4	1.125	0
21105	211	5	1.15	0
21106	211	6	1.175	0
21107	211	7	1.2	0
21108	211	8	1.225	0
21109	211	9	1.25	0
21110	211	10	1.275	0
21111	211	11	1.3	0
21112	211	12	1.325	0
21113	211	13	1.35	0
21114	211	14	1.375	0
21115	211	15	1.4	0
21116	211	16	1.425	0
21117	211	17	1.45	0
21118	211	18	1.475	0
21119	211	19	1.5	0
21120	211	20	1.525	0
21201	212	1	1.625	0
21202	212	2	1.65	0
21203	212	3	1.675	0
21204	212	4	1.7	0
21205	212	5	1.725	0
21206	212	6	1.75	0
21207	212	7	1.775	0
21208	212	8	1.8	0
21209	212	9	1.825	0
21210	212	10	1.85	0
21211	212	11	1.875	0
21212	212	12	1.9	0
21213	212	13	1.925	0
21214	212	14	1.95	0
21215	212	15	1.975	0
21216	212	16	2	0
21217	212	17	2.025	0
21218	212	18	2.05	0
21219	212	19	2.075	0
21220	212	20	2.1	0
22101	221	1	2.1	0
22102	221	2	2.15	0
22103	221	3	2.2	0
22104	221	4	2.25	0
22105	221	5	2.3	0
22106	221	6	2.35	0
22107	221	7	2.4	0
22108	221	8	2.45	0
22109	221	9	2.5	0
22110	221	10	2.55	0
22111	221	11	2.6	0
22112	221	12	2.65	0
22113	221	13	2.7	0
22114	221	14	2.75	0
22115	221	15	2.8	0
22116	221	16	2.85	0
22117	221	17	2.9	0
22118	221	18	2.95	0
22119	221	19	3	0
22120	221	20	3.05	0
22201	222	1	3.25	0
22202	222	2	3.3	0
22203	222	3	3.35	0
22204	222	4	3.4	0
22205	222	5	3.45	0
22206	222	6	3.5	0
22207	222	7	3.55	0
22208	222	8	3.6	0
22209	222	9	3.65	0
22210	222	10	3.7	0
22211	222	11	3.75	0
22212	222	12	3.8	0
22213	222	13	3.85	0
22214	222	14	3.9	0
22215	222	15	3.95	0
22216	222	16	4	0
22217	222	17	4.05	0
22218	222	18	4.1	0
22219	222	19	4.15	0
22220	222	20	4.2	0
30101	301	1	1.8	0
30102	301	2	1.84	0
30103	301	3	1.88	0
30104	301	4	1.92	0
30105	301	5	1.96	0
30106	301	6	2	0
30107	301	7	2.04	0
30108	301	8	2.08	0
30109	301	9	2.12	0
30110	301	10	2.16	0
30111	301	11	2.2	0
30112	301	12	2.24	0
30113	301	13	2.28	0
30114	301	14	2.32	0
30115	301	15	2.36	0
30116	301	16	2.4	0
30117	301	17	2.45	0
30118	301	18	2.5	0
30119	301	19	2.55	0
30120	301	20	2.6	0
30201	302	1	2.65	0
30202	302	2	2.7	0
30203	302	3	2.75	0
30204	302	4	2.8	0
30205	302	5	2.85	0
30206	302	6	2.9	0
30207	302	7	2.95	0
30208	302	8	3	0
30209	302	9	3.05	0
30210	302	10	3.1	0
30211	302	11	3.15	0
30212	302	12	3.2	0
30213	302	13	3.25	0
30214	302	14	3.3	0
30215	302	15	3.35	0
30216	302	16	3.4	0
30217	302	17	3.45	0
30218	302	18	3.5	0
30219	302	19	3.55	0
30220	302	20	3.6	0
31101	311	1	0.24	0
31102	311	2	0.245	0
31103	311	3	0.25	0
31104	311	4	0.255	0
31105	311	5	0.26	0
31106	311	6	0.265	0
31107	311	7	0.27	0
31108	311	8	0.275	0
31109	311	9	0.28	0
31110	311	10	0.285	0
31111	311	11	0.29	0
31112	311	12	0.295	0
31113	311	13	0.3	0
