number	number	number	number					
ID	技能等级	技能阶级	消耗战历					
1	1	1	0					
2	2	1	200					
3	3	1	300					
4	4	1	400					
5	5	1	600					
6	6	1	900					
7	7	1	1200					
8	8	1	1500					
9	9	1	1800					
10	10	1	2400					
11	11	1	3000					
12	12	1	3600					
13	13	1	4200					
14	14	1	4800					
15	15	1	5400					
16	16	1	6000					
17	17	1	6600					
18	18	1	7200					
19	19	1	7800					
20	20	1	8400					
21	1	2	0					
22	2	2	9000					
23	3	2	9600					
24	4	2	10200					
25	5	2	10800					
26	6	2	11400					
27	7	2	12000					
28	8	2	12600					
29	9	2	13200					
30	10	2	13800					
31	11	2	14400					
32	12	2	15000					
33	13	2	15600					
34	14	2	16200					
35	15	2	16800					
36	16	2	17400					
37	17	2	18000					
38	18	2	18600					
39	19	2	19200					
40	20	2	19800					
								
