number	array2	string	string	array2	string	string	array2	string	string
掉落ID	材料掉落	icon1	说明文字1	宝石掉落	icon2	说明文字2	钱袋掉落	icon3	说明文字3
1	"[[13001,1000],[13002,1000],[13003,1000],[13004,1000],[13008,3000],[13009,3000]]"	1196	1星升阶材料	"[[15041,10000]]"	1165	宝石袋	"[[18001,10000]]"	1154	玻璃珠
2	"[[13001,1000],[13002,1000],[13003,1000],[13004,1000],[13008,3000],[13009,3000]]"	1196	1星升阶材料	"[[15041,7000],[15051,3000]]"	1165	宝石袋	"[[18002,5200]]"	1154	玻璃珠
3	"[[13011,1000],[13012,1000],[13013,1000],[13014,1000],[13018,3000],[13019,3000]]"	1197	2星升阶材料	"[[15041,5000],[15051,5000]]"	1175	宝石袋	"[[18002,7000]]"	1155	翡翠珠
4	"[[13011,1000],[13012,1000],[13013,1000],[13014,1000],[13018,3000],[13019,3000]]"	1197	2星升阶材料	"[[15041,3000],[15051,4000],[15042,2000],[15052,1000]]"	1175	宝石袋	"[[18002,9000]]"	1155	翡翠珠
5	"[[13021,700],[13022,700],[13023,700],[13024,700],[13028,3600],[13029,3600]]"	1198	3星升阶材料	"[[15041,3500],[15051,1500],[15042,3500],[15052,1500]]"	1166	宝石袋	"[[18003,6000]]"	1156	海蓝珠
6	"[[13021,700],[13022,700],[13023,700],[13024,700],[13028,3600],[13029,3600]]"	1198	3星升阶材料	"[[15041,2500],[15051,1500],[15042,4000],[15052,2000]]"	1166	宝石袋	"[[18003,7800]]"	1156	海蓝珠
7	"[[13021,700],[13022,700],[13023,700],[13024,700],[13028,3600],[13029,3600]]"	1198	3星升阶材料	"[[15041,2000],[15051,1000],[15042,3000],[15052,4000]]"	1176	宝石袋	"[[18004,5100]]"	1157	紫晶珠
8	"[[13031,700],[13032,700],[13033,700],[13034,700],[13038,3600],[13039,3600]]"	1199	4星升阶材料	"[[15041,3000],[15051,2500],[15042,2000],[15052,1000],[15043,1000],[15053,500]]"	1165	宝石袋	"[[18004,6750]]"	1157	紫晶珠
9	"[[13031,700],[13032,700],[13033,700],[13034,700],[13038,3600],[13039,3600]]"	1199	4星升阶材料	"[[15041,3000],[15051,2500],[15042,2000],[15052,1000],[15043,1000],[15053,500]]"	1165	宝石袋	"[[18004,8900]]"	1157	紫晶珠
10	"[[13031,700],[13032,700],[13033,700],[13034,700],[13038,3600],[13039,3600]]"	1199	4星升阶材料	"[[15041,3000],[15051,2500],[15042,2000],[15052,1000],[15043,1000],[15053,500]]"	1165	宝石袋	"[[18005,4680]]"	1158	千年琥珀珠
11	"[[13041,700],[13042,700],[13043,700],[13044,700],[13048,3600],[13049,3600]]"	1200	5星升阶材料	"[[15041,3000],[15051,2500],[15042,2000],[15052,1000],[15043,1000],[15053,500]]"	1165	宝石袋	"[[18005,6080]]"	1158	千年琥珀珠
12	"[[13041,700],[13042,700],[13043,700],[13044,700],[13048,3600],[13049,3600]]"	1200	5星升阶材料	"[[15041,3000],[15051,2500],[15042,2000],[15052,1000],[15043,1000],[15053,500]]"	1165	宝石袋	"[[18005,7600]]"	1158	千年琥珀珠
