number	number	number	number
竞技场排名	战历奖励	奖励ID	奖励数量
1	10000	15005	1
2	9500	15006	1
3	9100	15007	1
4	8800	15008	1
5	8600	15008	1
6	8400	15008	1
7	8200	15008	1
8	8000	15008	1
9	7800	15008	1
10	7600	15008	1
11	7400	0	0
12	7200	0	0
13	7000	0	0
14	6800	0	0
15	6600	0	0
16	6400	0	0
17	6200	0	0
18	6000	0	0
19	5800	0	0
20	5600	0	0
21	5500	0	0
22	5400	0	0
23	5300	0	0
24	5200	0	0
25	5100	0	0
26	5000	0	0
27	4900	0	0
28	4800	0	0
29	4700	0	0
30	4600	0	0
31	4500	0	0
32	4400	0	0
33	4300	0	0
34	4200	0	0
35	4100	0	0
36	4000	0	0
37	3900	0	0
38	3800	0	0
39	3700	0	0
40	3600	0	0
41	3500	0	0
42	3400	0	0
43	3300	0	0
44	3200	0	0
45	3100	0	0
46	3000	0	0
47	2900	0	0
48	2800	0	0
49	2700	0	0
50	2600	0	0
51	2500	0	0
101	2000	0	0
301	1500	0	0
501	1000	0	0
1001	500	0	0
