number	string	number	number	number	number	number	number	number	number	number	number
装备ID	装备名	装备等级	原始装备ID	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量
16021	斯巴达之盔	10	16011	11022	8	11024	8	11026	8	12021	1
16022	斯巴达之甲	10	16012	11022	8	11025	8	11026	8	12022	1
16023	斯巴达之靴	10	16013	11022	8	11024	8	11026	8	12023	1
16024	斯巴达之枪	10	16014	11021	8	11024	8	11026	8	12024	1
16025	斯巴达之剑	10	16015	11021	8	11024	8	11026	8	12025	1
16026	斯巴达之弓	10	16016	11021	8	11024	8	11026	8	12026	1
16027	斯巴达之杖	10	16017	11021	8	11024	8	11026	8	12027	1
16028	斯巴达之眼	10	16018	11023	8	11025	8	11026	8	12028	1
16029	斯巴达之心	10	16019	11023	8	11025	8	11026	8	12029	1
16031	半人马之盔	20	16021	11032	10	11034	10	11036	10	12031	1
16032	半人马之甲	20	16022	11032	10	11035	10	11036	10	12032	1
16033	半人马之靴	20	16023	11032	10	11034	10	11036	10	12033	1
16034	半人马之枪	20	16024	11031	10	11034	10	11036	10	12034	1
16035	半人马之剑	20	16025	11031	10	11034	10	11036	10	12035	1
16036	半人马之弓	20	16026	11031	10	11034	10	11036	10	12036	1
16037	半人马之杖	20	16027	11031	10	11034	10	11036	10	12037	1
16038	半人马之眼	20	16028	11033	10	11035	10	11036	10	12038	1
16039	半人马之心	20	16029	11033	10	11035	10	11036	10	12039	1
16041	美杜莎之盔	30	16031	11042	12	11044	12	11046	12	12041	1
16042	美杜莎之甲	30	16032	11042	12	11045	12	11046	12	12042	1
16043	美杜莎之靴	30	16033	11042	12	11044	12	11046	12	12043	1
16044	美杜莎之枪	30	16034	11041	12	11044	12	11046	12	12044	1
16045	美杜莎之剑	30	16035	11041	12	11044	12	11046	12	12045	1
16046	美杜莎之弓	30	16036	11041	12	11044	12	11046	12	12046	1
16047	美杜莎之杖	30	16037	11041	12	11044	12	11046	12	12047	1
16048	美杜莎之眼	30	16038	11043	12	11045	12	11046	12	12048	1
16049	美杜莎之心	30	16039	11043	12	11045	12	11046	12	12049	1
16051	独眼巨人之盔	40	16041	11052	16	11054	16	11056	16	12051	1
16052	独眼巨人之甲	40	16042	11052	16	11055	16	11056	16	12052	1
16053	独眼巨人之靴	40	16043	11052	16	11054	16	11056	16	12053	1
16054	独眼巨人之枪	40	16044	11051	16	11054	16	11056	16	12054	1
16055	独眼巨人之剑	40	16045	11051	16	11054	16	11056	16	12055	1
16056	独眼巨人之弓	40	16046	11051	16	11054	16	11056	16	12056	1
16057	独眼巨人之杖	40	16047	11051	16	11054	16	11056	16	12057	1
16058	独眼巨人之眼	40	16048	11053	16	11055	16	11056	16	12058	1
16059	独眼巨人之心	40	16049	11053	16	11055	16	11056	16	12059	1
16061	米诺陶之盔	50	16051	11062	20	11064	20	11066	20	12061	1
16062	米诺陶之甲	50	16052	11062	20	11065	20	11066	20	12062	1
