number	number	number	number	number	number	number	number
强化ID	装备类型	强化等级	物理攻击	魔法攻击	物理防御	魔法防御	生命值
1	1	1	0	0	1	1	10
2	1	2	0	0	2	2	20
3	1	3	0	0	3	3	30
4	1	4	0	0	4	4	40
5	1	5	0	0	5	5	50
6	1	6	0	0	6	6	60
7	1	7	0	0	7	7	70
8	1	8	0	0	8	8	80
9	1	9	0	0	9	9	90
10	1	10	0	0	10	10	100
11	1	11	0	0	12	12	120
12	1	12	0	0	14	14	140
13	1	13	0	0	16	16	160
14	1	14	0	0	18	18	180
15	1	15	0	0	20	20	200
16	1	16	0	0	22	22	220
17	1	17	0	0	24	24	240
18	1	18	0	0	26	26	260
19	1	19	0	0	28	28	280
20	1	20	0	0	30	30	300
21	1	21	0	0	33	33	330
22	1	22	0	0	36	36	360
23	1	23	0	0	39	39	390
24	1	24	0	0	42	42	420
25	1	25	0	0	45	45	450
26	1	26	0	0	48	48	480
27	1	27	0	0	51	51	510
28	1	28	0	0	54	54	540
29	1	29	0	0	57	57	570
30	1	30	0	0	60	60	600
31	1	31	0	0	64	64	640
32	1	32	0	0	68	68	680
33	1	33	0	0	72	72	720
34	1	34	0	0	76	76	760
35	1	35	0	0	80	80	800
36	1	36	0	0	84	84	840
37	1	37	0	0	88	88	880
38	1	38	0	0	92	92	920
39	1	39	0	0	96	96	960
40	1	40	0	0	100	100	1000
41	1	41	0	0	105	105	1050
42	1	42	0	0	110	110	1100
43	1	43	0	0	115	115	1150
44	1	44	0	0	120	120	1200
45	1	45	0	0	125	125	1250
46	1	46	0	0	130	130	1300
47	1	47	0	0	135	135	1350
48	1	48	0	0	140	140	1400
49	1	49	0	0	145	145	1450
50	1	50	0	0	150	150	1500
51	1	51	0	0	157	157	1570
52	1	52	0	0	164	164	1640
53	1	53	0	0	171	171	1710
54	1	54	0	0	178	178	1780
55	1	55	0	0	185	185	1850
56	1	56	0	0	192	192	1920
57	1	57	0	0	199	199	1990
58	1	58	0	0	206	206	2060
59	1	59	0	0	213	213	2130
60	1	60	0	0	220	220	2200
61	1	61	0	0	229	229	2290
62	1	62	0	0	238	238	2380
63	1	63	0	0	247	247	2470
64	1	64	0	0	256	256	2560
65	1	65	0	0	265	265	2650
