number	string	number	number
装备强化等级	显示名词	消耗金币	售价
1	黑铁1级	200	200
2	黑铁2级	240	440
3	黑铁3级	280	720
4	黑铁4级	320	1040
5	黑铁5级	360	1400
6	黑铁6级	400	1800
7	黑铁7级	440	2240
8	黑铁8级	480	2720
9	黑铁9级	520	3240
10	黑铁10级	560	3800
11	青铜1级	620	4420
12	青铜2级	680	5100
13	青铜3级	740	5840
14	青铜4级	800	6640
15	青铜5级	860	7500
16	青铜6级	920	8420
17	青铜7级	980	9400
18	青铜8级	1040	10440
19	青铜9级	1100	11540
20	青铜10级	1160	12700
21	白银1级	1240	13940
22	白银2级	1320	15260
23	白银3级	1400	16660
24	白银4级	1480	18140
25	白银5级	1560	19700
26	白银6级	1640	21340
27	白银7级	1720	23060
28	白银8级	1800	24860
29	白银9级	1900	26760
30	白银10级	2000	28760
31	黄金1级	2100	30860
32	黄金2级	2200	33060
33	黄金3级	2300	35360
34	黄金4级	2400	37760
35	黄金5级	2500	40260
36	黄金6级	2600	42860
37	黄金7级	2700	45560
38	黄金8级	2800	48360
39	黄金9级	2900	51260
40	黄金10级	3000	54260
41	暗金1级	3100	57360
42	暗金2级	3200	60560
43	暗金3级	3300	63860
44	暗金4级	3400	67260
45	暗金5级	3500	70760
46	暗金6级	3600	74360
47	暗金7级	3700	78060
48	暗金8级	3800	81860
49	暗金9级	3900	85760
50	暗金10级	4000	89760
51	火玉1级	4500	94260
52	火玉2级	5000	99260
53	火玉3级	5500	104760
54	火玉4级	6000	110760
55	火玉5级	6500	117260
56	火玉6级	7000	124260
57	火玉7级	7500	131760
58	火玉8级	8000	139760
59	火玉9级	8500	148260
60	火玉10级	9000	157260
61	翡翠1级	10000	167260
62	翡翠2级	11000	178260
63	翡翠3级	12000	190260
64	翡翠4级	13000	203260
65	翡翠5级	14000	217260
66	翡翠6级	15000	232260
67	翡翠7级	16000	248260
68	翡翠8级	17000	265260
69	翡翠9级	18000	283260
70	翡翠10级	19000	302260
71	冷钻1级	20500	322760
72	冷钻2级	22000	344760
73	冷钻3级	23500	368260
74	冷钻4级	25000	393260
75	冷钻5级	26500	419760
76	冷钻6级	28000	447760
77	冷钻7级	29500	477260
78	冷钻8级	31000	508260
79	冷钻9级	32500	540760
80	冷钻10级	34000	574760
81	魔晶1级	36000	610760
82	魔晶2级	38000	648760
83	魔晶3级	40000	688760
84	魔晶4级	42000	730760
85	魔晶5级	44000	774760
86	魔晶6级	46000	820760
87	魔晶7级	48000	868760
88	魔晶8级	50000	918760
89	魔晶9级	52000	970760
90	魔晶10级	54000	1024760
91	龙金1级	56500	1081260
92	龙金2级	59000	1140260
93	龙金3级	61500	1201760
94	龙金4级	64000	1265760
95	龙金5级	66500	1332260
96	龙金6级	69000	1401260
97	龙金7级	71500	1472760
98	龙金8级	74000	1546760
99	龙金9级	76500	1623260
100	龙金10级	79000	1702260
101	复仇1级	82000	1784260
102	复仇2级	85000	1869260
103	复仇3级	88000	1957260
104	复仇4级	91000	2048260
105	复仇5级	94000	2142260
106	复仇6级	97000	2239260
107	复仇7级	100000	2339260
108	复仇8级	103000	2442260
109	复仇9级	106000	2548260
110	复仇10级	109000	2657260
111	传说1级	113000	2770260
112	传说2级	117000	2887260
113	传说3级	121000	3008260
114	传说4级	125000	3133260
115	传说5级	129000	3262260
116	传说6级	133000	3395260
117	传说7级	137000	3532260
118	传说8级	141000	3673260
119	传说9级	145000	3818260
120	传说10级	149000	3967260
121	圣谕1级	154000	4121260
122	圣谕2级	159000	4280260
123	圣谕3级	164000	4444260
124	圣谕4级	169000	4613260
125	圣谕5级	174000	4787260
126	圣谕6级	179000	4966260
127	圣谕7级	184000	5150260
128	圣谕8级	189000	5339260
129	圣谕9级	194000	5533260
130	圣谕10级	199000	5732260
131	星辰1级	205000	5937260
132	星辰2级	211000	6148260
133	星辰3级	217000	6365260
134	星辰4级	223000	6588260
135	星辰5级	229000	6817260
136	星辰6级	235000	7052260
137	星辰7级	241000	7293260
138	星辰8级	247000	7540260
139	星辰9级	253000	7793260
140	星辰10级	259000	8052260
141	银河1级	265000	8317260
142	银河2级	271000	8588260
143	银河3级	277000	8865260
144	银河4级	283000	9148260
145	银河5级	289000	9437260
146	银河6级	295000	9732260
147	银河7级	301000	10033260
148	银河8级	307000	10340260
149	银河9级	313000	10653260
150	银河10级	319000	10972260
151	邪神1级	325000	11297260
152	邪神2级	331000	11628260
153	邪神3级	337000	11965260
154	邪神4级	343000	12308260
155	邪神5级	349000	12657260
156	邪神6级	355000	13012260
157	邪神7级	361000	13373260
158	邪神8级	367000	13740260
159	邪神9级	373000	14113260
160	邪神10级	379000	14492260
161	真神1级	385000	14877260
162	真神2级	391000	15268260
163	真神3级	397000	15665260
164	真神4级	403000	16068260
165	真神5级	409000	16477260
166	真神6级	415000	16892260
167	真神7级	421000	17313260
168	真神8级	427000	17740260
169	真神9级	433000	18173260
170	真神10级	439000	18612260
171	弑神1级	445000	19057260
172	弑神2级	451000	19508260
173	弑神3级	457000	19965260
174	弑神4级	463000	20428260
175	弑神5级	469000	20897260
176	弑神6级	475000	21372260
177	弑神7级	481000	21853260
178	弑神8级	487000	22340260
179	弑神9级	493000	22833260
180	弑神10级	499000	23332260
181	灭世1级	505000	23837260
182	灭世2级	511000	24348260
183	灭世3级	517000	24865260
184	灭世4级	523000	25388260
185	灭世5级	529000	25917260
186	灭世6级	535000	26452260
187	灭世7级	541000	26993260
188	灭世8级	547000	27540260
189	灭世9级	553000	28093260
190	灭世10级	559000	28652260
191	逆天1级	565000	29217260
192	逆天2级	571000	29788260
193	逆天3级	577000	30365260
194	逆天4级	583000	30948260
195	逆天5级	589000	31537260
196	逆天6级	595000	32132260
197	逆天7级	601000	32733260
198	逆天8级	607000	33340260
199	逆天9级	613000	33953260
200	逆天10级	619000	34572260
