number	array
宝石组ID	内涵宝石
17001	"[17101,17201,17301,17401,17501,17601,17701,17801]"
17002	"[17102,17202,17302,17402,17502,17602,17702,17802]"
17003	"[17103,17203,17303,17403,17503,17603,17703,17803]"
17004	"[17104,17204,17304,17404,17504,17604,17704,17804]"
17005	"[17105,17205,17305,17405,17505,17605,17705,17805]"
17006	"[17106,17206,17306,17406,17506,17606,17706,17806]"
17007	"[17107,17207,17307,17407,17507,17607,17707,17807]"
17008	"[17108,17208,17308,17408,17508,17608,17708,17808]"
17009	"[17109,17209,17309,17409,17509,17609,17709,17809]"
17010	"[17110,17210,17310,17410,17510,17610,17710,17810]"
