number	string	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	array	array	array
boss等级	boss形象ID	物理攻击力	魔法攻击力	物理防御力	魔法防御力	生命值	暴击值	命中值	闪避值	击杀金币	每次攻击金币	第1名金币	第2名金币	第3名金币	第4-10名金币	第11-所有金币	击杀战历	参与战历	排名1战历	排名2战历	排名3战历	排名4~10名战历	排名11~500名战历	击杀奖励	参与奖励	排行奖励
1	M094	1080	0	0	0	528000	120	120	120	161000	806	64400	48300	32200	16100	4030	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
2	M094	1125	0	0	0	558000	140	140	140	162000	810	64800	48600	32400	16200	4050	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
3	M094	1170	0	0	0	588000	160	160	160	162000	810	64800	48600	32400	16200	4050	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
4	M094	1215	0	0	0	618000	180	180	180	163000	816	65200	48900	32600	16300	4080	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
5	M094	1260	0	0	0	648000	200	200	200	163000	816	65200	48900	32600	16300	4080	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
6	M094	1305	0	0	0	678000	220	220	220	164000	820	65600	49200	32800	16400	4100	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
7	M094	1350	0	0	0	708000	240	240	240	164000	820	65600	49200	32800	16400	4100	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
8	M094	1395	0	0	0	738000	260	260	260	165000	826	66000	49500	33000	16500	4130	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
9	M094	1417	0	0	0	753000	280	280	280	165000	826	66000	49500	33000	16500	4130	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
10	M094	1440	0	0	0	768000	300	300	300	166000	830	66400	49800	33200	16600	4150	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
11	M094	1507	0	0	0	810000	320	320	320	167000	836	66800	50100	33400	16700	4180	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
12	M094	1552	0	0	0	837000	340	340	340	168000	840	67200	50400	33600	16800	4200	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
13	M094	1597	0	0	0	864000	360	360	360	168000	840	67200	50400	33600	16800	4200	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
14	M094	1642	0	0	0	891000	380	380	380	169000	846	67600	50700	33800	16900	4230	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
15	M094	1687	0	0	0	918000	400	400	400	170000	850	68000	51000	34000	17000	4250	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
16	M094	1755	0	0	0	960000	420	420	420	171000	856	68400	51300	34200	17100	4280	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
17	M094	1800	0	0	0	987000	440	440	440	172000	860	68800	51600	34400	17200	4300	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
18	M094	1845	0	0	0	1014000	460	460	460	173000	866	69200	51900	34600	17300	4330	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
19	M094	1935	0	0	0	1071000	480	480	480	174000	870	69600	52200	34800	17400	4350	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
20	M094	2304	0	0	0	1278000	500	500	500	175000	876	70000	52500	35000	17500	4380	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
21	M094	2416	0	0	0	1347000	520	520	520	177000	886	70800	53100	35400	17700	4430	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
22	M094	2529	0	0	0	1416000	540	540	540	179000	896	71600	53700	35800	17900	4480	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
23	M094	2641	0	0	0	1485000	560	560	560	181000	906	72400	54300	36200	18100	4530	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
24	M094	2754	0	0	0	1554000	580	580	580	183000	916	73200	54900	36600	18300	4580	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
25	M094	2947	0	0	0	1713000	600	600	600	185000	926	74000	55500	37000	18500	4630	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
26	M094	3015	0	0	0	1752000	620	620	620	187000	936	74800	56100	37400	18700	4680	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
27	M094	3127	0	0	0	1821000	640	640	640	189000	946	75600	56700	37800	18900	4730	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
28	M094	3195	0	0	0	1860000	660	660	660	191000	956	76400	57300	38200	19100	4780	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
29	M094	3307	0	0	0	1929000	680	680	680	193000	966	77200	57900	38600	19300	4830	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
30	M094	3420	0	0	0	1998000	700	700	700	195000	976	78000	58500	39000	19500	4880	4000	20	1600	1200	800	400	100	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
31	M094	3555	0	0	0	2772000	720	720	720	198000	990	79200	59400	39600	19800	4950	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
32	M094	3712	0	0	0	2900000	740	740	740	202000	1010	80800	60600	40400	20200	5050	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
33	M094	3870	0	0	0	3028000	760	760	760	206000	1030	82400	61800	41200	20600	5150	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
34	M094	4027	0	0	0	3156000	780	780	780	210000	1050	84000	63000	42000	21000	5250	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
35	M094	4293	0	0	0	3444000	800	800	800	214000	1070	85600	64200	42800	21400	5350	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
36	M094	4648	0	0	0	4465000	820	820	820	218000	1090	87200	65400	43600	21800	5450	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
37	M094	4738	0	0	0	4550000	840	840	840	222000	1110	88800	66600	44400	22200	5550	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
38	M094	4896	0	0	0	4710000	860	860	860	226000	1130	90400	67800	45200	22600	5650	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
39	M094	5053	0	0	0	4870000	880	880	880	229000	1146	91600	68700	45800	22900	5730	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
40	M094	5535	0	0	0	5330000	900	900	900	233000	1166	93200	69900	46600	23300	5830	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
41	M094	5715	0	0	0	5730000	920	920	920	239000	1196	95600	71700	47800	23900	5980	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
42	M094	5895	0	0	0	5915000	940	940	940	245000	1226	98000	73500	49000	24500	6130	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
43	M094	6097	0	0	0	7350000	960	960	960	251000	1256	100400	75300	50200	25100	6280	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
44	M094	6300	0	0	0	7602000	980	980	980	257000	1286	102800	77100	51400	25700	6430	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
45	M094	6637	0	0	0	8154000	1000	1000	1000	262000	1310	104800	78600	52400	26200	6550	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
