number	string	string	string	number	string	number	number	number
道具ID	道具名	道具说明	功能描述	道具类型	ICONID	售价	物品颜色	是否可用
10001	金币	金灿灿的钱币	可用于强化装备	8	10001	0	1	2
10002	战历	战斗的阅历	可用于升级英雄技能	8	10002	0	1	2
10003	水晶	价值连城的水晶	可用来购买各种东西	8	10004	0	1	2
10004	友情点	和好友互动的奖赏	可在英灵殿和商城使用	8	10005	0	1	2
10005	体力	英雄的体力	可用户关卡十二宫挑战	8	10003	0	1	2
11021	锡块	易得到的金属。	制造斯巴达装备的材料	3	1058	20	1	2
11031	青铜块	坚硬的金属。	制造半人马装备的材料	3	1059	30	1	2
11041	黄铜块	可塑性很强的金属。	制造美杜莎装备的材料	3	1060	40	1	2
11051	生铁块	粗糙的铁块。	制造独眼巨人装备的材料	3	1061	50	1	2
11061	熟铁块	细腻的铁块。	制造米诺陶装备的材料	3	1062	60	1	2
11071	粗钢片	锻造钢，但比较粗。	制造海格力斯装备的材料	3	1063	70	1	2
11081	精钢片	人类能够锻出的最好的钢。	制造阿喀琉斯装备的材料	3	1064	80	1	2
11091	银块	贵重的金属。	制造瓦尔基里装备的材料	3	1065	90	1	2
11101	金砂	含杂质的金砂。	制造芬里尔装备的材料	3	1066	100	1	2
11111	金块	诱人的金属。	制造阿斯特拉装备的材料	3	1067	110	1	2
11121	秘银锭	施法者喜爱的介质。	制造复仇女神装备的材料	3	1059	120	1	2
11131	黑铁锭	黑暗领域的矿产，残暴的象征。	制造死神装备的材料	3	1060	130	1	2
11141	瑟银锭	矮人工匠最爱的材料。	制造波塞冬装备的材料	3	1061	140	1	2
11151	真银锭	奥林匹斯祝福过的银锭。	制造宙斯装备的材料	3	1062	150	1	2
11161	魔铁锭	铁匠之神为英雄们打造人制造装备用的材料。	制造哈迪斯装备的材料	3	1063	160	1	2
11171	精金锭	宙斯的盔甲由它制成。	制造奥丁装备的材料	3	1064	170	1	2
11181	冷金	奥丁的盔甲由它制成。	制造盖亚装备的材料	3	1065	180	1	2
11191	圣铁	刺死芬里尔的长枪由它制成。	制造克洛诺斯装备的材料	3	1066	190	1	2
11201	奥利哈钢	神赐予的最硬的金属。	制造诸神黄昏装备的材料	3	1067	200	1	2
11022	三叶草	象征着幸福的小草。	制造斯巴达装备的材料	3	1001	20	1	2
11032	四叶草	象征着幸运的小草。	制造半人马装备的材料	3	1002	30	1	2
11042	食人花	实际造型远没有名字这么可怕。	制造美杜莎装备的材料	3	1003	40	1	2
11052	魔鬼藤	据说能够缠住魔鬼。	制造独眼巨人装备的材料	3	1004	50	1	2
11062	疙瘩藤	又丑又硬的藤蔓。	制造米诺陶装备的材料	3	1005	60	1	2
11072	魔豆荚	据说种出的豌豆能直通奥林匹斯。	制造海格力斯装备的材料	3	1006	70	1	2
11082	解毒草	据说只是中毒之人的安慰剂。	制造阿喀琉斯装备的材料	3	1007	80	1	2
11092	火药草	非常辣！	制造瓦尔基里装备的材料	3	1008	90	1	2
11102	霜降草	拥有好看纹路的小草。	制造芬里尔装备的材料	3	1009	100	1	2
11112	常春藤	酒神之花，象征着快乐与活力。	制造阿斯特拉装备的材料	3	1010	110	1	2
11122	睡眠草	能让神睡着的药草。	制造复仇女神装备的材料	3	1002	120	1	2
11132	粘着草	据说是奥林匹斯神殿的粘合材料。	制造死神装备的材料	3	1003	130	1	2
11142	槲寄生	站在槲寄生下的人们必将相爱。	制造波塞冬装备的材料	3	1004	140	1	2
11152	风铃草	这种草成功地预警了冰霜巨人的袭击。	制造宙斯装备的材料	3	1005	150	1	2
11162	蓝蘑菇	精灵敬献祖先的贡品。	制造哈迪斯装备的材料	3	1006	160	1	2
11172	大笑菇	据说是英勇就义的战败者高傲的头颅。	制造奥丁装备的材料	3	1007	170	1	2
11182	曼陀罗	冥后的花园里最美的花卉。	制造盖亚装备的材料	3	1008	180	1	2
11192	诅咒草	极北之地的人们打赌时都会吞下它。	制造克洛诺斯装备的材料	3	1009	190	1	2
11202	神圣草	骑士们对抗邪恶时的护身道具。	制造诸神黄昏装备的材料	3	1010	200	1	2
11023	英雄之证	赢过一场残酷战争的证明。	制造斯巴达装备的材料	3	1096	20	1	2
11033	海伦的眼泪	敬这纷争的时代。	制造半人马装备的材料	3	1097	30	1	2
11043	龙涎香	从女妖塞壬手中得到的奢侈品。	制造美杜莎装备的材料	3	1098	40	1	2
11053	独眼巨人之眼	它似乎还在转动。	制造独眼巨人装备的材料	3	1099	50	1	2
11063	蛮人战旗	没有了它，蛮人只是乌合之众。	制造米诺陶装备的材料	3	1100	60	1	2
11073	月亮石	精灵族人的宝器。	制造海格力斯装备的材料	3	1101	70	1	2
11083	塞壬的歌声	好事者用海螺记录下的好声音。	制造阿喀琉斯装备的材料	3	1102	80	1	2
11093	亚马逊衣带钩	你无法从活着的亚马逊女战士那得到它。	制造瓦尔基里装备的材料	3	1103	90	1	2
11103	凤凰余烬	看来有只凤凰刚刚复活过一次。	制造芬里尔装备的材料	3	1104	100	1	2
11113	天火火种	看来有人没有善用普罗米修斯的礼物。	制造阿斯特拉装备的材料	3	1105	110	1	2
11123	太阳车的铆钉	看来有人试图谋害阿波罗。	制造复仇女神装备的材料	3	1106	120	1	2
11133	天马的鬃毛	帕伽索斯的鬃毛，能够召唤神马。	制造死神装备的材料	3	1107	130	1	2
11143	如尼符文	充满神秘智慧和力量的符文。	制造波塞冬装备的材料	3	1108	140	1	2
11153	王者之证	赢过十场残酷战争的证明。	制造宙斯装备的材料	3	1109	150	1	2
11163	命运女神笔记	只能查阅，不能修改。	制造哈迪斯装备的材料	3	1110	160	1	2
11173	伊卡洛斯碎羽	象征着自由和贪欲。	制造奥丁装备的材料	3	1111	170	1	2
11183	女武神的吻痕	只有战死之人才能得此殊荣。	制造盖亚装备的材料	3	1112	180	1	2
11193	瓦尔哈拉名册	备战诸神黄昏的战士花名册。	制造克洛诺斯装备的材料	3	1113	190	1	2
11203	冥王的锁链	连接奥林匹斯和冥界的调和之锁链。	制造诸神黄昏装备的材料	3	1114	200	1	2
