number	number	number	number	number	number
ID	累计月份	累计天数	奖励ID	奖励数量	英雄ID
1	1	1	10001	30000	0
2	1	2	10001	32000	0
3	1	3	10001	34000	0
4	1	4	10001	36000	0
5	1	5	15042	1	0
6	1	6	10001	40000	0
7	1	7	10001	44000	0
8	1	8	10001	48000	0
9	1	9	10001	52000	0
10	1	10	15052	1	0
11	1	11	10001	58000	0
12	1	12	10001	64000	0
13	1	13	10001	70000	0
14	1	14	10001	76000	0
15	1	15	15043	1	0
16	1	16	10001	84000	0
17	1	17	10001	92000	0
18	1	18	10001	100000	0
19	1	19	10001	108000	0
20	1	20	15053	1	0
21	1	21	10001	120000	0
22	1	22	10001	132000	0
23	1	23	10001	144000	0
24	1	24	0	0	2019
25	2	1	10001	30000	0
26	2	2	10001	32000	0
27	2	3	10001	34000	0
28	2	4	10001	36000	0
29	2	5	15043	1	0
30	2	6	10001	40000	0
31	2	7	10001	44000	0
32	2	8	10001	48000	0
33	2	9	10001	52000	0
34	2	10	15043	1	0
35	2	11	10001	58000	0
36	2	12	10001	64000	0
37	2	13	10001	70000	0
38	2	14	10001	76000	0
39	2	15	15053	1	0
40	2	16	10001	84000	0
41	2	17	10001	92000	0
42	2	18	10001	100000	0
43	2	19	10001	108000	0
44	2	20	15053	1	0
45	2	21	10001	120000	0
46	2	22	10001	132000	0
47	2	23	10001	144000	0
48	2	24	0	0	2018
49	3	1	10001	30000	0
50	3	2	10001	32000	0
51	3	3	10001	34000	0
52	3	4	10001	36000	0
53	3	5	15043	1	0
54	3	6	10001	40000	0
55	3	7	10001	44000	0
56	3	8	10001	48000	0
57	3	9	10001	52000	0
58	3	10	15053	1	0
59	3	11	10001	58000	0
60	3	12	10001	64000	0
61	3	13	10001	70000	0
62	3	14	10001	76000	0
63	3	15	15053	1	0
64	3	16	10001	84000	0
65	3	17	10001	92000	0
66	3	18	10001	100000	0
67	3	19	10001	108000	0
68	3	20	15044	1	0
69	3	21	10001	120000	0
70	3	22	10001	132000	0
71	3	23	10001	144000	0
72	3	24	0	0	2103
73	4	1	10001	30000	0
74	4	2	10001	32000	0
75	4	3	10001	34000	0
76	4	4	10001	36000	0
77	4	5	15043	1	0
78	4	6	10001	40000	0
79	4	7	10001	44000	0
80	4	8	10001	48000	0
81	4	9	10001	52000	0
82	4	10	15053	1	0
83	4	11	10001	58000	0
84	4	12	10001	64000	0
85	4	13	10001	70000	0
86	4	14	10001	76000	0
87	4	15	15044	1	0
88	4	16	10001	84000	0
89	4	17	10001	92000	0
90	4	18	10001	100000	0
91	4	19	10001	108000	0
92	4	20	15054	1	0
93	4	21	10001	120000	0
94	4	22	10001	132000	0
95	4	23	10001	144000	0
96	4	24	15045	1	0
