number	number	number	number	number	number	number	number	number	number	number
ID	升阶职业	升阶星级	提升物理攻击力	提升魔法攻击力	提升物理防御力	提升魔法防御力	提升生命值	提升暴击值	提升命中值	提升闪避值
1	1	0	0	0	0	0	0	0	0	0
2	1	1	80	0	120	100	550	100	100	250
3	1	2	250	0	360	300	1620	200	200	500
4	1	3	580	0	810	670	3500	300	300	750
5	1	4	1365	0	1845	1515	7430	400	400	1000
6	1	5	2515	0	3340	2740	13160	500	500	1250
7	2	0	0	0	0	0	0	0	0	0
8	2	1	100	0	100	80	475	150	150	150
9	2	2	305	0	300	240	1410	300	300	300
10	2	3	685	0	685	555	3080	450	450	450
11	2	4	1555	0	1610	1310	6680	600	600	600
12	2	5	2815	0	2950	2410	11930	750	750	750
13	3	0	0	0	0	0	0	0	0	0
14	3	1	105	0	75	95	455	150	200	100
15	3	2	315	0	235	285	1355	300	400	200
16	3	3	705	0	535	655	2970	450	600	300
17	3	4	1590	0	1275	1555	6470	600	800	400
18	3	5	2870	0	2345	2865	11590	750	1000	500
19	4	0	0	0	0	0	0	0	0	0
20	4	1	0	110	40	100	440	350	50	50
21	4	2	0	325	130	300	1300	700	100	100
22	4	3	0	725	300	700	2855	1050	150	150
23	4	4	0	1630	730	1710	6255	1400	200	200
24	4	5	0	2940	1350	3150	11255	1750	250	250
