number	string	number	number	number	number	array	number	string	string	number	string	string	number	number
任务编号	任务名称	任务等级	主线与否	前提任务	任务类型	任务参数	任务发布人	任务发布人文本	接任务选项文字	任务交付人	任务交付人文本	交任务选项文字	奖励经验	奖励金币
1016	女武神骑行	0	0	227	1	"[1011,1]"	104	戈尔贡姐妹们盘踞在沼泽废墟，奥丁认为她们正酝酿着一场危机，去一探究竟吧。	好的。	104	这群蛇妖还真是嚣张啊！	没错。	174	101
1017	再探沼泽	0	0	1016	1	"[1012,1]"	104	不能轻视这个危险。众神的英雄，我委托你再探沼泽。	好的。	104	干得不错！	谢谢！	178	101
1018	戈尔贡的历史	0	0	1017	1	"[1013,1]"	104	戈尔贡们本是漂亮女人，怎奈触怒女神雅典娜，才变成这副蛇发妖身……去结束她们可悲的生命吧！	我这就去！	104	你做了正确的事。	谢谢！	182	104
1019	石化传说	0	0	1018	1	"[1014,1]"	102	我惩罚戈尔贡姐妹，让她们看到的男人都会变成石头，但她们竟准备亵渎诸神？	让我去捍卫女神的荣光！	102	也许……我的惩罚过重了，但神做出的决定是不能回头的。	也许吧。	186	104
1020	美杜莎	0	0	1019	1	"[1015,1]"	102	美杜莎曾是戈尔贡里最漂亮的一位，现在她成了这次复仇的主使，去结束她吧。	好的。	102	谢谢你，我不想再提到她了。	（女神似乎有些懊悔。）	190	108
1021	危机所在	0	0	1020	1	"[1016,1]"	101	邪恶力量攻击的区域已经明了，请你代我去了解一下吧。	如您所愿。	101	没错，那里是放逐之地，泰坦的所在。	泰坦巨人！？	194	108
1022	地狱之下	0	0	1021	1	"[1017,1]"	101	泰坦之战结束后，我降罪于泰坦阿特拉斯，命他在放逐之地托举天地。去阻止邪恶力量对他的侵袭！	好的！	101	做的不错。	谢谢！	198	110
1023	阿特拉斯	0	0	1022	1	"[1018,1]"	101	邪恶的力量越来越强大，阿特拉斯快顶不住了。	我们会阻挡邪恶的！	101	这样下去，世界崩坏难以避免了。	得想其他的办法。	202	110
1024	治本之策	0	0	1023	1	"[1019,1]"	103	本小姐分析认为~阿特拉斯和邪恶力量分明是里应外合，不信去看看？	好。	103	果然是泰坦勾结外人想要挣脱锁链！那我们就来个一劳永逸吧！	我只关心怎么“一劳”？	206	117
1025	泰坦与宙斯	0	0	1024	1	"[1020,1]"	103	用美杜莎的头去照射泰坦，把他变成石头，坏人们就彻底死心啦！	好毒的计谋！我喜欢！	101	你没有按我的想法行事，但仍然做得非常不错，也许世界的命运真的会由你左右。	我会尽力的。	210	117
1026	雅典之城	0	0	1025	0	[]	101	雅典城岌岌可危，雅典娜要回去守卫她的城邦和人民了，去和她聊聊吧。	好的。	102	你愿意追随我吗？	我太愿意了！	82	61
1027	出奥林匹斯记	0	0	1026	0	[]	102	雅典是希腊最先进的城邦，也是人类的希望，我邀请你一起去捍卫它！	为了雅典！	111	欢迎来到雅典，我的朋友！	太棒了！	82	61
1028	证明实力	0	0	1027	1	"[1021,1]"	111	去和希腊的勇士们操练一下吧。	好的。	111	做的不错。	谢谢！	214	122
1029	取信于民	0	0	1028	1	"[1022,1]"	111	希腊是由很多城邦组成的，雅典城要成为他们公认的王城，需要你小小炫耀一下武力。	好的。	111	做的不错。	谢谢！	218	122
1030	希腊方阵兵	0	0	1029	1	"[1023,1]"	111	方阵兵是全希腊最值得骄傲的战法，去挑战这些勇士吧！	好的。	111	想必你已经感受到方阵兵的威力了。	果然名不虚传。	222	129
1031	深入迈锡尼	0	0	1030	1	"[1024,1]"	111	迈锡尼人是全希腊最狡诈灵活的战士，保卫雅典需要他们的力量。	我这就去说服他们。	111	这还远远不够。	接下来呢？	226	129
1032	伟大的阿伽门农王	0	0	1031	1	"[1025,1]"	111	我们需要迈锡尼王阿伽门农的帮助，战胜这位狡黠的国王，让他与我们合作！	好的。	111	雅典城、希腊有救了！	阿伽门农王真心实力超群。	230	135
1033	泰坦之神	0	0	1032	0	[]	111	去见见普罗米修斯吧，他是对人类最有好感的神。他会给你下一步的指导。	好的。	112	你好，来自奥林匹斯山的英雄。	向您致敬！泰坦神。	90	67
1034	泰坦的指引	0	0	1033	1	"[1026,1]"	112	希腊的勇士们正在集结，但缺乏训练，去让他们见识见识。	我这就去。	112	做的不错。	谢谢！	234	135
1035	泰坦试炼	0	0	1034	1	"[1027,1]"	112	蛮族的铁蹄将至，希腊的勇士们需要更多训练，去跟他们搏杀吧！	好的。	112	我相信士兵们得到了锻炼。	没错。	238	141
1036	整顿军纪	0	0	1035	1	"[1028,1]"	112	训练时会受伤，但总比战场上送死强，好好整顿军纪吧。	好的。	112	有点训练有素的样子了。	没错。	242	141
1037	阿伽门农的口信	0	0	1036	1	"[1029,1]"	111	阿伽门农向我推荐他的故交奥德修斯，去找到他。	好的。	111	打听到了？	是的。	246	150
1038	奥德赛	0	0	1037	1	"[1030,1]"	111	帮我请来奥德修斯，他是一位值得后世著书立传的人物。	"书名叫《奥德赛》,我读过了。"	114	嘿，你是从奥林匹斯来的？交个朋友吧！	没错。	250	150
1039	波斯人来啦！	0	0	1038	0	[]	111	波斯人的先锋部队已经登陆，去找奥德修斯，协作出击吧！	是！	114	来，战个痛！	好！	99	80
1040	蛮族气息	0	0	1039	1	"[1031,1]"	114	先探明波斯人的实力，我们再制定战略。	好的。	114	做的不错！	谢谢！	254	159
1041	抢滩	0	0	1040	1	"[1032,1]"	114	消灭波斯人的先锋，建立滩头阵地！	好的。	114	做的不错！	谢谢！	258	159
1042	截住信使	0	0	1041	1	"[1033,1]"	114	一支波斯侦查小队试图回撤报信，不能让他们得逞！	好的。	114	这样应该能够延缓波斯人的攻势。	希望如此。	262	168
1043	牵制铁蹄	0	0	1042	1	"[1034,1]"	114	波斯骑射手很让人头疼，不要让他们形成规模优势！	好的。	114	做的不错！	谢谢！	266	168
1044	食人巨怪	0	0	1043	0	[]	114	波斯人竟派出了食人妖！这不是极北之地的特产吗？去问问瓦尔基里怎么回事。	好的。	113	看来极北之地有人在支持雅典的敌人，危机果然都是相关联的。	是啊。	104	178
1045	以女武神的名义	0	0	1044	1	"[1035,1]"	113	决不允许食人妖玷污奥丁的声誉，去吧，以女武神的名义消灭它！	好的。	113	干得漂亮！	我的荣幸。	270	178
1046	正面接触	0	0	1045	1	"[1036,1]"	114	女武神果然不同凡响~真想和她多说几句话啊……闲话少说，大战就要开始了，知道该怎么做吗？	打败他们。	114	干得漂亮！	谢谢！	274	187
1047	马拉松集阵	0	0	1046	1	"[1037,1]"	114	我观察过地貌，战场选在马拉松再合适不过了，把山坡上的杂兵清理掉，那里将成为决战的场所。	好的。	114	做的不错！希腊方阵兵将集结在山坡上，成败在此一举了。	是啊。	278	187
1048	马拉松泥潭	0	0	1047	1	"[1038,1]"	114	去骚扰波斯人，让他们只能在泥潭里集阵。	好的。	114	做的不错！波斯人的机动性将大受限制。	谢谢！	282	200
1049	马拉松之战	10	0	1048	1	"[1039,1]"	114	迎战波斯人的主力，杀光他们！	我期待已久了！	114	做的不错！波斯人溃败了！	太好了。	286	200
1050	蛮王达提斯	10	0	1049	1	"[1040,1]"	114	看来波斯主将想要亲自欢迎你，不要客气，消灭他！	我期待已久了！	114	波斯人战败了！我们胜利了！	太好了！	290	212
1051	马拉松捷报	11	0	1050	0	[]	114	去告诉雅典城的每一个人，去告诉全希腊的每一个人，去告诉女神雅典娜，我们战胜了波斯人！	好的！	111	雅典感谢你，我的英雄！	荣幸之至！	118	106
1052	寻找联军	11	0	1051	1	"[1041,1]"	111	胜利只是暂时的，东方的特洛伊人在战神的怂恿下不断挑衅，我们需要更强大的联军。	好的！	111	做的不错。	谢谢！	294	212
1053	强悍的部队	11	0	1052	1	"[1042,1]"	111	不愧是阿喀琉斯的军队，再去试探下他们的实力吧！	好的。	111	做的不错。	谢谢！	298	224
1054	阿喀琉斯的卫队	12	0	1053	1	"[1043,1]"	111	和阿喀琉斯的亲卫队作战，让他们认可你。	好的。	111	做的不错。	谢谢！	302	224
1055	阿喀琉斯的传说	12	0	1054	1	"[1044,1]"	111	阿喀琉斯是希腊第一勇士，他的士兵也是希腊第一。战胜他们，才能获取他们的尊重。	好的。	111	做的不错。	谢谢！	306	236
1056	阿喀琉斯之踵	13	0	1055	1	"[1045,1]"	111	阿喀琉斯因为全身在冥河水中浸泡过，所以刀枪不入，但只有脚后跟是没有泡到的，那里就是他的弱点，战胜他！	好的！	111	有了阿喀琉斯的加入，特洛伊之战的天平将向雅典倾斜。	太好了！	310	236
1057	特洛伊之战	13	0	1056	1	"[1046,1]"	114	我很高兴阿喀琉斯能够加入，但这是战争，一个人是无法左右局势的，去探清特洛伊人的动向吧。	好的！	114	看来特洛伊人想要坚守城池。	没错。	314	248
1058	强攻特洛伊	14	0	1057	1	"[1047,1]"	114	试着对特洛伊城发起攻势吧。	好的！	114	看来强攻是无法攻陷特洛伊城了。	是啊。	318	248
1059	木马计	14	0	1058	1	"[1048,1]"	114	看来特洛伊城只能智取了，去收集木材吧，越多越好，我要准备一份礼物。	你要造一只大木马对吧？	114	现在可以造一只空腹木马了！	这可是大工程。	322	264
1060	木马屠城	15	0	1059	1	"[1049,1]"	114	我会散布消息，让特洛伊人以为这木马是神赐的礼物，而你，需要钻进去等待杀戮的时机。	木马病毒就是这么来的。	114	成功啦，我们顺利打开了特洛伊城的城门！	是啊！	326	264
1061	特洛伊小王子	15	0	1060	1	"[1050,1]"	111	特洛伊小王子帕里斯勾引走了海伦，于是导致了这场战争，去打败这个世上最英俊的男人，但……不要打他的脸。	女神也为他心动了啊。	111	如果不是关系到正义，我真不愿意见到帕里斯的惨败。	女神仁慈。	330	279
1062	北方敌援	16	0	1061	1	"[1051,1]"	113	吾远在北方的女武神姐妹告诉我，大批矮人部队前来支援特洛伊人，去刺探一下军情。	好的。	113	矮人部队果然来了。	似乎不太好对付。	334	279
1063	红胡子代表嗜血	16	0	1062	1	"[1052,1]"	113	矮人是天生的战斗种族，打败他们，绝对不要轻视这些异常结实的小个子。	好的。	113	做的不错。	谢谢！	338	294
1064	古老种族	17	0	1063	1	"[1053,1]"	113	矮人是古老而令人尊敬的种族，与他们战斗，去找到他们如此凶暴地支持邪恶的原因。	我对此也很疑惑。	113	看来他们是受到某种蛊惑。	是啊。	342	294
1065	蛊惑之源	17	0	1064	1	"[1054,1]"	113	看来他们受到邪恶力量的唆使，打败他们，把他们拯救回来！	好的！	113	矮人是坚强的种族，他们一定能清醒过来。	希望如此。	346	310
1066	邪神登场	18	0	1065	1	"[1055,1]"	113	这件事一定和狡诈的邪神洛基脱不了干系，这笔债需要他来偿还。	好的！	113	洛基这回一定尝到了教训！	是啊！	350	310
1067	负隅顽抗	18	0	1066	1	"[1056,1]"	114	赶走了矮人援军，现在趁胜追击吧，消灭剩余的特洛伊军队。	好的！	114	干得不错！	谢谢！	354	325
1068	黑色之锋	19	0	1067	1	"[1057,1]"	114	特洛伊精兵也许是唯一能与阿喀琉斯的军队匹敌的战士了，不要掉以轻心。	好的！	114	干得不错！	谢谢！	358	325
1069	黑色密集阵	19	0	1068	1	"[1058,1]"	114	当心，特洛伊勇士的密集阵也很难对付。	好的！	114	干得不错！	谢谢！	362	343
1070	一步之遥	20	0	1069	1	"[1059,1]"	114	胜利仅一步之遥，扰动希腊的不安定因素将终结。	是的。	114	干得不错！	谢谢！	366	343
1071	特洛伊之王	20	0	1070	1	"[1060,1]"	114	特洛伊大王子赫克托耳是特洛伊的象征，消灭他，结束这场漫长的征战。	期待已久！	114	干得漂亮我的朋友，你的丰功伟绩必将载入史册！	非常荣幸！	371	362
1072	极北之地的召唤	21	0	1071	0	[]	113	洛基的出现让我愈发不安，我要回奥丁圣域一趟，奥林匹斯山的英雄，你愿意随我同行吗？	请容许我向雅典娜道别。	111	去吧我的朋友，你终将选择自己的道路，奥林匹斯众神会保佑你的。	后会有期，我的女神。	206	181
1073	拜谒奥丁	21	0	1072	0	[]	113	很高兴你能与我同行，我们将前往圣域阿斯加德，拜见全能的天神奥丁。愿奥丁的智慧笼罩着你。	我这就出发。	121	远道而来的英雄，欢迎来到阿斯加德，希望你喜欢这里热情的美酒。	这一切都非常棒！	206	181
1074	奥丁的试炼	21	0	1073	1	"[1061,1]"	121	有时候，你所见的并不是事实。让我看看你是否有足够的智慧领悟此道。战胜捣乱的矮人。	好的。	121	真没想到，在战斗时你看起来比矮人还要疯狂！	谢谢夸奖！	413	362
1075	矮人小分队	21	0	1074	1	"[1062,1]"	121	这些行进中的矮人似乎带着某种目的，和他们再次交手，看能了解到什么。	好的。	121	他们自称来自孤山？有意思。	不太明白。	413	380
