number	string	string	number	number	number	number	number	string	string	string	string	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	array	number	number	number		
角色ID	角色名	称号	职业	稀有度	酒馆	招募价格	性别	角色形象	目录	普通攻击脚本	普通被击脚本	动作时间	技能取消时间	体型宽度	体型高度	移动速度	攻击频率	攻击范围	初始物理攻击力	初始魔法攻击力	初始物理防御力	初始魔法防御力	初始生命值	初始暴击值	初始命中值	初始闪避值	对应技能ID	攻击怒气获得	被击怒气获得	初始伙伴	阴影	普功是否轨迹	战斗力		
1001	无名男战士		2	4	3	0	2	P01	P01_output	P01_normal_attack	hit_11	0.6	0.5	100	190	200	1.45	40	218	0	142	105	960	100	300	200	201	350	200	[]	1	0	1029 		
1002	无名女战士		2	4	3	0	1	P02	P02_output	P02_normal_attack	hit_11	0.1	0.8	100	160	200	1.45	40	218	0	142	105	960	100	300	200	201	350	200	[]	1	0	1029 		
1003	无名男射手		3	4	3	0	2	P03	P03_output	P03_normal_attack	hit_31	0.4	0.8	60	190	180	1.6	280	230	0	115	141	896	200	300	100	301	350	200	[]	1	1	1036 		
1004	无名女射手		3	4	3	0	1	P04	P04_output	P04_normal_attack	hit_31	0.8	0.8	80	175	180	1.6	280	230	0	115	141	896	200	300	100	301	350	200	[]	1	1	1036 		
1005	无名男法师		4	4	3	0	2	P05	P05_output	P05_normal_attack	hit_42	0.3	0.3	60	170	110	1.65	240	0	256	123	163	832	300	300	50	411	350	200	[]	1	1	1118 		
1006	无名女法师		4	4	3	0	1	P06	P06_output	P06_normal_attack	hit_42	0.3	0.2	60	160	110	1.65	240	0	256	123	163	832	300	300	50	411	350	200	[]	1	1	1118 		
2001	奥德修斯	奥德赛	4	3	0	1000	2	H001	H001_output	H001_normal_attack	hit_41	0.4	0.2	60	200	100	1.65	230	0	210	90	128	676	300	300	50	401	350	200	[]	1	0	1064 		
2002	雅典娜	智慧女神	1	5	3	10000	1	H002	H002_output	H002_normal_attack	hit_11	0.2	0.1	90	195	180	1.8	20	160	0	352	288	1600	50	300	300	101	200	200	[]	1	0	1197 		
2003	宙斯	天神	4	5	3	10000	2	H003	H003_output	H003_normal_attack	hit_41	0.4	0.2	80	260	150	1.65	250	0	325	120	196	1040	300	300	50	401	350	200	[]	1	0	1177 		
2004	阿波罗	太阳神	3	5	0	10000	1	H004	H004_output	H004_normal_attack	hit_31	0.2	0.2	80	200	210	1.6	290	288	0	144	176	1120	200	300	100	321	350	200	[]	1	1	1099 		
2005	维纳斯	爱神	4	5	0	10000	1	H005	H005_output	H005_normal_attack	hit_43	0.3	0.1	80	220	120	1.65	250	0	320	153	205	1040	300	300	50	421	350	200	[]	1	1	1186 		
2006	丘比特	小爱神	3	4	0	2000	1	H006	H006_output	H006_normal_attack	hit_31	0.3	0.2	60	170	200	1.6	280	233	0	105	139	896	200	300	100	301	350	200	[]	1	1	1034 		
2007	阿瑞斯	战神	2	5	0	10000	2	H007	H007_output	H007_normal_attack	hit_11	0.1	0.1	100	230	180	1.45	60	272	0	177	130	1200	100	300	200	211	350	200	[]	2	0	1089 		
2008	普罗米修斯	泰坦神	4	4	0	2000	2	H008	H008_output	H008_normal_attack	hit_42	0.5	0.5	80	230	140	1.65	240	0	258	123	155	832	300	300	50	411	350	200	[]	1	1	1117 		
2009	海格力斯	大力神	2	4	0	2000	1	H009	H009_output	H009_normal_attack	hit_11	0.2	0.1	100	160	210	1.45	40	220	0	139	82	960	100	300	200	211	350	200	[]	1	0	1022 		
2012	奥丁	天神	3	5	3	10000	2	H012	H012_output	H012_normal_attack	hit_31	0.1	0.2	120	240	180	1.6	290	291	0	140	168	1120	200	300	100	311	350	200	[]	2	1	1097 		
2013	芙蕾	浪漫女神	3	4	0	2000	1	H013	H013_output	H013_normal_attack	hit_31	0.3	0.1	100	180	140	1.6	280	230	0	114	142	896	200	300	100	321	350	200	[]	1	1	1036 		
