number	string	string	string	number	number	number	number	number	number	number	array2	array2	number	number	array	number	array2	array	array2	array	number	string	array	array2
关卡编号	关卡名	资源编号	怪物形象	对应主城	关卡经验	关卡金币	开启等级	前置关卡ID	前置任务ID	是否精英	掉落物品	掉落图纸	十二宫掉落	怪物等级	怪物名	boss名	初始怪物配置	初始boss配置	怪物配置	Boss配置	关卡战力	地图名	坐标	跟点坐标
1001	神殿外围1	resource/scene/bf001/bf001_merge.sce		1001	101	301	1	0	0	0	"[[11021,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	1	"[3009,3010]"	0	"[[3009,0,1],[3009,120,3],[4050,250,2]]"	[]	"[[4050,9.5,2],[3009,10,1],[3009,10,3],[4045,15,2]]"	[]	158	奥林匹斯山	"[66,202]"	"[[99,314],[117,352]]"
1002	神殿外围2	resource/scene/bf001/bf001_merge.sce		1001	102	302	1	1001	0	0	"[[11024,5000,3],[11025,5000,3],[11026,5000,3]]"	[]	0	1	"[3009,3010]"	0	"[[3009,0,1],[3009,10,3]]"	[]	"[[4050,6,1],[4050,6.3,3],[4045,10.4,1],[4045,10.4,3]]"	[]	158	奥林匹斯山	"[119,315]"	"[[166,419],[205,433]]"
1003	神殿外围3	resource/scene/bf001/bf001_merge.sce		1001	103	303	2	1002	0	0	"[[11022,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	2	"[3009,3010,3023]"	0	"[[3023,20,2],[3010,150,1],[3010,150,3],[3010,240,3],[3010,240,1]]"	[]	"[[3023,10.5,2],[3010,11,3],[3010,11,1]]"	[]	320	奥林匹斯山	"[226,345]"	"[[276,391],[304,359]]"
1004	神殿外围4	resource/scene/bf001/bf001_merge.sce		1001	104	304	2	1003	0	0	"[[11022,5000,3],[11025,5000,3],[11026,5000,3]]"	[]	0	2	"[3009,3010,3022]"	0	"[[3022,0,2],[3009,80,1],[3009,160,3],[3010,240,2],[3009,320,1]]"	[]	"[[3022,10,2],[3023,10.5,3],[3023,10.5,1]]"	[]	320	奥林匹斯山	"[310,257]"	"[[356,300],[381,269]]"
1005	神殿外围5	resource/scene/bf001/bf001_merge.sce		1001	105	305	3	1004	0	1	"[[11022,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	3	"[3009,3010]"	3008	"[[3010,-60,3],[3010,40,2],[3010,140,1]]"	[]	"[[3009,8,3],[3009,8,1]]"	"[3008,16]"	327	奥林匹斯山	"[392,166]"	"[[440,212],[477,195]]"
1006	神殿外围6	resource/scene/bf006/bf006_merge.sce		1001	106	306	3	1005	0	0	"[[11021,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	3	"[3022,3023]"	0	"[[3022,-30,2],[3022,30,3],[3022,90,1],[3022,150,3],[3023,300,2]]"	[]	"[[3023,9,1],[3023,9,2],[3023,9,3],[3023,15.5,2],[3023,18.5,2]]"	[]	327	奥林匹斯山	"[496,135]"	"[[540,236],[560,269]]"
1007	神殿外围7	resource/scene/bf006/bf006_merge.sce		1001	107	307	4	1006	0	0	"[[11022,5000,3],[11025,5000,3],[11026,5000,3]]"	[]	0	4	"[3022,3023]"	0	"[[3022,-10,2],[3022,20,3],[3022,20,1],[3022,120,3],[3022,120,1],[3022,220,3],[3022,220,1]]"	[]	[]	[]	332	奥林匹斯山	"[560,228]"	"[[598,332],[621,359]]"
1008	神殿外围8	resource/scene/bf006/bf006_merge.sce		1001	108	308	4	1007	0	0	"[[11022,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	4	"[3023,4023,4024]"	0	"[[4024,0,3],[4024,0,1],[4023,100,3],[4023,100,1]]"	[]	"[[3022,6,2],[3022,6.2,3],[3022,6.2,1],[3023,8.5,2],[3022,11,3],[3023,13.5,2]]"	[]	332	奥林匹斯山	"[633,304]"	"[[692,383],[733,381]]"
1009	神殿外围9	resource/scene/bf006/bf006_merge.sce		1001	109	309	5	1008	0	0	"[[11023,10000,1],[11025,5000,3],[11026,5000,3]]"	[]	0	5	"[3022,3023,4023,4024]"	0	"[[3023,-50,3],[3023,-50,1],[4024,80,2],[3023,200,3],[3023,200,1]]"	[]	"[[3022,10,3],[4023,10,2],[3022,10,1],[3022,13,3],[4024,13,2],[3022,13,1]]"	[]	337	奥林匹斯山	"[752,303]"	"[[809,370],[844,364]]"
1010	神殿外围10	resource/scene/bf006/bf006_merge.sce		1001	110	310	5	1009	0	1	"[[11022,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	5	"[3022,3023]"	3021	"[[3022,-150,2],[3022,0,3],[3022,0,1],[3022,150,3],[3022,150,1],[3022,300,2]]"	[]	"[[3023,10,3],[3023,10,1]]"	"[3021,18]"	337	奥林匹斯山	"[862,282]"	[]
1011	沼泽废墟1	resource/scene/bf005/bf005_merge.sce		1001	111	312	6	1010	0	0	"[[11021,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	6	"[4023,4024]"	0	"[[4023,-200,3],[4023,-200,1],[4024,-130,2],[4023,0,3],[4024,0,1],[4024,200,1],[4024,200,3]]"	[]	"[[4023,10,1],[4023,10,3],[4023,14,1],[4023,14,3]]"	[]	343	奥林匹斯山	"[40,327]"	"[[87,419],[117,437]]"
1012	沼泽废墟2	resource/scene/bf005/bf005_merge.sce		1001	112	314	6	1011	0	0	"[[11023,5000,3],[11025,5000,3],[11026,5000,3]]"	[]	0	6	"[4023,4024]"	0	"[[4023,-150,2],[4024,-50,3],[4024,-50,2],[4024,-50,1],[4023,50,3],[4023,50,1]]"	[]	"[[4023,12,3],[4023,12,1],[4023,20,3],[4023,20,2],[4023,20,1]]"	[]	343	奥林匹斯山	"[133,383]"	"[[186,472],[221,485]]"
1013	沼泽废墟3	resource/scene/bf005/bf005_merge.sce		1001	113	316	7	1012	0	0	"[[11022,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	7	"[3032,4023,4024]"	0	"[[4023,300,2],[3032,-50,2],[3032,0,3],[3032,50,1],[3032,100,2],[3032,150,3],[3032,200,1]]"	[]	"[[4024,10,3],[4024,10,2],[4024,10,1]]"	[]	348	奥林匹斯山	"[244,416]"	"[[300,476],[320,448]]"
1014	沼泽废墟4	resource/scene/bf005/bf005_merge.sce		1001	114	318	7	1013	0	0	"[[11022,5000,3],[11025,5000,3],[11026,5000,3]]"	[]	0	7	"[3032,3033,4023,4024]"	0	"[[3033,-50,2],[4023,0,3],[4024,0,1],[4023,110,3],[4024,110,1],[4023,210,3],[4024,210,1]]"	[]	"[[4024,12,3],[4023,12,1],[3032,15,2],[3032,17,3],[3032,17,2],[3032,17,1]]"	[]	348	奥林匹斯山	"[317,344]"	"[[345,380],[359,343]]"
1015	沼泽废墟5	resource/scene/bf005/bf005_merge.sce		1001	115	320	8	1014	0	1	"[[11022,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	8	"[4023,4024]"	4022	"[[4024,-100,3],[4024,-100,1],[4023,0,2],[4024,100,2],[4023,130,3],[4023,130,1]]"	[]	"[[4024,10,3],[4024,10,1],[4023,17,3],[4023,17,1]]"	"[4022,16]"	353	奥林匹斯山	"[354,233]"	"[[390,276],[419,252]]"
1016	放逐之地1	resource/scene/bf009/bf009_merge.sce		1001	116	322	8	1015	0	0	"[[11021,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	8	"[3032,3033]"	0	"[[3032,-50,3],[3032,-50,1],[3032,80,3],[3032,80,1],[3033,210,2]]"	[]	"[[3033,10,2],[3033,10.5,3],[3033,10.5,1],[3033,13,2],[3033,13.5,3],[3033,13.5,1],[3033,15,2],[3033,15.5,3],[3033,15.5,1],[3033,16,2],[3033,16.5,3],[3033,16.5,1]]"	[]	353	奥林匹斯山	"[441,180]"	"[[494,265],[529,281]]"
1017	放逐之地2	resource/scene/bf009/bf009_merge.sce		1001	117	324	9	1016	0	0	"[[11023,5000,3],[11025,5000,3],[11026,5000,3]]"	[]	0	9	"[3032,3033]"	0	"[[3033,-150,3],[3032,-70,2],[3033,10,1],[3032,90,2],[3033,170,3],[3032,250,1],[3033,330,2]]"	[]	"[[3032,15,2],[3033,15.3,3],[3033,15.3,1],[3032,15.6,3],[3032,15.6,1],[3033,15.9,2],[3033,16.2,2],[3033,16.5,2],[3033,16.8,2]]"	[]	356	奥林匹斯山	"[548,226]"	"[[600,317],[638,333]]"
1018	放逐之地3	resource/scene/bf009/bf009_merge.sce		1001	118	326	9	1017	0	0	"[[11022,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	9	"[3032,3033,4045]"	0	"[[4045,-100,3],[4045,-100,1],[3032,0,2],[3033,100,3],[3033,100,1],[4045,200,2]]"	[]	"[[3032,12,2],[4045,14,3],[3033,16,1],[3032,18,2],[3033,20,3],[3033,20,2],[3033,20,1],[4045,22,1],[4045,22,2],[4045,22,3],[3032,24,1],[3032,24,2],[3032,24,3]]"	[]	356	奥林匹斯山	"[659,268]"	"[[714,332],[741,308]]"
1019	放逐之地4	resource/scene/bf009/bf009_merge.sce		1001	119	328	10	1018	0	0	"[[11022,5000,3],[11025,5000,3],[11026,5000,3]]"	[]	0	10	"[3032,3033,4040]"	0	"[[4040,-30,2],[3032,50,3],[3033,50,1],[3032,110,3],[3033,110,1],[3032,170,3],[3033,170,1]]"	[]	"[[3032,10,2],[3032,10.3,2],[3032,10.6,2],[3033,12,3],[3033,12.3,3],[3033,12.6,3],[3032,13,1],[3032,13,3],[3032,13.3,1],[3032,13.6,1]]"	[]	539	奥林匹斯山	"[745,207]"	"[[782,252],[299,220]]"
1020	放逐之地5	resource/scene/bf009/bf009_merge.sce		1001	120	330	10	1019	0	1	"[[11022,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	10	"[3032,3033]"	4003	"[[3032,-100,2],[3032,-30,3],[3032,-30,1],[3033,200,3],[3033,200,1]]"	"[4003,100,2]"	"[[3032,10.3,3],[3032,10.3,1],[3032,14.3,3],[3032,14.3,1]]"	[]	539	奥林匹斯山	"[799,112]"	[]
