number	string	number	number	number	number	number	number	number	string	string
符文ID	符文名称	符文颜色	显示等级	开放等级	属性种类	属性数值	升级经验	基础经验值	符文说明	符文图标
1011	战纹·艾德	1	1	70	1	20	200	20		
1021	战纹·艾德	1	2	70	1	40	500	20		
1031	战纹·艾德	1	3	70	1	60	1000	20		
1041	战纹·艾德	1	4	70	1	80	2000	20		
1051	战纹·艾德	1	5	70	1	100	3000	20		
1061	战纹·艾德	1	6	70	1	120	5000	20		
1071	战纹·艾德	1	7	70	1	140	8000	20		
1081	战纹·艾德	1	8	70	1	160	12000	20		
1091	战纹·艾德	1	9	70	1	180	20000	20		
1101	战纹·艾德	1	10	70	1	200	0	20		
2011	战纹·法尔	2	1	70	1	50	200	40		
2021	战纹·法尔	2	2	70	1	100	500	40		
2031	战纹·法尔	2	3	70	1	150	1000	40		
2041	战纹·法尔	2	4	70	1	200	2000	40		
2051	战纹·法尔	2	5	70	1	250	3000	40		
2061	战纹·法尔	2	6	70	1	300	5000	40		
2071	战纹·法尔	2	7	70	1	350	8000	40		
2081	战纹·法尔	2	8	70	1	400	12000	40		
2091	战纹·法尔	2	9	70	1	450	20000	40		
2101	战纹·法尔	2	10	70	1	500	0	40		
3011	战纹·司	3	1	70	1	100	200	80		
3021	战纹·司	3	2	70	1	200	500	80		
3031	战纹·司	3	3	70	1	300	1000	80		
3041	战纹·司	3	4	70	1	400	2000	80		
3051	战纹·司	3	5	70	1	500	3000	80		
3061	战纹·司	3	6	70	1	600	5000	80		
3071	战纹·司	3	7	70	1	700	8000	80		
3081	战纹·司	3	8	70	1	800	12000	80		
3091	战纹·司	3	9	70	1	900	20000	80		
3101	战纹·司	3	10	70	1	1000	0	80		
4011	战纹·矮人战斧	4	1	70	1	200	200	160		
4021	战纹·矮人战斧	4	2	70	1	400	500	160		
4031	战纹·矮人战斧	4	3	70	1	600	1000	160		
4041	战纹·矮人战斧	4	4	70	1	800	2000	160		
4051	战纹·矮人战斧	4	5	70	1	1000	3000	160		
4061	战纹·矮人战斧	4	6	70	1	1200	5000	160		
4071	战纹·矮人战斧	4	7	70	1	1400	8000	160		
