number	number	string	number	number	array	number	array2	array	array2	array	number	number	number	number	number	number
ID	上级宝库ID	头像	怪物等级	颜色	怪物名	boss名	初始怪物配置	初始boss配置	怪物配置	Boss配置	金币	占领金币/分钟	1小时额外金币	2小时额外金币	3小时额外金币	4小时额外金币
4001	0	3032	30	1	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	1200	150	1800	2160	2592	3110
4002	4001	3033	31	1	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	1212	155	1860	2232	2678	3213
4003	4002	3034	32	1	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	1224	160	1920	2304	2764	3316
4004	4003	3035	33	1	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	1236	165	1980	2376	2851	3421
4005	4004	3031	34	1	[3031]	0	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	[]	1248	170	2040	2448	2937	3524
4006	4005	3032	35	1	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	1260	175	2100	2520	3024	3628
4007	4006	3033	36	1	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	1272	180	2160	2592	3110	3732
4008	4007	3034	37	1	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	1284	185	2220	2664	3196	3835
4009	4008	3035	38	1	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	1296	190	2280	2736	3283	3939
4010	4009	3027	39	2	[3031]	3027	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	"[3027,20,2]"	1308	195	2340	2808	3369	4042
4011	4010	3032	40	1	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	1320	200	2400	2880	3456	4147
4012	4011	3033	41	1	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	1332	205	2460	2952	3542	4250
4013	4012	3034	42	1	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	1344	210	2520	3024	3628	4353
4014	4013	3035	43	1	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	1356	215	2580	3096	3715	4458
4015	4014	3031	44	1	[3031]	0	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	[]	1368	220	2640	3168	3801	4561
4016	4015	3032	45	1	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	1380	225	2700	3240	3888	4665
4017	4016	3033	46	1	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	1392	230	2760	3312	3974	4768
4018	4017	3034	47	1	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	1404	235	2820	3384	4060	4872
4019	4018	3035	48	1	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	1416	240	2880	3456	4147	4976
4020	4019	3028	49	2	[3031]	3028	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	"[3028,20,2]"	1428	245	2940	3528	4233	5079
4021	4020	3032	50	2	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	1452	255	3060	3672	4406	5287
4022	4021	3033	51	2	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	1476	265	3180	3816	4579	5494
4023	4022	3034	52	2	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	1500	275	3300	3960	4752	5702
4024	4023	3035	53	2	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	1524	285	3420	4104	4924	5908
4025	4024	3031	54	2	[3031]	0	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	[]	1548	295	3540	4248	5097	6116
4026	4025	3032	55	2	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	1572	305	3660	4392	5270	6324
4027	4026	3033	56	2	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	1596	315	3780	4536	5443	6531
4028	4027	3034	57	2	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	1620	325	3900	4680	5616	6739
4029	4028	3035	58	2	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	1644	335	4020	4824	5788	6945
4030	4029	3029	59	3	[3031]	3029	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	"[3029,20,2]"	1668	345	4140	4968	5961	7153
4031	4030	3032	61	2	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	1716	365	4380	5256	6307	7568
4032	4031	3033	63	2	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	1764	385	4620	5544	6652	7982
