string	number	number	number	number	number	number	number	number	number	number
怪物ID等级	物理攻击力	魔法攻击力	物理防御力	魔法防御力	生命值	怪物暴击值	怪物命中值	怪物闪避值	boss血条	技能等级
3027_39	0	1000	1000	1000	19500	450	450	450	3	7
3028_49	0	1250	1250	1250	32500	750	750	750	4	9
3029_59	0	1450	1450	1450	45500	850	850	850	4	12
3030_79	0	6000	6000	6000	100000	1000	1000	1000	5	15
3026_99	0	12000	12000	12000	170000	1200	1200	1200	5	18
3027_119	0	18000	18000	18000	255000	1300	1300	1300	5	20
3028_139	0	27000	27000	27000	360000	1400	1400	1400	5	20
3029_159	0	40000	40000	40000	450000	1500	1500	1500	5	20
3030_179	0	55000	55000	55000	585000	1600	1600	1600	5	20
3026_199	0	70000	70000	70000	705000	1700	1700	1700	6	20
